batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Chemnitz,Chemnitz,Chemnitz(337).ZIP,",,Migrationsfrage ist die Mutter aller Probleme'' Der Bundesinnenminister über den Fall Sami A. und.PDF","C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\,,Migrationsfrage ist die Mutter aller Probleme'' Der Bundesinnenminister über den Fall Sami A. und.PDF",",,Migrationsfrage ist die Mutter aller Probleme'' Der Bundesinnenminister über den Fall Sami A. und",migrationsfrage ist die mutter aller probleme der bundesinnenminister über den fall sami a und,Rheinische Post,rheinische post,Donnerstag 6. September 2018,"Quadbeck-Maak, Eva",1140,7959,d067c3683ad83526c0008b9ebfa11772ab608245,,unique,keep,,no,,no,,,,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,2000 Polizisten halten in Chemnitz die Demonstranten auseinander Großkundgebungen bleiben weitgehend.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\2000 Polizisten halten in Chemnitz die Demonstranten auseinander Großkundgebungen bleiben weitgehend.PDF,2000 Polizisten halten in Chemnitz die Demonstranten auseinander Großkundgebungen bleiben weitgehend,2000 polizisten halten in chemnitz die demonstranten auseinander grosskundgebungen bleiben weitgehend,Die Welt,die welt,Montag 3. September 2018,,643,4812,c5519e61557979780dc4c80902150b6939225286,,unique,keep,,no,,no,,,POLITIK; Politik; S. 4; Ausg. 205,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,4000 stoppen AfD-Demo in Rostock Antisemitische Parolen bei Dortmunder Aufzug.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\4000 stoppen AfD-Demo in Rostock Antisemitische Parolen bei Dortmunder Aufzug.PDF,4000 stoppen AfD-Demo in Rostock Antisemitische Parolen bei Dortmunder Aufzug,4000 stoppen afddemo in rostock antisemitische parolen bei dortmunder aufzug,Der Tagesspiegel,der tagesspiegel,Montag 24. September 2018,,279,2097,fd189fd05d45264fd1c44a3abb71548ab5377839,,unique,keep,,no,,no,,,POLITIK; S. 4; Ausg. 23600,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,5 000 Berliner demonstrieren gegen Rechts Reaktion auf Geschehnisse in Chemnitz.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\5 000 Berliner demonstrieren gegen Rechts Reaktion auf Geschehnisse in Chemnitz.PDF,5 000 Berliner demonstrieren gegen Rechts; Reaktion auf Geschehnisse in Chemnitz,5 000 berliner demonstrieren gegen rechts reaktion auf geschehnisse in chemnitz,Berliner Zeitung,berliner zeitung,31. August 2018,Andreas Kopietz,209,1520,87ba79e1ff74588791d0c6e4182150112cf7698a,,unique,keep,,no,,no,,,TITEL; S. 3; Ausg. 203,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,_Am Arsch_.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\_Am Arsch_.PDF,"""Am Arsch""",am arsch,Frankfurter Rundschau,frankfurter rundschau,Mittwoch 29. August 2018,,1249,8673,8412c1c61d0a57ba97f2ddf2c7dbdd01ff583748,,unique,keep,,no,,no,,,POLITIK; S. 4,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,_Auch die AfD wird die Ostdeutschen letztlich enttäuschen_.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\_Auch die AfD wird die Ostdeutschen letztlich enttäuschen_.PDF,"""Auch die AfD wird die Ostdeutschen letztlich enttäuschen""",auch die afd wird die ostdeutschen letztlich enttäuschen,Frankfurter Rundschau,frankfurter rundschau,Freitag 21. September 2018,,2560,16953,303039cc9d7695dcdb08d1f92d0e3bc525d79851,,unique,keep,,no,,no,,,MAGAZIN; S. 20,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,"_Bekannt sind wir jetzt jedenfalls_ Sören Uhle hat den schwierigen Job, für den Standort Chemnitz zu.PDF","C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\_Bekannt sind wir jetzt jedenfalls_ Sören Uhle hat den schwierigen Job, für den Standort Chemnitz zu.PDF","""Bekannt sind wir jetzt jedenfalls""; Sören Uhle hat den schwierigen Job, für den Standort Chemnitz zu werben.",bekannt sind wir jetzt jedenfalls sören uhle hat den schwierigen job für den standort chemnitz zu werben,Die Welt,die welt,Samstag 8. September 2018,,1777,12152,c27e8007dc7bda35bb6fa5d4f55bb3d5d5883d72,,unique,keep,,no,,no,,,WIRTSCHAFT; Wirtschaft; S. 12; Ausg. 210,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,_CDU-Regierungen ignorierten Rechtsradikalismus_ Grüne kritisieren Kretschmers Regierungserklärung _.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\_CDU-Regierungen ignorierten Rechtsradikalismus_ Grüne kritisieren Kretschmers Regierungserklärung _.PDF,"""CDU-Regierungen ignorierten Rechtsradikalismus"" Grüne kritisieren Kretschmers Regierungserklärung /",cduregierungen ignorierten rechtsradikalismus grüne kritisieren kretschmers regierungserklärung,Der Tagesspiegel,der tagesspiegel,Donnerstag 6. September 2018,,352,2667,74b19b8718e86a0393338deadb94d0910f16584f,,unique,keep,,no,,no,,,POLITIK; S. 4; Ausg. 23582,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,"_Das Gefühl, nicht sicher leben zu können_ Chemnitz und die Folgen_ Sachsens Vizeregierungschef Duli.PDF","C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\_Das Gefühl, nicht sicher leben zu können_ Chemnitz und die Folgen_ Sachsens Vizeregierungschef Duli.PDF","""Das Gefühl, nicht sicher leben zu können"" Chemnitz und die Folgen: Sachsens Vizeregierungschef Dulig",das gefühl nicht sicher leben zu können chemnitz und die folgen sachsens vizeregierungschef dulig,Die Welt,die welt,Montag 3. September 2018,,1602,10889,eedb2e16bad5052f429c1b4be7631695f64dbec2,,unique,keep,,no,,no,,,POLITIK; Politik; S. 4; Ausg. 205,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,_Das ist eine Farce_.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\_Das ist eine Farce_.PDF,"""Das ist eine Farce""",das ist eine farce,Frankfurter Rundschau,frankfurter rundschau,Mittwoch 19. September 2018,,702,5144,57b2e048be84318a05f81061b8ec13061673edbc,,unique,keep,,no,,no,,,POLITIK; S. 4,no,
