batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Chemnitz und der Rechtsstaat(2).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Chemnitz und der Rechtsstaat(2).PDF,Chemnitz und der Rechtsstaat,chemnitz und der rechtsstaat,Die Welt,die welt,Dienstag 28. August 2018,Torsten Krauel,365,2500,05ea33fc19695f566f322731ee9012e6c1b8eec3,near_001,duplicate_near,drop,duplicate_near,no,,no,,Dropped in favor of representative file: Chemnitz und der Rechtsstaat.PDF (near_001).,TITEL; Kommentar; S. 1; Ausg. 200,yes,commentary_noncore
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Chemnitz und der Rechtsstaat.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Chemnitz und der Rechtsstaat.PDF,Chemnitz und der Rechtsstaat,chemnitz und der rechtsstaat,Welt kompakt,welt kompakt,Dienstag 28. August 2018,Torsten Krauel,368,2526,dfe9116dde9c6938ceb6d9032bab2caf11ce7f12,near_001,duplicate_near,keep,,yes,longest_usable_body,no,,Representative kept for near_001.,NEWS; Kommentar; Ausg. 166,yes,commentary_noncore
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Die Wut der Sachsen EXTREMISMUS Der Freistaat hat ein Jahr vor der Landtagswahl mehr als nur ein Ima.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Die Wut der Sachsen EXTREMISMUS Der Freistaat hat ein Jahr vor der Landtagswahl mehr als nur ein Ima.PDF,Die Wut der Sachsen; EXTREMISMUS Der Freistaat hat ein Jahr vor der Landtagswahl mehr als nur ein,die wut der sachsen extremismus der freistaat hat ein jahr vor der landtagswahl mehr als nur ein,Mitteldeutsche Zeitung,mitteldeutsche zeitung,31. August 2018,JÖRG SCHURIG,673,4655,0f178292816886c4d0bd9f5c5752022f979a836f,,unique,keep,,no,,no,,,PO; S. 6; Ausg. 202,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel(2).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel(2).PDF,EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.,empãrung ã¼ber haftbefehl im netz in chemnitz wird wegen verletzung von dienstgeheimnissen ermittelt,Bergische Morgenpost,bergische morgenpost,Donnerstag 30. August 2018,,285,2037,34eec1a3cfd148b7702e190645c15d769f92c323,exact_001,duplicate_exact,drop,duplicate_exact,no,,no,,Dropped in favor of representative file: EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF (exact_001).,,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel(3).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel(3).PDF,EmpÃ¶rung Ã¼ber Haftbefehl im Netz; In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.,empãrung ã¼ber haftbefehl im netz in chemnitz wird wegen verletzung von dienstgeheimnissen ermittelt,Neuss Grevenbroicher Zeitung,neuss grevenbroicher zeitung,Donnerstag 30. August 2018,,285,2037,34eec1a3cfd148b7702e190645c15d769f92c323,exact_001,duplicate_exact,drop,duplicate_exact,no,,no,,Dropped in favor of representative file: EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF (exact_001).,,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF,EmpÃ¶rung Ã¼ber Haftbefehl im Netz; In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.,empãrung ã¼ber haftbefehl im netz in chemnitz wird wegen verletzung von dienstgeheimnissen ermittelt,Solinger Morgenpost,solinger morgenpost,Donnerstag 30. August 2018,,285,2037,34eec1a3cfd148b7702e190645c15d769f92c323,exact_001,duplicate_exact,keep,,yes,cleanest_parsed_version,no,,Representative kept for exact_001.,,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Empörung über Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Empörung über Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.PDF,Empörung über Haftbefehl im Netz; In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.,empörung über haftbefehl im netz in chemnitz wird wegen verletzung von dienstgeheimnissen ermittelt,Rheinische Post,rheinische post,Donnerstag 30. August 2018,,261,2005,4f6857520a1e16b0fe9a00d3d321948f3af1e716,near_002,duplicate_near,keep,,yes,most_complete_metadata,no,,Representative kept for near_002.,,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(2).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(2).PDF,Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein,ende der gewissheiten sachsen i nach den krawallen in chemnitz hat das bundesland mehr als ein,Lauterbacher Anzeiger (Germany),lauterbacher anzeiger germany,Freitag 31. August 2018,Jörg Schurig,454,3239,ebfdf68ddec722f2bc6dd530c250ce701d9d3268,exact_002,duplicate_exact,keep,,yes,lexical_filename_tiebreak,no,,Representative kept for exact_002.,POLITIK; ; S. 2,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(3).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(3).PDF,Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein,ende der gewissheiten sachsen i nach den krawallen in chemnitz hat das bundesland mehr als ein,Usinger Anzeiger (Germany),usinger anzeiger germany,Freitag 31. August 2018,Jörg Schurig,454,3239,ebfdf68ddec722f2bc6dd530c250ce701d9d3268,exact_002,duplicate_exact,drop,duplicate_exact,no,,no,,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(2).PDF (exact_002).,POLITIK; ; S. 2,no,
Chemnitz_core,Chemnitz,Chemnitz_core(32).ZIP,Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(4).PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive_core\Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(4).PDF,Ende der Gewissheiten; SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein,ende der gewissheiten sachsen i nach den krawallen in chemnitz hat das bundesland mehr als ein,Giessener Anzeiger (Germany),giessener anzeiger germany,Freitag 31. August 2018,Jörg Schurig,454,3240,175c436ab7860784e6944d46955d5464e8469e43,exact_003,duplicate_exact,drop,duplicate_exact,no,,no,,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image.PDF (exact_003).,POLITIK; ; S. 2,no,
