file_name,decision,reason,duplicate_group,notes
Chemnitz und der Rechtsstaat(2).PDF,drop,commentary_noncore,near_001,
Chemnitz und der Rechtsstaat.PDF,drop,commentary_noncore,near_001,
Die Wut der Sachsen EXTREMISMUS Der Freistaat hat ein Jahr vor der Landtagswahl mehr als nur ein Ima.PDF,keep,core_event_or_useful_analysis,,
EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel(2).PDF,drop,duplicate_exact,near_002,Dropped in favor of representative file: EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF (exact_001).
EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel(3).PDF,drop,duplicate_exact,near_002,Dropped in favor of representative file: EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF (exact_001).
EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF,keep,core_event_or_useful_analysis,near_002,Representative kept for exact_001.
Empörung über Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittelt.PDF,drop,duplicate_near,near_002,Dropped in favor of representative file: EmpÃ¶rung Ã¼ber Haftbefehl im Netz In Chemnitz wird wegen Verletzung von Dienstgeheimnissen ermittel.PDF (near_002).
Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(2).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(5).PDF (exact_002).
Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(3).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(5).PDF (exact_002).
Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(4).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image.PDF (exact_003).
Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image(5).PDF,keep,core_event_or_useful_analysis,near_003,Representative kept for exact_002.
Ende der Gewissheiten SACHSEN I Nach den Krawallen in Chemnitz hat das Bundesland mehr als ein Image.PDF,keep,core_event_or_useful_analysis,near_003,Representative kept for exact_003.
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(10).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(11).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(12).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(13).PDF,drop,duplicate_near,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (near_003).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(14).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(15).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(9).PDF (exact_005).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(2).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(9).PDF (exact_005).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(3).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(4).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(5).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(9).PDF (exact_005).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(6).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(7).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(9).PDF (exact_005).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(8).PDF,drop,duplicate_exact,near_003,Dropped in favor of representative file: Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF (exact_004).
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei(9).PDF,keep,core_event_or_useful_analysis,near_003,Representative kept for exact_005.
Ende der Gewissheiten SACHSEN II Nach den rechtsextremen Krawallen in Chemnitz hat das Bundesland ei.PDF,keep,core_event_or_useful_analysis,near_003,Representative kept for exact_004.
Eskalation mit Ansage Im Internet taucht ein Haftbefehl gegen den mutmaßlichen Messerstecher von Che.PDF,keep,core_event_or_useful_analysis,,
Polizei ist mit zu geringen Kräften vor Ort.PDF,keep,core_event_or_useful_analysis,,
Seehofer bietet nachträglich seine Hilfe an Kritik kommt vom Regierungspartner SPD.PDF,drop,duplicate_near,near_004,Dropped in favor of representative file: Seehofer bietet nachträglich Unterstützung an Regierungspartner SPD und Opposition üben Kritik.PDF (near_004).
Seehofer bietet nachträglich Unterstützung an Regierungspartner SPD und Opposition üben Kritik.PDF,keep,core_event_or_useful_analysis,near_004,Representative kept for near_004.
Verdächtiger hätte abgeschoben werden können.PDF,drop,very_short_low_value,,
