group_id,group_type,item_count,files,titles,publications,dates
exact_001,exact_duplicate,2,"Niemand hat die Absicht Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu bef(2).PDF | Niemand hat die Absicht Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu bef.PDF","Niemand hat die Absicht Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu befeuern | Niemand hat die Absicht; Die AfD wehrt sich gegen den Vorwurf, die Ausschreitungen in Chemnitz zu befeuern",Berliner Zeitung | Berliner Zeitung,30. August 2018 | 30. August 2018
exact_002,exact_duplicate,2,Zippert zappt(2).PDF | Zippert zappt.PDF,Zippert zappt | Zippert zappt,Die Welt | Welt kompakt,Donnerstag 30. August 2018 | Donnerstag 30. August 2018
near_001,near_duplicate,2,"_Es gab keinen Mob, keine Hetzjagd und keine Pogrome_ Sachsens Ministerpräsident Kretschmer kritisie.PDF | _Keinen Mob, keine Hetzjagd, keine Pogrome_ Sachsens Ministerpräsident Kretschmer kritisiert die Ber.PDF","""Es gab keinen Mob, keine Hetzjagd und keine Pogrome""; Sachsens Ministerpräsident Kretschmer kritisiert die | ""Keinen Mob, keine Hetzjagd, keine Pogrome"" Sachsens Ministerpräsident Kretschmer kritisiert die",Die Welt | Welt kompakt,Donnerstag 6. September 2018 | Donnerstag 6. September 2018
near_002,near_duplicate,2,_Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei(2).PDF | _Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei.PDF,"""Es ist widerlich"" AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod | ""Es ist widerlich""; AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod",Mitteldeutsche Zeitung | Mitteldeutsche Zeitung,28. August 2018 | 28. August 2018
near_003,near_duplicate,2,_In Frankfurt ist kein Platz für Ausgrenzung_.PDF | _Kein Platz für Ausgrenzung_.PDF,"""In Frankfurt ist kein Platz für Ausgrenzung"" | ""Kein Platz für Ausgrenzung""",Frankfurter Rundschau | Frankfurter Rundschau,Montag 3. September 2018 | Montag 3. September 2018
near_004,near_duplicate,2,"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF | _Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis.PDF","""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska | ""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska",Berliner Zeitung | Berliner Zeitung,01. September 2018 | 01. September 2018
near_005,near_duplicate,2,Chemnitz und der Rechtsstaat(2).PDF | Chemnitz und der Rechtsstaat.PDF,Chemnitz und der Rechtsstaat | Chemnitz und der Rechtsstaat,Die Welt | Welt kompakt,Dienstag 28. August 2018 | Dienstag 28. August 2018
near_006,near_duplicate,2,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_(2).PDF | Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_.PDF,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz? | Der brutale Trotz der Jugend; Gibt es schon den Roman zu den Ausschreitungen von Chemnitz?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
near_007,near_duplicate,2,"Du gehst niemals allein Beim Festival gegen rechts in Chemnitz spielten Kraftklub, die Toten Hosen,(2).PDF | Du gehst niemals allein Beim Festival gegen rechts in Chemnitz spielten Kraftklub, die Toten Hosen,.PDF","Du gehst niemals allein Beim Festival gegen rechts in Chemnitz spielten Kraftklub, die Toten Hosen, Feine | Du gehst niemals allein Beim Festival gegen rechts in Chemnitz spielten Kraftklub, die Toten Hosen, Feine",Die Welt | Welt kompakt,Mittwoch 5. September 2018 | Mittwoch 5. September 2018
near_008,near_duplicate,2,"Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w(2).PDF | Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w.PDF","Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt: Rechts macht mobil , links hält ein wenig | Funkenflug; Jagdszenen in Chemnitz, einer deutschen Großstadt: Rechts macht mobil, links hält ein wenig",Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
