group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,_Gastrecht darf nicht missbraucht werden_(2).PDF | _Gastrecht darf nicht missbraucht werden_.PDF,"""Gastrecht darf nicht missbraucht werden"" | ""Gastrecht darf nicht missbraucht werden""",Kölnische Rundschau | Kölnische Rundschau,09. Januar 2016 | 09. Januar 2016
exact_002,duplicate_exact,4,Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der Silv(2).PDF | Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der Silv(3).PDF | Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der Silv(4).PDF | Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der Silv.PDF,Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der | Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der | Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der | Das Vertrauen in die Schutzfunktion des Staates ist futsch KRIMINALITÄT Zu den Vorfällen in der,Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,12. Januar 2016 | 12. Januar 2016 | 12. Januar 2016 | 12. Januar 2016
exact_003,duplicate_exact,2,Die Kapitulation der Sicherheitsorgane KRIMINALITÄT Zu den Vorfällen in der Silvesternacht am Kölner(2).PDF | Die Kapitulation der Sicherheitsorgane KRIMINALITÄT Zu den Vorfällen in der Silvesternacht am Kölner.PDF,Die Kapitulation der Sicherheitsorgane; KRIMINALITÄT Zu den Vorfällen in der Silvesternacht am Kölner | Die Kapitulation der Sicherheitsorgane KRIMINALITÄT Zu den Vorfällen in der Silvesternacht am Kölner,Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,08. Januar 2016 | 08. Januar 2016
exact_004,duplicate_exact,2,Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den Ruhe(2).PDF | Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den Ruhe(3).PDF,Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den | Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den,Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,09. Januar 2016 | 09. Januar 2016
exact_005,duplicate_exact,4,Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - Krisentre(2).PDF | Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - Krisentre(3).PDF | Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - Krisentre(4).PDF | Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - Krisentre.PDF,Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - | Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - | Polizei setzt nun auf Abschreckung; KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen - | Polizei setzt nun auf Abschreckung KÖLNER HAUPTBAHNHOF Beamte sollen mehr Präsenz zeigen -,Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,05. Januar 2016 | 05. Januar 2016 | 05. Januar 2016 | 05. Januar 2016
near_001,duplicate_near,4,"_Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto(2).PDF | _Wer Missbrauch betreibt, verwirkt Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidirekto.PDF | _Wer Missbrauch betreibt, verwirkt sein Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidi(2).PDF | _Wer Missbrauch betreibt, verwirkt sein Gastrecht_ Landrat Michael Kreuzberg und Leitender Polizeidi.PDF","""Wer Missbrauch betreibt, verwirkt Gastrecht"" Landrat Michael Kreuzberg und Leitender Polizeidirektor Roland | ""Wer Missbrauch betreibt, verwirkt Gastrecht""; Landrat Michael Kreuzberg und Leitender Polizeidirektor Roland | ""Wer Missbrauch betreibt, verwirkt sein Gastrecht"" Landrat Michael Kreuzberg und Leitender Polizeidirektor | ""Wer Missbrauch betreibt, verwirkt sein Gastrecht"" Landrat Michael Kreuzberg und Leitender Polizeidirektor",Kölnische Rundschau | Kölnische Rundschau | Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,09. Januar 2016 | 09. Januar 2016 | 09. Januar 2016 | 09. Januar 2016
near_002,duplicate_near,2,Asylbewerber verteilen Blumen an Odenthaler.PDF | Asylbewerber verteilen Blumen.PDF,Asylbewerber verteilen Blumen an Odenthaler | Asylbewerber verteilen Blumen,Kölner Stadt-Anzeiger | Kölnische Rundschau,15. Januar 2016 | 15. Januar 2016
near_003,duplicate_near,2,Bundespolizei am Bahnhof nicht mehr Herr der Lage Personaldecke _sehr dünn_ - Viele Frauen wurden in(2).PDF | Bundespolizei am Bahnhof nicht mehr Herr der Lage Personaldecke _sehr dünn_ - Viele Frauen wurden in.PDF,"Bundespolizei am Bahnhof nicht mehr Herr der Lage Personaldecke ""sehr dünn"" - Viele Frauen wurden in der | Bundespolizei am Bahnhof nicht mehr Herr der Lage Personaldecke ""sehr dünn"" - Viele Frauen wurden in der",Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,04. Januar 2016 | 04. Januar 2016
near_004,duplicate_near,2,Jäger erhöht Druck auf Kölner Polizei SICHERHEIT Innenminister erwartet schnellen Bericht zum Einsat.PDF | Jäger erhöht Druck auf Kölner Polizei SILVESTERNACHT Schnellen Bericht angefordert - Auch Flüchtling.PDF,Jäger erhöht Druck auf Kölner Polizei; SICHERHEIT Innenminister erwartet schnellen Bericht zum Einsatz in | Jäger erhöht Druck auf Kölner Polizei SILVESTERNACHT Schnellen Bericht angefordert - Auch Flüchtlinge,Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,07. Januar 2016 | 07. Januar 2016
near_005,duplicate_near,3,Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den Ruhe(2).PDF | Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den Ruhe(3).PDF | Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den Ruhe.PDF,Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den | Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den | Kölner Polizeichef muss Posten räumen SILVESTERNACHT Innenminister Jäger versetzt Albers in den,Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger | Kölner Stadt-Anzeiger,09. Januar 2016 | 09. Januar 2016 | 09. Januar 2016
