batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,",,Die Grenzen zwischen Rechtsextremisten und Rechtspopulisten verschwimmen_.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\,,Die Grenzen zwischen Rechtsextremisten und Rechtspopulisten verschwimmen_.PDF",",,Die Grenzen zwischen Rechtsextremisten und Rechtspopulisten verschwimmen""",die grenzen zwischen rechtsextremisten und rechtspopulisten verschwimmen,Der Tagesspiegel,der tagesspiegel,Montag 05. Februar 2024,,1694,12241,e6900ccf7e1199961f855a5df0ef454042bd9b98,,unique,keep,,no,,no,,,IM GESPRÄCH; S. 12,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,",,Entsetzt über rechte Hetze_.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\,,Entsetzt über rechte Hetze_.PDF",",,Entsetzt über rechte Hetze""",entsetzt über rechte hetze,Der Tagesspiegel,der tagesspiegel,Mittwoch 17. Januar 2024,,228,1798,c7315f7f11847077d0a4e5182e941a10973c2e4f,,unique,keep,,no,,no,,,WIRTSCHAFT IN BERLIN; S. B21,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,",,Es kann der Zeitpunkt kommen, an dem die AfD zu stark ist, um gestoppt zu werden_.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\,,Es kann der Zeitpunkt kommen, an dem die AfD zu stark ist, um gestoppt zu werden_.PDF",",,Es kann der Zeitpunkt kommen, an dem die AfD zu stark ist, um gestoppt zu werden""",es kann der zeitpunkt kommen an dem die afd zu stark ist um gestoppt zu werden,Der Tagesspiegel,der tagesspiegel,Mittwoch 31. Januar 2024,,1756,12075,f5cb1a81ed9f6d8226a2bf62187c0b83d006cae3,,unique,keep,,no,,no,,,IM GESPRÄCH; S. 12,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,",,Man müsste die Deutschen mehr in die Pflicht nehmen_.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\,,Man müsste die Deutschen mehr in die Pflicht nehmen_.PDF",",,Man müsste die Deutschen mehr in die Pflicht nehmen""",man müsste die deutschen mehr in die pflicht nehmen,Der Tagesspiegel,der tagesspiegel,Donnerstag 18. Januar 2024,,1988,13857,7718456f6551d3a8ba7e7f229bb71e1024c05894,,unique,keep,,no,,no,,,IM GESPRÄCH; S. 16,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,",,Remigration_.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\,,Remigration_.PDF",",,Remigration""",remigration,Der Tagesspiegel,der tagesspiegel,Mittwoch 07. Februar 2024,,569,4378,28e30ef12b6bd0793d811354ac9fc9891cd8feb2,,unique,keep,,no,,no,,,POLITIK; Politik; S. 5,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,10.000 Leute protestieren auf der Straße In Moers und Neukirchen-Vluyn haben Menschen gegen die AfD.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\10.000 Leute protestieren auf der Straße In Moers und Neukirchen-Vluyn haben Menschen gegen die AfD.PDF,10.000 Leute protestieren auf der Straße In Moers und Neukirchen-Vluyn haben Menschen gegen die AfD und,10000 leute protestieren auf der strasse in moers und neukirchenvluyn haben menschen gegen die afd und,Rheinische Post,rheinische post,Montag 29. Januar 2024,Peter Gottschlich,959,6783,1e71ef25ea1b71cf4efd7592a3efcb3f691280d6,,unique,keep,,no,,no,,,S. 17,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,_Correctiv_ verteidigt seine Recherche Streit um _Geheimtreffen_ landet vor Gericht.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\_Correctiv_ verteidigt seine Recherche Streit um _Geheimtreffen_ landet vor Gericht.PDF,"""Correctiv"" verteidigt seine Recherche; Streit um ""Geheimtreffen"" landet vor Gericht",correctiv verteidigt seine recherche streit um geheimtreffen landet vor gericht,Die Welt,die welt,Donnerstag 22. Februar 2024,Benjamin Stibi,526,4133,aeed41050d74e24111362e86b1ed0c7eb92f0c33,,unique,keep,,no,,no,,,Politik; S. 4; Ausg. 38,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,"_Die Villa war in 'Babylon Berlin' Gangsterresidenz, das passte ja_ AfD-Politiker und Identitäre hab.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\_Die Villa war in 'Babylon Berlin' Gangsterresidenz, das passte ja_ AfD-Politiker und Identitäre hab.PDF","""Die Villa war in 'Babylon Berlin' Gangsterresidenz, das passte ja"" AfD-Politiker und Identitäre haben sich in",die villa war in babylon berlin gangsterresidenz das passte ja afdpolitiker und identitäre haben sich in,Die Welt,die welt,Montag 15. Januar 2024,Elmar Krekeler,1096,7595,3412550f4648edeec69a32dcf6277d44fd902afa,,unique,keep,,no,,no,,,Kultur; S. 16; Ausg. 10,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,"_Es wurde nicht über einen sogenannten Masterplan zur ,Remigration' gesprochen_ Der Eigentümer der V.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\_Es wurde nicht über einen sogenannten Masterplan zur ,Remigration' gesprochen_ Der Eigentümer der V.PDF","""Es wurde nicht über einen sogenannten Masterplan zur ,Remigration' gesprochen"" Der Eigentümer der Villa,",es wurde nicht über einen sogenannten masterplan zur remigration gesprochen der eigentümer der villa,Die Welt,die welt,Freitag 9. Februar 2024,Nikolaus Doll,1446,9810,db46e90192dd39d1195d2512db04b70cd839797b,,unique,keep,,no,,no,,,Politik; S. 4; Ausg. 29,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,"_Ich habe irgendwann festgestellt, dass auf meinem Handy praktisch nur noch AfD-Nummern sind_ Hunder.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\_Ich habe irgendwann festgestellt, dass auf meinem Handy praktisch nur noch AfD-Nummern sind_ Hunder.PDF","""Ich habe irgendwann festgestellt, dass auf meinem Handy praktisch nur noch AfD-Nummern sind""",ich habe irgendwann festgestellt dass auf meinem handy praktisch nur noch afdnummern sind,Die Welt,die welt,Donnerstag 1. Februar 2024,Deniz Yücel,1604,11155,5e9c5fd29811fe4c9d8dedc31579f1de9616871a,,unique,keep,,no,,no,,,Kultur; S. 16; Ausg. 23,no,
