file_name,decision,reason,duplicate_group,notes
AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unte(2).PDF,drop,duplicate_exact,exact_001,Dropped in favor of representative file: AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unte.PDF (exact_001).
AfD spielt Geheimtreffen herunter Die Parteispitze spricht von Unterstellungen und teilt verbal unte.PDF,keep,core_event_or_useful_analysis,exact_001,Representative kept for exact_001.
AfD-Politiker diskutieren über millionenfache Abschiebung Rassismus Parteimitglieder haben an einem.PDF,keep,core_event_or_useful_analysis,,
CDU-General kündigt Durchgreifen bei Werte-Union an Bei einem Geheimtreffen mit AfD-Politikern und R.PDF,keep,core_event_or_useful_analysis,,
Dekan positioniert sich gegen AfD.PDF,keep,core_event_or_useful_analysis,,
"Der Nazi aus Österreich soll zu Hause bleiben Mehmet Daimagüler, Antiziganismusbeauftragter der Bund.PDF",keep,core_event_or_useful_analysis,,
Deutschland in Demolaune Zehntausende gehen in Köln gegen rechts auf die Straße. Weitere Demos sind.PDF,keep,core_event_or_useful_analysis,,
Die AfD und die Hebel der Macht Rechtsextremismus Warum das Potsdamer Geheimtreffen für Alarmstimmun.PDF,keep,core_event_or_useful_analysis,,
Die mobilisierte Republik Analyse Deutschlandweit demonstrieren Tausende gegen rechts. Die Sorge um(2).PDF,drop,duplicate_near,near_001,Dropped in favor of representative file: Die mobilisierte Republik Analyse Deutschlandweit demonstrieren Tausende gegen rechts. Die Sorge um.PDF (near_001).
Die mobilisierte Republik Analyse Deutschlandweit demonstrieren Tausende gegen rechts. Die Sorge um.PDF,keep,core_event_or_useful_analysis,near_001,Representative kept for near_001.
"Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit(2).PDF",drop,duplicate_exact,exact_002,"Dropped in favor of representative file: Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit.PDF (exact_002)."
"Gernot Mörig war der Zahnarzt von Volker Pispers Der Kabarettist räumt ein, an einem Abendessen mit.PDF",keep,core_event_or_useful_analysis,exact_002,Representative kept for exact_002.
Hilflos im Kampf gegen die AfD Der Höhenflug der Rechtspopulisten löst im Land große Sorge aus. Doch(2).PDF,keep,core_event_or_useful_analysis,,
Hilflos im Kampf gegen die AfD Der Höhenflug der Rechtspopulisten löst im Land große Sorge aus. Doch.PDF,keep,core_event_or_useful_analysis,,
Rechte profitieren von Enthüllungen Für die AfD und Rechtsextremist Martin Sellner ist es ein großer.PDF,keep,core_event_or_useful_analysis,,
Rechtes Geheimtreffen aufgedeckt AfD-Politiker sollen mit der Identitären Bewegung eine „Remigration(2).PDF,drop,duplicate_exact,exact_003,Dropped in favor of representative file: Rechtes Geheimtreffen aufgedeckt AfD-Politiker sollen mit der Identitären Bewegung eine „Remigration.PDF (exact_003).
Rechtes Geheimtreffen aufgedeckt AfD-Politiker sollen mit der Identitären Bewegung eine „Remigration.PDF,keep,core_event_or_useful_analysis,exact_003,Representative kept for exact_003.
Rechtes Geheimtreffen.PDF,drop,very_short_low_value,,
Von Höckes Gnaden.PDF,keep,core_event_or_useful_analysis,,
"Wappnen für den Ernstfall Vor den Landtagswahlen im Herbst diskutiert die Politik in Thüringen , ob.PDF",keep,core_event_or_useful_analysis,,
Weidel trennt sich von ihrem Referenten AfD Nach Enthüllungen über ein Geheimtreffen muss Roland Har.PDF,keep,core_event_or_useful_analysis,,
Zeit für Zorn.PDF,keep,core_event_or_useful_analysis,,
