group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Kirchenasyl reicht nicht Wir müssen die Gesetzeslage ändern(2).PDF | Kirchenasyl reicht nicht Wir müssen die Gesetzeslage ändern.PDF,Kirchenasyl reicht nicht; Wir müssen die Gesetzeslage ändern | Kirchenasyl reicht nicht Wir müssen die Gesetzeslage ändern,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),18. Juli 2013 | 18. Juli 2013
near_001,duplicate_near,2,Asylverfahren mit gutem Ausgang_ Nawid Sediqi darf bleiben.PDF | Asylverfahren_ Nawid Sediqi darf doch bleiben.PDF,Asylverfahren mit gutem Ausgang: Nawid Sediqi darf bleiben | Asylverfahren: Nawid Sediqi darf doch bleiben,Rheinische Post | Rheinische Post,2. Juli 2013 Dienstag | 2. Juli 2013 Dienstag
near_002,duplicate_near,2,Könnte Deutschland Snowden helfen_(2).PDF | Könnte Deutschland Snowden helfen_.PDF,Könnte Deutschland Snowden helfen? | Könnte Deutschland Snowden helfen?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Juli 2013 | 4. Juli 2013
near_003,duplicate_near,2,Rathaus-Chef bei Asylbewerbern_ _Kommunen nicht alleine lassen_.PDF | Rathaus-Chef besucht Asylbewerber.PDF,"Rathaus-Chef bei Asylbewerbern: ""Kommunen nicht alleine lassen"" | Rathaus-Chef besucht Asylbewerber",Rheinische Post | Rheinische Post,25. Juli 2013 Donnerstag | 25. Juli 2013 Donnerstag
near_004,duplicate_near,2,Sommer mit Spion Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde de(2).PDF | Sommer mit Spion Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde de.PDF,Sommer mit Spion Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde der | Sommer mit Spion; Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde der,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Juli 2013 | 4. Juli 2013
near_005,duplicate_near,2,Zuzug vom Balkan verdoppelt sich(2).PDF | Zuzug vom Balkan verdoppelt sich.PDF,Zuzug vom Balkan verdoppelt sich | Zuzug vom Balkan verdoppelt sich,Rheinische Post | Rheinische Post,8. Juli 2013 Montag | 8. Juli 2013 Montag
variant_001,regional_variant,2,Asylverfahren mit gutem Ausgang_ Nawid Sediqi darf bleiben.PDF | Asylverfahren_ Nawid Sediqi darf doch bleiben.PDF,Asylverfahren mit gutem Ausgang: Nawid Sediqi darf bleiben | Asylverfahren: Nawid Sediqi darf doch bleiben,Rheinische Post | Rheinische Post,2. Juli 2013 Dienstag | 2. Juli 2013 Dienstag
variant_002,regional_variant,2,Deutschland lehnt Aufnahme ab _Voraussetzungen fehlen_ _ Ex-Geheimdienstler bemüht sich in 20 Länder.PDF | Eine politische Entscheidung Snowden bemüht sich in 20 Ländern um Asyl - Deutschland will prüfen.PDF,"Deutschland lehnt Aufnahme ab ""Voraussetzungen fehlen"" / Ex-Geheimdienstler bemüht sich in 20 Ländern | Eine politische Entscheidung Snowden bemüht sich in 20 Ländern um Asyl - Deutschland will prüfen",Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 03. Juli 2013 | Mittwoch 03. Juli 2013
variant_003,regional_variant,2,Könnte Deutschland Snowden helfen_(2).PDF | Könnte Deutschland Snowden helfen_.PDF,Könnte Deutschland Snowden helfen? | Könnte Deutschland Snowden helfen?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Juli 2013 | 4. Juli 2013
variant_004,regional_variant,2,Rathaus-Chef bei Asylbewerbern_ _Kommunen nicht alleine lassen_.PDF | Rathaus-Chef besucht Asylbewerber.PDF,"Rathaus-Chef bei Asylbewerbern: ""Kommunen nicht alleine lassen"" | Rathaus-Chef besucht Asylbewerber",Rheinische Post | Rheinische Post,25. Juli 2013 Donnerstag | 25. Juli 2013 Donnerstag
variant_005,regional_variant,2,Sommer mit Spion Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde de(2).PDF | Sommer mit Spion Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde de.PDF,Sommer mit Spion Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde der | Sommer mit Spion; Im Juli 1973 machte Willy Brandt mit seiner Familie Ferien in Norwegen. Es wurde der,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Juli 2013 | 4. Juli 2013
variant_006,regional_variant,2,Zuzug vom Balkan verdoppelt sich(2).PDF | Zuzug vom Balkan verdoppelt sich.PDF,Zuzug vom Balkan verdoppelt sich | Zuzug vom Balkan verdoppelt sich,Rheinische Post | Rheinische Post,8. Juli 2013 Montag | 8. Juli 2013 Montag
