batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
2014-03,Main Corpus,2014-03(50).ZIP,30 Quadratmeter Deutschland Zwei tschetschenische Familien landen nach langer Flucht in einem Ort in.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\30 Quadratmeter Deutschland Zwei tschetschenische Familien landen nach langer Flucht in einem Ort in.PDF,30 Quadratmeter Deutschland Zwei tschetschenische Familien landen nach langer Flucht in einem Ort in,30 quadratmeter deutschland zwei tschetschenische familien landen nach langer flucht in einem ort in,"taz, die tageszeitung",taz die tageszeitung,Mittwoch 19. März 2014,ANNE FROMM,1610,10793,780b09f002df4494f81a7b0e315de8bf05aee0c3,,unique,keep,,no,,no,,,THEMEN DES TAGES; S. 05,no,
2014-03,Main Corpus,2014-03(50).ZIP,85 Flüchtlinge sind umgezogen.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\85 Flüchtlinge sind umgezogen.PDF,85 Flüchtlinge sind umgezogen,85 flüchtlinge sind umgezogen,Frankfurter Rundschau,frankfurter rundschau,Donnerstag 6. März 2014,,509,3738,4e4850a321e190b588500af6def85ec4e72e1621,,unique,keep,,no,,no,,,"DARMSTADT, OFFENBACH; S. R10",no,
2014-03,Main Corpus,2014-03(50).ZIP,Asyl_ Erste Schmierereien an Via Stenden.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Asyl_ Erste Schmierereien an Via Stenden.PDF,Asyl: Erste Schmierereien an Via Stenden,asyl erste schmierereien an via stenden,Rheinische Post,rheinische post,14. März 2014 Freitag,Von stefan Kriegel,461,3300,7e437f2d9ff726193bbe6dca99db4a7ebdb00085,,unique,keep,,no,,no,,,,no,
2014-03,Main Corpus,2014-03(50).ZIP,Ausländerbehörden kämpfen mit Kurswechsel AUFENTHALT Rot-Grün in Niedersachsen hat eine humanere Flü.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Ausländerbehörden kämpfen mit Kurswechsel AUFENTHALT Rot-Grün in Niedersachsen hat eine humanere Flü.PDF,Ausländerbehörden kämpfen mit Kurswechsel AUFENTHALT Rot-Grün in Niedersachsen hat eine humanere,ausländerbehörden kämpfen mit kurswechsel aufenthalt rotgrün in niedersachsen hat eine humanere,"taz, die tageszeitung",taz die tageszeitung,Mittwoch 12. März 2014,TERESA HAVLICEK,489,3817,6e4078dc9e8390b0ee95ee0a30f8bbd44f201dce,,unique,keep,,no,,no,,,NORD AKTUELL; S. 17,no,
2014-03,Main Corpus,2014-03(50).ZIP,Auto von Flüchtlingshelferin angezündet Katholische Seelsorgerin unterstützte die Bewohner des Heims.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Auto von Flüchtlingshelferin angezündet Katholische Seelsorgerin unterstützte die Bewohner des Heims.PDF,Auto von Flüchtlingshelferin angezündet; Katholische Seelsorgerin unterstützte die Bewohner des Heims an,auto von flüchtlingshelferin angezündet katholische seelsorgerin unterstützte die bewohner des heims an,Berliner Zeitung,berliner zeitung,19. März 2014,Andreas Kopietz,694,4962,5a9412dd872683c557fd4fd0cd2053864177d408,,unique,keep,,no,,no,,,LOK; S. 15,no,
2014-03,Main Corpus,2014-03(50).ZIP,Besetzte Schule_ Flüchtlinge verjagen Hausmeister.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Besetzte Schule_ Flüchtlinge verjagen Hausmeister.PDF,Besetzte Schule: Flüchtlinge verjagen Hausmeister,besetzte schule flüchtlinge verjagen hausmeister,Berliner Zeitung,berliner zeitung,14. März 2014,Andreas Kopietz,356,2549,10a4f780cbf82d92c57eda87b9a9cbaefae8eece,,unique,keep,,no,,no,,,LOK; S. 15,no,
2014-03,Main Corpus,2014-03(50).ZIP,"Bretter, die die Welt bedeuten Der Senat bezeichnet die Hütten der Flüchtlinge als illegal. Doch auc.PDF","C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Bretter, die die Welt bedeuten Der Senat bezeichnet die Hütten der Flüchtlinge als illegal. Doch auc.PDF","Bretter, die die Welt bedeuten Der Senat bezeichnet die Hütten der Flüchtlinge als illegal. Doch auch",bretter die die welt bedeuten der senat bezeichnet die hütten der flüchtlinge als illegal doch auch,Der Tagesspiegel,der tagesspiegel,Freitag 7. März 2014,Sabine Beikler und Fatina Keilani,644,4511,cb06ec62ce8ab11f00a78172cf1dc86deaed0894,,unique,keep,,no,,no,,,BERLIN; S. 7; Ausg. 21979,no,
2014-03,Main Corpus,2014-03(50).ZIP,Bretterbuden für die Rückkehrer Die Flüchtlinge auf dem Oranienplatz bauen sich jetzt feste Bleiben.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Bretterbuden für die Rückkehrer Die Flüchtlinge auf dem Oranienplatz bauen sich jetzt feste Bleiben.PDF,Bretterbuden für die Rückkehrer; Die Flüchtlinge auf dem Oranienplatz bauen sich jetzt feste Bleiben. Politiker,bretterbuden für die rückkehrer die flüchtlinge auf dem oranienplatz bauen sich jetzt feste bleiben politiker,Berliner Zeitung,berliner zeitung,04. März 2014,Julia Haak,723,5068,9fbc43e363f56af266462eea923922bb14f84930,,unique,keep,,no,,no,,,LOK; S. 15,no,
2014-03,Main Corpus,2014-03(50).ZIP,"Da schwelt etwas im Lande FREMDENFEINDLICHKEIT Eingeworfene Scheiben, Brände, Hakenkreuze an der Fas.PDF","C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Da schwelt etwas im Lande FREMDENFEINDLICHKEIT Eingeworfene Scheiben, Brände, Hakenkreuze an der Fas.PDF","Da schwelt etwas im Lande FREMDENFEINDLICHKEIT Eingeworfene Scheiben, Brände, Hakenkreuze an der",da schwelt etwas im lande fremdenfeindlichkeit eingeworfene scheiben brände hakenkreuze an der,"taz, die tageszeitung",taz die tageszeitung,Montag 03. März 2014,KONRAD LITSCHKO,1169,8554,b6091a0a890c65f7ed074fbd1881c6375a90feae,,unique,keep,,no,,no,,,INLAND; S. 07,no,
2014-03,Main Corpus,2014-03(50).ZIP,Deutschland Kompakt Atom_ Kommission für Endlager wird später eingerichtet ++ Rente mit 63_ Schlagab.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2014-03\raw_unarchive\Deutschland Kompakt Atom_ Kommission für Endlager wird später eingerichtet ++ Rente mit 63_ Schlagab.PDF,Deutschland Kompakt; Atom: Kommission für Endlager wird später eingerichtet ++ Rente mit 63:,deutschland kompakt atom kommission für endlager wird später eingerichtet  rente mit 63,Die Welt,die welt,Dienstag 11. März 2014,,526,3953,c9547d42740b8f7a29f128527343e8a15fc85191,,unique,keep,,no,,no,,,POLITIK; Kompakt; S. 4; Ausg. 59,no,
