group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,"Hamburg in einem Satz Warum lang, wenn es auch kurz geht_ Was die Stadt in dieser Woche bewegt hat(2).PDF | Hamburg in einem Satz Warum lang, wenn es auch kurz geht_ Was die Stadt in dieser Woche bewegt hat.PDF","Hamburg in einem Satz Warum lang, wenn es auch kurz geht? Was die Stadt in dieser Woche bewegt hat | Hamburg in einem Satz Warum lang, wenn es auch kurz geht? Was die Stadt in dieser Woche bewegt hat",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),22. März 2018 | 22. März 2018
exact_002,duplicate_exact,2,Los-Glück beim Amts-Bingo(2).PDF | Los-Glück beim Amts-Bingo.PDF,Los-Glück beim Amts-Bingo | Los-Glück beim Amts-Bingo,Rheinische Post | Rheinische Post,Freitag 2. März 2018 | Freitag 2. März 2018
near_001,duplicate_near,2,Die Liste der Schande Zahl der Angriffe auf Flüchtlingsheime ging 2017 zurück. Linke sieht keinen Gr.PDF | Ein Dokument der Schande Die Zahl der Angriffe auf Flüchtlingsheime ging im vergangenen Jahr zurück.PDF,Die Liste der Schande Zahl der Angriffe auf Flüchtlingsheime ging 2017 zurück. Linke sieht keinen Grund zur | Ein Dokument der Schande Die Zahl der Angriffe auf Flüchtlingsheime ging im vergangenen Jahr zurück. Die,Berliner Zeitung | Berliner Zeitung,01. März 2018 | 01. März 2018
near_002,duplicate_near,2,Grüne_ Keine wirklichen Lösungsansätze für Ausländeramt(2).PDF | Grüne_ Keine wirklichen Lösungsansätze für Ausländeramt.PDF,Grüne: Keine wirklichen Lösungsansätze für Ausländeramt | Grüne: Keine wirklichen Lösungsansätze für Ausländeramt,Rheinische Post | Rheinische Post,Donnerstag 15. März 2018 | Donnerstag 15. März 2018
near_003,duplicate_near,3,Hoffen auf Los-Glück beim Amts-Bingo.PDF | Los-Glück beim Amts-Bingo(2).PDF | Los-Glück beim Amts-Bingo.PDF,Hoffen auf Los-Glück beim Amts-Bingo | Los-Glück beim Amts-Bingo | Los-Glück beim Amts-Bingo,Rheinische Post | Rheinische Post | Rheinische Post,Freitag 2. März 2018 | Freitag 2. März 2018 | Freitag 2. März 2018
near_004,duplicate_near,2,Stadt plant weniger Geld für Flüchtlinge ein(2).PDF | Stadt plant weniger Geld für Flüchtlinge ein.PDF,Stadt plant weniger Geld für Flüchtlinge ein | Stadt plant weniger Geld für Flüchtlinge ein,Rheinische Post | Rheinische Post,Donnerstag 1. März 2018 | Donnerstag 1. März 2018
variant_001,regional_variant,2,Die Liste der Schande Zahl der Angriffe auf Flüchtlingsheime ging 2017 zurück. Linke sieht keinen Gr.PDF | Ein Dokument der Schande Die Zahl der Angriffe auf Flüchtlingsheime ging im vergangenen Jahr zurück.PDF,Die Liste der Schande Zahl der Angriffe auf Flüchtlingsheime ging 2017 zurück. Linke sieht keinen Grund zur | Ein Dokument der Schande Die Zahl der Angriffe auf Flüchtlingsheime ging im vergangenen Jahr zurück. Die,Berliner Zeitung | Berliner Zeitung,01. März 2018 | 01. März 2018
variant_002,regional_variant,2,Grüne_ Keine wirklichen Lösungsansätze für Ausländeramt(2).PDF | Grüne_ Keine wirklichen Lösungsansätze für Ausländeramt.PDF,Grüne: Keine wirklichen Lösungsansätze für Ausländeramt | Grüne: Keine wirklichen Lösungsansätze für Ausländeramt,Rheinische Post | Rheinische Post,Donnerstag 15. März 2018 | Donnerstag 15. März 2018
variant_003,regional_variant,3,Hoffen auf Los-Glück beim Amts-Bingo.PDF | Los-Glück beim Amts-Bingo(2).PDF | Los-Glück beim Amts-Bingo.PDF,Hoffen auf Los-Glück beim Amts-Bingo | Los-Glück beim Amts-Bingo | Los-Glück beim Amts-Bingo,Rheinische Post | Rheinische Post | Rheinische Post,Freitag 2. März 2018 | Freitag 2. März 2018 | Freitag 2. März 2018
variant_004,regional_variant,2,Kritik an Kretschmer für Kritik an Tellkamp-Kritik(2).PDF | Kritik an Kretschmer für Kritik an Tellkamp-Kritik.PDF,Kritik an Kretschmer für Kritik an Tellkamp-Kritik | Kritik an Kretschmer für Kritik an Tellkamp-Kritik,Berliner Zeitung | Berliner Zeitung,13. März 2018 | 13. März 2018
variant_005,regional_variant,2,"Mehr Gewalt Die Kriminalität in Brandenburg sinkt. Aber Straftaten von Flüchtlingen bereiten Problem.PDF | Weniger Straftaten, mehr Gewalt Brandenburg legt seine Kriminalstatistik vor.PDF","Mehr Gewalt Die Kriminalität in Brandenburg sinkt. Aber Straftaten von Flüchtlingen bereiten Probleme | Weniger Straftaten, mehr Gewalt Brandenburg legt seine Kriminalstatistik vor",Der Tagesspiegel | Der Tagesspiegel,Freitag 16. März 2018 | Freitag 16. März 2018
variant_006,regional_variant,2,Mutmaßliche Komplizen von Amri gefasst Festnahmen in Italien - und Ärger um die Akten in Berlin.PDF | Mutmaßliche Komplizen von Amri gefasst Fünf Verdächtige sitzen in Rom in Untersuchungshaft.PDF,Mutmaßliche Komplizen von Amri gefasst Festnahmen in Italien - und Ärger um die Akten in Berlin | Mutmaßliche Komplizen von Amri gefasst Fünf Verdächtige sitzen in Rom in Untersuchungshaft,Berliner Zeitung | Berliner Zeitung,31. März 2018 | 31. März 2018
variant_007,regional_variant,2,Stadt plant weniger Geld für Flüchtlinge ein(2).PDF | Stadt plant weniger Geld für Flüchtlinge ein.PDF,Stadt plant weniger Geld für Flüchtlinge ein | Stadt plant weniger Geld für Flüchtlinge ein,Rheinische Post | Rheinische Post,Donnerstag 1. März 2018 | Donnerstag 1. März 2018
