group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Der Riss wird größer(2).PDF | Der Riss wird größer.PDF,Der Riss wird größer | Der Riss wird größer,Berliner Zeitung | Berliner Zeitung,26. April 2019 | 26. April 2019
exact_002,duplicate_exact,2,"Vom Flüchtling zum Hotelkoch Als Kennedy Amoah 2015 nach Düsseldorf kam, war sein Aufenthalt in Deut(2).PDF | Vom Flüchtling zum Hotelkoch Als Kennedy Amoah 2015 nach Düsseldorf kam, war sein Aufenthalt in Deut.PDF","Vom Flüchtling zum Hotelkoch; Als Kennedy Amoah 2015 nach Düsseldorf kam, war sein Aufenthalt in | Vom Flüchtling zum Hotelkoch; Als Kennedy Amoah 2015 nach Düsseldorf kam, war sein Aufenthalt in",Rheinische Post | Rheinische Post,Donnerstag 4. April 2019 | Donnerstag 4. April 2019
exact_003,duplicate_exact,2,Wenige Syrer kehren zurück(2).PDF | Wenige Syrer kehren zurück.PDF,Wenige Syrer kehren zurück | Wenige Syrer kehren zurück,Rheinische Post | Rheinische Post,Dienstag 23. April 2019 | Dienstag 23. April 2019
near_001,duplicate_near,2,"5,5 Millionen Euro für 533 Afghanistan -Abschiebungen(2).PDF | 5,5 Millionen Euro für 533 Afghanistan -Abschiebungen.PDF","5,5 Millionen Euro für 533 Afghanistan-Abschiebungen | 5,5 Millionen Euro für 533 Afghanistan -Abschiebungen",Rheinische Post | Rheinische Post,Dienstag 9. April 2019 | Dienstag 9. April 2019
near_002,duplicate_near,2,"Die Kokosnuss-Lösung Hart nach außen, weicher nach innen_ Die Regierung findet endlich einen überzeu(2).PDF | Die Kokosnuss-Lösung Hart nach außen, weicher nach innen_ Die Regierung findet endlich einen überzeu.PDF","Die Kokosnuss-Lösung Hart nach außen, weicher nach innen: Die Regierung findet endlich einen | Die Kokosnuss-Lösung Hart nach außen, weicher nach innen: Die Regierung findet endlich einen",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),17. April 2019 | 17. April 2019
near_003,duplicate_near,2,"Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa(2).PDF | Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa.PDF","Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa unter | Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa unter",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. April 2019 | 4. April 2019
near_004,duplicate_near,2,Sie lieben und sie prügeln sich Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander k(2).PDF | Sie lieben und sie prügeln sich Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander k.PDF,Sie lieben und sie prügeln sich; Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander | Sie lieben und sie prügeln sich Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander,Rheinische Post | Rheinische Post,Montag 29. April 2019 | Montag 29. April 2019
variant_001,regional_variant,2,"5,5 Millionen Euro für 533 Afghanistan -Abschiebungen(2).PDF | 5,5 Millionen Euro für 533 Afghanistan -Abschiebungen.PDF","5,5 Millionen Euro für 533 Afghanistan-Abschiebungen | 5,5 Millionen Euro für 533 Afghanistan -Abschiebungen",Rheinische Post | Rheinische Post,Dienstag 9. April 2019 | Dienstag 9. April 2019
variant_002,regional_variant,2,"Die Kokosnuss-Lösung Hart nach außen, weicher nach innen_ Die Regierung findet endlich einen überzeu(2).PDF | Die Kokosnuss-Lösung Hart nach außen, weicher nach innen_ Die Regierung findet endlich einen überzeu.PDF","Die Kokosnuss-Lösung Hart nach außen, weicher nach innen: Die Regierung findet endlich einen | Die Kokosnuss-Lösung Hart nach außen, weicher nach innen: Die Regierung findet endlich einen",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),17. April 2019 | 17. April 2019
variant_003,regional_variant,2,"Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa(2).PDF | Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa.PDF","Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa unter | Die Unsichtbaren Die Zahl der Asylanträge sinkt zwar, doch immer mehr Immigranten tauchen in Europa unter",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. April 2019 | 4. April 2019
variant_004,regional_variant,2,Sie lieben und sie prügeln sich Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander k(2).PDF | Sie lieben und sie prügeln sich Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander k.PDF,Sie lieben und sie prügeln sich; Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander | Sie lieben und sie prügeln sich Die Mieter eines Hauses irgendwo in Deutschland müssen miteinander,Rheinische Post | Rheinische Post,Montag 29. April 2019 | Montag 29. April 2019
