group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Auf den Hund gekommen(2).PDF | Auf den Hund gekommen.PDF,Auf den Hund gekommen | Auf den Hund gekommen,Welt am Sonntag | Welt am Sonntag,12. September 2021 | 11. September 2021
exact_002,duplicate_exact,2,"Rat für Aufnahme von bis zu 150 afghanischen Flüchtlingen CDU, Grüne, SPD und FDP sprechen sich in e(2).PDF | Rat für Aufnahme von bis zu 150 afghanischen Flüchtlingen CDU, Grüne, SPD und FDP sprechen sich in e.PDF","Rat für Aufnahme von bis zu 150 afghanischen Flüchtlingen CDU, Grüne, SPD und FDP sprechen sich in | Rat für Aufnahme von bis zu 150 afghanischen Flüchtlingen; CDU, Grüne, SPD und FDP sprechen sich in",Rheinische Post | Rheinische Post,Mittwoch 15. September 2021 | Mittwoch 15. September 2021
near_001,duplicate_near,2,Ans Ende der Welt Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die grie(2).PDF | Ans Ende der Welt Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die grie.PDF,Ans Ende der Welt Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die griechische | Ans Ende der Welt; Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die griechische,Rheinische Post | Rheinische Post,Mittwoch 8. September 2021 | Mittwoch 8. September 2021
near_002,duplicate_near,2,Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein(2).PDF | Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein.PDF,Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein? | Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),23. September 2021 | 23. September 2021
near_003,duplicate_near,2,Dian lernt Deutsch – in Gebärdensprache Vor vier Jahren floh der Elfjährige mit seiner Familie aus B(2).PDF | Dian lernt Deutsch – in Gebärdensprache Vor vier Jahren floh der Elfjährige mit seiner Familie aus B.PDF,Dian lernt Deutsch – in Gebärdensprache Vor vier Jahren floh der Elfjährige mit seiner Familie aus | Dian lernt Deutsch – in Gebärdensprache; Vor vier Jahren floh der Elfjährige mit seiner Familie aus,Rheinische Post | Rheinische Post,Donnerstag 9. September 2021 | Donnerstag 9. September 2021
near_004,duplicate_near,2,"Einreisende aus Afghanistan überprüfen Interview Innenminister Pistorius über Abschiebestopp, Katast(2).PDF | Einreisende aus Afghanistan überprüfen Interview Innenminister Pistorius über Abschiebestopp, Katast.PDF","Einreisende aus Afghanistan überprüfen Interview Innenminister Pistorius über Abschiebestopp, | Einreisende aus Afghanistan überprüfen ; Interview Innenminister Pistorius über Abschiebestopp,",Nordwest-Zeitung | Nordwest-Zeitung,10. September 2021 | 10. September 2021
near_005,duplicate_near,2,Jens Söring über  Rückkehr ins Leben Ex-Häftling Deutscher saß über 33 Jahre im US -Gefängnis   Buch(2).PDF | Jens Söring über  Rückkehr ins Leben Ex-Häftling Deutscher saß über 33 Jahre im US -Gefängnis   Buch.PDF,Jens Söring über Rückkehr ins Leben ; Ex-Häftling Deutscher saß über 33 Jahre im US-Gefängnis Buch über | Jens Söring über Rückkehr ins Leben Ex-Häftling Deutscher saß über 33 Jahre im US -Gefängnis Buch über,Nordwest-Zeitung | Nordwest-Zeitung,21. September 2021 | 21. September 2021
near_006,duplicate_near,2,"Lkw-Fahrer, bitte melden In Großbritannien müssen Tankstellen schließen, weil es an Mitarbeitern feh(2).PDF | Lkw-Fahrer, bitte melden In Großbritannien müssen Tankstellen schließen, weil es an Mitarbeitern feh.PDF","Lkw-Fahrer, bitte melden; In Großbritannien müssen Tankstellen schließen, weil es an Mitarbeitern fehlt, die | Lkw-Fahrer, bitte melden; In Großbritannien müssen Tankstellen schließen, weil es an Mitarbeitern fehlt, die",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. September 2021 | 30. September 2021
variant_001,regional_variant,2,Ans Ende der Welt Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die grie(2).PDF | Ans Ende der Welt Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die grie.PDF,Ans Ende der Welt Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die griechische | Ans Ende der Welt; Vor einem Jahr zerstörte ein Feuer das Flüchtlingslager Moria auf Lesbos. Die griechische,Rheinische Post | Rheinische Post,Mittwoch 8. September 2021 | Mittwoch 8. September 2021
variant_002,regional_variant,2,Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein(2).PDF | Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein.PDF,Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein? | Deutschland braucht mehr Zuwanderer. Aber zwei von drei Syrern leben von Hartz IV. Wie kann das sein?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),23. September 2021 | 23. September 2021
variant_003,regional_variant,2,Dian lernt Deutsch – in Gebärdensprache Vor vier Jahren floh der Elfjährige mit seiner Familie aus B(2).PDF | Dian lernt Deutsch – in Gebärdensprache Vor vier Jahren floh der Elfjährige mit seiner Familie aus B.PDF,Dian lernt Deutsch – in Gebärdensprache Vor vier Jahren floh der Elfjährige mit seiner Familie aus | Dian lernt Deutsch – in Gebärdensprache; Vor vier Jahren floh der Elfjährige mit seiner Familie aus,Rheinische Post | Rheinische Post,Donnerstag 9. September 2021 | Donnerstag 9. September 2021
