group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Afghanische Ortskräfte sind in Kommunen angekommen(2).PDF | Afghanische Ortskräfte sind in Kommunen angekommen.PDF,Afghanische Ortskräfte sind in Kommunen angekommen | Afghanische Ortskräfte sind in Kommunen angekommen,Rheinische Post | Rheinische Post,Samstag 22. Januar 2022 | Samstag 22. Januar 2022
exact_002,duplicate_exact,2,"Deutschland wirbt nur 114 IT-Fachkräfte an Weil der Wirtschaft Hunderttausende Experten fehlen, such(2).PDF | Deutschland wirbt nur 114 IT-Fachkräfte an Weil der Wirtschaft Hunderttausende Experten fehlen, such.PDF","Deutschland wirbt nur 114 IT-Fachkräfte an Weil der Wirtschaft Hunderttausende Experten fehlen, sucht der | Deutschland wirbt nur 114 IT-Fachkräfte an Weil der Wirtschaft Hunderttausende Experten fehlen, sucht der",Welt am Sonntag | Welt am Sonntag,29. Januar 2022 | 30. Januar 2022
exact_003,duplicate_exact,2,Es kommen mehr Flüchtlinge Im Dezember wurden so viele aufgenommen wie seit 2017 nicht mehr(2).PDF | Es kommen mehr Flüchtlinge Im Dezember wurden so viele aufgenommen wie seit 2017 nicht mehr.PDF,Es kommen mehr Flüchtlinge; Im Dezember wurden so viele aufgenommen wie seit 2017 nicht mehr. | Es kommen mehr Flüchtlinge Im Dezember wurden so viele aufgenommen wie seit 2017 nicht mehr.,Rheinische Post | Rheinische Post,Montag 24. Januar 2022 | Montag 24. Januar 2022
exact_004,duplicate_exact,2,Flüchtlinge auch ohne Antrag Vereinzelt erhalten Städte Bewerber ohne Asylantrag. Noch kein Fall in(2).PDF | Flüchtlinge auch ohne Antrag Vereinzelt erhalten Städte Bewerber ohne Asylantrag. Noch kein Fall in.PDF,Flüchtlinge auch ohne Antrag Vereinzelt erhalten Städte Bewerber ohne Asylantrag. Noch kein Fall in | Flüchtlinge auch ohne Antrag; Vereinzelt erhalten Städte Bewerber ohne Asylantrag. Noch kein Fall in,Rheinische Post | Rheinische Post,Freitag 28. Januar 2022 | Freitag 28. Januar 2022
exact_005,duplicate_exact,2,Hohe Schulden durch Abschiebung(2).PDF | Hohe Schulden durch Abschiebung.PDF,Hohe Schulden durch Abschiebung | Hohe Schulden durch Abschiebung,Frankfurter Rundschau | Frankfurter Rundschau,Samstag 29. Januar 2022 | Freitag 28. Januar 2022
exact_006,duplicate_exact,2,"Land ohne Helfer In Deutschland sind nicht nur Fachkräfte knapp, auch Ungelernte werden händeringend(2).PDF | Land ohne Helfer In Deutschland sind nicht nur Fachkräfte knapp, auch Ungelernte werden händeringend.PDF","Land ohne Helfer In Deutschland sind nicht nur Fachkräfte knapp, auch Ungelernte werden händeringend | Land ohne Helfer In Deutschland sind nicht nur Fachkräfte knapp, auch Ungelernte werden händeringend",Welt am Sonntag | Welt am Sonntag,9. Januar 2022 | 8. Januar 2022
exact_007,duplicate_exact,2,Ortskräfte aus Afghanistan angekommen Es gibt wieder deutlich mehr Zuweisungen von Flüchtlingen in d(2).PDF | Ortskräfte aus Afghanistan angekommen Es gibt wieder deutlich mehr Zuweisungen von Flüchtlingen in d.PDF,Ortskräfte aus Afghanistan angekommen Es gibt wieder deutlich mehr Zuweisungen von Flüchtlingen in die | Ortskräfte aus Afghanistan angekommen Es gibt wieder deutlich mehr Zuweisungen von Flüchtlingen in die,Rheinische Post | Rheinische Post,Dienstag 18. Januar 2022 | Donnerstag 20. Januar 2022
near_001,duplicate_near,2,"Brauchen bessere Willkommenskultur Beschäftigung Chef der Arbeitsagentur erklärt, warum immer noch s(2).PDF | Brauchen bessere Willkommenskultur Beschäftigung Chef der Arbeitsagentur erklärt, warum immer noch s.PDF","Brauchen bessere Willkommenskultur ; Beschäftigung Chef der Arbeitsagentur erklärt, warum immer noch so | Brauchen bessere Willkommenskultur Beschäftigung Chef der Arbeitsagentur erklärt, warum immer noch so",Nordwest-Zeitung | Nordwest-Zeitung,20. Januar 2022 | 20. Januar 2022
near_002,duplicate_near,2,Der Kollege aus Afghanistan Abdul Taher Bahram ist frisch gebackener Kfz-Mechatroniker. Die Ausbildu(2).PDF | Der Kollege aus Afghanistan Abdul Taher Bahram ist frisch gebackener Kfz-Mechatroniker. Die Ausbildu.PDF,Der Kollege aus Afghanistan Abdul Taher Bahram ist frisch gebackener Kfz-Mechatroniker. Die Ausbildung | Der Kollege aus Afghanistan; Abdul Taher Bahram ist frisch gebackener Kfz-Mechatroniker. Die Ausbildung,Rheinische Post | Rheinische Post,Samstag 22. Januar 2022 | Samstag 22. Januar 2022
near_003,duplicate_near,2,Kreis muss mehr Flüchtlinge aufnehmen Zuwanderung Wohnraum für Asylsuchende benötigt   Lage in Gande(2).PDF | Kreis muss mehr Flüchtlinge aufnehmen Zuwanderung Wohnraum für Asylsuchende benötigt   Lage in Gande.PDF,Kreis muss mehr Flüchtlinge aufnehmen; Zuwanderung Wohnraum für Asylsuchende benötigt Lage in | Kreis muss mehr Flüchtlinge aufnehmen Zuwanderung Wohnraum für Asylsuchende benötigt Lage in,Nordwest-Zeitung | Nordwest-Zeitung,04. Januar 2022 | 04. Januar 2022
near_004,duplicate_near,2,Servus mit Handschellen(2).PDF | Servus mit Handschellen.PDF,Servus mit Handschellen | Servus mit Handschellen,Frankfurter Rundschau | Frankfurter Rundschau,Samstag 15. Januar 2022 | Samstag 15. Januar 2022
