group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Asyl-Bundesamt erleidet schwere Schlappe vor EuGH(2).PDF | Asyl-Bundesamt erleidet schwere Schlappe vor EuGH.PDF,Asyl-Bundesamt erleidet schwere Schlappe vor EuGH | Asyl-Bundesamt erleidet schwere Schlappe vor EuGH,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 23. September 2022 | Freitag 23. September 2022
exact_002,duplicate_exact,2,Bei der Flüchtlingsaufnahme sind zwölf Länder am Limit(2).PDF | Bei der Flüchtlingsaufnahme sind zwölf Länder am Limit.PDF,Bei der Flüchtlingsaufnahme sind zwölf Länder am Limit | Bei der Flüchtlingsaufnahme sind zwölf Länder am Limit,Rheinische Post | Rheinische Post,Montag 5. September 2022 | Montag 5. September 2022
exact_003,duplicate_exact,2,Das böse Wort vom „Sozialtourismus“ Zwei Wochen vor der wichtigen Landtagswahl in Niedersachsen löst(2).PDF | Das böse Wort vom „Sozialtourismus“ Zwei Wochen vor der wichtigen Landtagswahl in Niedersachsen löst.PDF,Das böse Wort vom „Sozialtourismus“ Zwei Wochen vor der wichtigen Landtagswahl in Niedersachsen löst | Das böse Wort vom „Sozialtourismus“ Zwei Wochen vor der wichtigen Landtagswahl in Niedersachsen löst,Rheinische Post | Rheinische Post,Mittwoch 28. September 2022 | Mittwoch 28. September 2022
exact_004,duplicate_exact,2,Gute Chancen auf Arbeit(2).PDF | Gute Chancen auf Arbeit.PDF,Gute Chancen auf Arbeit | Gute Chancen auf Arbeit,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 2. September 2022 | Freitag 2. September 2022
exact_005,duplicate_exact,2,Merz bedauert seine Wortwahl(2).PDF | Merz bedauert seine Wortwahl.PDF,Merz bedauert seine Wortwahl | Merz bedauert seine Wortwahl,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 28. September 2022 | Mittwoch 28. September 2022
near_001,duplicate_near,2,Die Luft wird langsam dünn Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus Kriseng(2).PDF | Die Luft wird langsam dünn Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus Kriseng.PDF,Die Luft wird langsam dünn ; Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus | Die Luft wird langsam dünn Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus Krisengebieten,Nordwest-Zeitung | Nordwest-Zeitung,12. September 2022 | 12. September 2022
near_002,duplicate_near,2,Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Int(2).PDF | Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Int.PDF,Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Integration | Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Integration,Nordwest-Zeitung | Nordwest-Zeitung,17. September 2022 | 17. September 2022
near_003,duplicate_near,2,Über die Grenzen CDU-Friedrich Merz wirft ukrainischen Flüchtlingen _Sozialtourismus_ vor. Seine Ent.PDF | Über die Grenzen.PDF,"Über die Grenzen CDU-Friedrich Merz wirft ukrainischen Flüchtlingen ""Sozialtourismus"" vor. Seine | Über die Grenzen",Der Tagesspiegel | Der Tagesspiegel,Mittwoch 28. September 2022 | Mittwoch 28. September 2022
variant_001,regional_variant,2,Die Luft wird langsam dünn Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus Kriseng(2).PDF | Die Luft wird langsam dünn Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus Kriseng.PDF,Die Luft wird langsam dünn ; Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus | Die Luft wird langsam dünn Soziales Landkreis Aurich fehlen Unterkünfte für junge Männer aus Krisengebieten,Nordwest-Zeitung | Nordwest-Zeitung,12. September 2022 | 12. September 2022
variant_002,regional_variant,2,Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Int(2).PDF | Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Int.PDF,Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Integration | Politik duldet keine Parallelgesellschaft Zuwanderung Welche Rolle Grundgesetz und Werte bei der Integration,Nordwest-Zeitung | Nordwest-Zeitung,17. September 2022 | 17. September 2022
variant_003,regional_variant,2,Über die Grenzen CDU-Friedrich Merz wirft ukrainischen Flüchtlingen _Sozialtourismus_ vor. Seine Ent.PDF | Über die Grenzen.PDF,"Über die Grenzen CDU-Friedrich Merz wirft ukrainischen Flüchtlingen ""Sozialtourismus"" vor. Seine | Über die Grenzen",Der Tagesspiegel | Der Tagesspiegel,Mittwoch 28. September 2022 | Mittwoch 28. September 2022
