group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Deutschland scheitert am Dublin-System(2).PDF | Deutschland scheitert am Dublin-System.PDF,Deutschland scheitert am Dublin-System | Deutschland scheitert am Dublin-System,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 28. Januar 2025 | Dienstag 28. Januar 2025
exact_002,duplicate_exact,2,Ein Land in Gefahr Islamismus(2).PDF | Ein Land in Gefahr Islamismus.PDF,Ein Land in Gefahr Islamismus | Ein Land in Gefahr Islamismus,Welt am Sonntag | Welt am Sonntag,5. Januar 2025 | 4. Januar 2025
exact_003,duplicate_exact,2,Geflüchtete_ Stadt bittet um Zuweisungsstopp Die Unterbringung von Asylbewerbern bleibt auch in der(2).PDF | Geflüchtete_ Stadt bittet um Zuweisungsstopp Die Unterbringung von Asylbewerbern bleibt auch in der.PDF,Geflüchtete: Stadt bittet um Zuweisungsstopp Die Unterbringung von Asylbewerbern bleibt auch in der | Geflüchtete: Stadt bittet um Zuweisungsstopp Die Unterbringung von Asylbewerbern bleibt auch in der,Rheinische Post | Rheinische Post,Freitag 10. Januar 2025 | Freitag 10. Januar 2025
exact_004,duplicate_exact,2,"Kommunen überlastet mit Flüchtlingen Eine Antwort der Landesregierung zeigt, dass 229 von 396 Kommun(2).PDF | Kommunen überlastet mit Flüchtlingen Eine Antwort der Landesregierung zeigt, dass 229 von 396 Kommun.PDF","Kommunen überlastet mit Flüchtlingen Eine Antwort der Landesregierung zeigt, dass 229 von 396 Kommunen | Kommunen überlastet mit Flüchtlingen Eine Antwort der Landesregierung zeigt, dass 229 von 396 Kommunen",Rheinische Post | Rheinische Post,Mittwoch 29. Januar 2025 | Mittwoch 29. Januar 2025
exact_005,duplicate_exact,2,Lage der Kommunen wird nicht besser(2).PDF | Lage der Kommunen wird nicht besser.PDF,Lage der Kommunen wird nicht besser | Lage der Kommunen wird nicht besser,Rheinische Post | Rheinische Post,Mittwoch 29. Januar 2025 | Mittwoch 29. Januar 2025
exact_006,duplicate_exact,2,Prekäre Lage in Syrien(2).PDF | Prekäre Lage in Syrien.PDF,Prekäre Lage in Syrien | Prekäre Lage in Syrien,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 17. Januar 2025 | Freitag 17. Januar 2025
exact_007,duplicate_exact,2,Straftäter sollen schnell zurück Faesers Pläne zur Heimkehr syrischer Flüchtlinge stoßen auf ein get(2).PDF | Straftäter sollen schnell zurück Faesers Pläne zur Heimkehr syrischer Flüchtlinge stoßen auf ein get.PDF,Straftäter sollen schnell zurück; Faesers Pläne zur Heimkehr syrischer Flüchtlinge stoßen auf ein geteiltes | Straftäter sollen schnell zurück; Faesers Pläne zur Heimkehr syrischer Flüchtlinge stoßen auf ein geteiltes,Rheinische Post | Rheinische Post,Montag 6. Januar 2025 | Montag 6. Januar 2025
exact_008,duplicate_exact,2,Tödlicher Kinderwunsch(2).PDF | Tödlicher Kinderwunsch.PDF,Tödlicher Kinderwunsch | Tödlicher Kinderwunsch,Welt am Sonntag | Welt am Sonntag,11. Januar 2025 | 12. Januar 2025
exact_009,duplicate_exact,2,Verletzte trotz Verbot Einsatzkräfte hatten an Silvester viel zu tun. In einem Flüchtlingsheim in Sc(2).PDF | Verletzte trotz Verbot Einsatzkräfte hatten an Silvester viel zu tun. In einem Flüchtlingsheim in Sc.PDF,Verletzte trotz Verbot Einsatzkräfte hatten an Silvester viel zu tun. In einem Flüchtlingsheim in Schwalmtal | Verletzte trotz Verbot Einsatzkräfte hatten an Silvester viel zu tun. In einem Flüchtlingsheim in Schwalmtal,Rheinische Post | Rheinische Post,Donnerstag 2. Januar 2025 | Donnerstag 2. Januar 2025
exact_010,duplicate_exact,2,Verschärfter Ton(2).PDF | Verschärfter Ton.PDF,Verschärfter Ton | Verschärfter Ton,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 7. Januar 2025 | Dienstag 7. Januar 2025
exact_011,duplicate_exact,2,"„Wir müssen kontrollieren, wem wir warum helfen“(2).PDF | „Wir müssen kontrollieren, wem wir warum helfen“.PDF","„Wir müssen kontrollieren, wem wir warum helfen“ | „Wir müssen kontrollieren, wem wir warum helfen“",Frankfurter Rundschau | Frankfurter Rundschau,Freitag 17. Januar 2025 | Freitag 17. Januar 2025
near_001,duplicate_near,2,Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei(2).PDF | Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei.PDF,Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei einer | Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei einer,Rheinische Post | Rheinische Post,Freitag 24. Januar 2025 | Freitag 24. Januar 2025
near_002,duplicate_near,2,Geflüchtete ziehen häufig in Ruhrgebietsstädte Laut einer Studie sind günstige Mieten und verfügbare(2).PDF | Geflüchtete ziehen häufig in Ruhrgebietsstädte Laut einer Studie sind günstige Mieten und verfügbare.PDF,Geflüchtete ziehen häufig in Ruhrgebietsstädte Laut einer Studie sind günstige Mieten und verfügbarer | Geflüchtete ziehen häufig in Ruhrgebietsstädte; Laut einer Studie sind günstige Mieten und verfügbarer,Rheinische Post | Rheinische Post,Dienstag 21. Januar 2025 | Dienstag 21. Januar 2025
near_003,duplicate_near,2,Geflüchteter sprüht mit Reizgas_ 27 Verletzte in Weezer Unterkunft.PDF | Geflüchteter sprüht mit Reizgas_ 27 Verletzte.PDF,Geflüchteter sprüht mit Reizgas: 27 Verletzte in Weezer Unterkunft | Geflüchteter sprüht mit Reizgas: 27 Verletzte,Rheinische Post | Rheinische Post,Freitag 10. Januar 2025 | Freitag 10. Januar 2025
near_004,duplicate_near,2,Historische Stunde im Plenum(2).PDF | Historische Stunde im Plenum.PDF,Historische Stunde im Plenum | Historische Stunde im Plenum,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 29. Januar 2025 | Mittwoch 29. Januar 2025
near_005,duplicate_near,2,"Viele Syrer in Duisburg sind eingebürgert Einbürgerungen, Bürgergeld, Wohnviertel_ Die Daten und Fak(2).PDF | Viele Syrer in Duisburg sind eingebürgert Einbürgerungen, Bürgergeld, Wohnviertel_ Die Daten und Fak.PDF","Viele Syrer in Duisburg sind eingebürgert Einbürgerungen, Bürgergeld, Wohnviertel: Die Daten und Fakten | Viele Syrer in Duisburg sind eingebürgert; Einbürgerungen, Bürgergeld, Wohnviertel: Die Daten und Fakten",Rheinische Post | Rheinische Post,Dienstag 7. Januar 2025 | Dienstag 7. Januar 2025
near_006,duplicate_near,2,"„Lieber sterbe ich, als zurück nach Ägypten zu müssen“ Mohamed Attia ist als Produktionshelfer beim.PDF | „Lieber sterb‘ ich, als zurück zu müssen“ Mohamed Attia ist als Produktionshelfer beim Betrieb für K.PDF","„Lieber sterbe ich, als zurück nach Ägypten zu müssen“ Mohamed Attia ist als Produktionshelfer beim Betrieb | „Lieber sterb‘ ich, als zurück zu müssen“ Mohamed Attia ist als Produktionshelfer beim Betrieb für Kunststoff-",Rheinische Post | Rheinische Post,Mittwoch 15. Januar 2025 | Mittwoch 15. Januar 2025
variant_001,regional_variant,2,Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei(2).PDF | Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei.PDF,Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei einer | Flüchtlingsunterkunft sorgt für Skepsis Die Bezirksregierung Düsseldorf stellte die Pläne jetzt bei einer,Rheinische Post | Rheinische Post,Freitag 24. Januar 2025 | Freitag 24. Januar 2025
variant_002,regional_variant,2,Geflüchtete ziehen häufig in Ruhrgebietsstädte Laut einer Studie sind günstige Mieten und verfügbare(2).PDF | Geflüchtete ziehen häufig in Ruhrgebietsstädte Laut einer Studie sind günstige Mieten und verfügbare.PDF,Geflüchtete ziehen häufig in Ruhrgebietsstädte Laut einer Studie sind günstige Mieten und verfügbarer | Geflüchtete ziehen häufig in Ruhrgebietsstädte; Laut einer Studie sind günstige Mieten und verfügbarer,Rheinische Post | Rheinische Post,Dienstag 21. Januar 2025 | Dienstag 21. Januar 2025
variant_003,regional_variant,2,Geflüchteter sprüht mit Reizgas_ 27 Verletzte in Weezer Unterkunft.PDF | Geflüchteter sprüht mit Reizgas_ 27 Verletzte.PDF,Geflüchteter sprüht mit Reizgas: 27 Verletzte in Weezer Unterkunft | Geflüchteter sprüht mit Reizgas: 27 Verletzte,Rheinische Post | Rheinische Post,Freitag 10. Januar 2025 | Freitag 10. Januar 2025
variant_004,regional_variant,2,Historische Stunde im Plenum(2).PDF | Historische Stunde im Plenum.PDF,Historische Stunde im Plenum | Historische Stunde im Plenum,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 29. Januar 2025 | Mittwoch 29. Januar 2025
variant_005,regional_variant,2,"Viele Syrer in Duisburg sind eingebürgert Einbürgerungen, Bürgergeld, Wohnviertel_ Die Daten und Fak(2).PDF | Viele Syrer in Duisburg sind eingebürgert Einbürgerungen, Bürgergeld, Wohnviertel_ Die Daten und Fak.PDF","Viele Syrer in Duisburg sind eingebürgert Einbürgerungen, Bürgergeld, Wohnviertel: Die Daten und Fakten | Viele Syrer in Duisburg sind eingebürgert; Einbürgerungen, Bürgergeld, Wohnviertel: Die Daten und Fakten",Rheinische Post | Rheinische Post,Dienstag 7. Januar 2025 | Dienstag 7. Januar 2025
variant_006,regional_variant,2,"„Lieber sterbe ich, als zurück nach Ägypten zu müssen“ Mohamed Attia ist als Produktionshelfer beim.PDF | „Lieber sterb‘ ich, als zurück zu müssen“ Mohamed Attia ist als Produktionshelfer beim Betrieb für K.PDF","„Lieber sterbe ich, als zurück nach Ägypten zu müssen“ Mohamed Attia ist als Produktionshelfer beim Betrieb | „Lieber sterb‘ ich, als zurück zu müssen“ Mohamed Attia ist als Produktionshelfer beim Betrieb für Kunststoff-",Rheinische Post | Rheinische Post,Mittwoch 15. Januar 2025 | Mittwoch 15. Januar 2025
