group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Asylverfahren dauern fast neun Monate(2).PDF | Asylverfahren dauern fast neun Monate.PDF,Asylverfahren dauern fast neun Monate | Asylverfahren dauern fast neun Monate,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 7. März 2025 | Freitag 7. März 2025
exact_002,duplicate_exact,2,Außenpolitik im Zwiespalt Analyse Charterflüge mit afghanischen Flüchtlingen nach Deutschland sind u(2).PDF | Außenpolitik im Zwiespalt Analyse Charterflüge mit afghanischen Flüchtlingen nach Deutschland sind u.PDF,Außenpolitik im Zwiespalt Analyse Charterflüge mit afghanischen Flüchtlingen nach Deutschland sind | Außenpolitik im Zwiespalt Analyse Charterflüge mit afghanischen Flüchtlingen nach Deutschland sind,Rheinische Post | Rheinische Post,Mittwoch 12. März 2025 | Mittwoch 12. März 2025
exact_003,duplicate_exact,2,Deutschland sagt 300 Millionen Euro für Syrien zu(2).PDF | Deutschland sagt 300 Millionen Euro für Syrien zu.PDF,Deutschland sagt 300 Millionen Euro für Syrien zu | Deutschland sagt 300 Millionen Euro für Syrien zu,Rheinische Post | Rheinische Post,Dienstag 18. März 2025 | Dienstag 18. März 2025
exact_004,duplicate_exact,2,"Ein rechter Traum Analyse Viele Populisten sehen ihr Vorbild in Japan , wo die Migrationspolitik lan(2).PDF | Ein rechter Traum Analyse Viele Populisten sehen ihr Vorbild in Japan , wo die Migrationspolitik lan.PDF","Ein rechter Traum Analyse Viele Populisten sehen ihr Vorbild in Japan , wo die Migrationspolitik lange restriktiv | Ein rechter Traum Analyse Viele Populisten sehen ihr Vorbild in Japan , wo die Migrationspolitik lange restriktiv",Rheinische Post | Rheinische Post,Dienstag 4. März 2025 | Dienstag 4. März 2025
exact_005,duplicate_exact,2,Erdogans Gruß aus Beton Mit einer Mauer will die Türkei die Fluchtroute nach Griechenland – und dami(2).PDF | Erdogans Gruß aus Beton Mit einer Mauer will die Türkei die Fluchtroute nach Griechenland – und dami.PDF,Erdogans Gruß aus Beton Mit einer Mauer will die Türkei die Fluchtroute nach Griechenland – und damit in die | Erdogans Gruß aus Beton Mit einer Mauer will die Türkei die Fluchtroute nach Griechenland – und damit in die,Rheinische Post | Rheinische Post,Montag 10. März 2025 | Montag 10. März 2025
exact_006,duplicate_exact,2,"Mehr rechtsextreme Straftaten in NRW Zunehmende Gewalt auf den Straßen, wachsender Hass im Internet_(2).PDF | Mehr rechtsextreme Straftaten in NRW Zunehmende Gewalt auf den Straßen, wachsender Hass im Internet_.PDF","Mehr rechtsextreme Straftaten in NRW Zunehmende Gewalt auf den Straßen, wachsender Hass im Internet: | Mehr rechtsextreme Straftaten in NRW Zunehmende Gewalt auf den Straßen, wachsender Hass im Internet:",Rheinische Post | Rheinische Post,Donnerstag 20. März 2025 | Donnerstag 20. März 2025
exact_007,duplicate_exact,2,NACHRICHTEN(2).PDF | NACHRICHTEN.PDF,NACHRICHTEN | NACHRICHTEN,Frankfurter Rundschau | Frankfurter Rundschau,Samstag 22. März 2025 | Samstag 22. März 2025
exact_008,duplicate_exact,2,Ohne Zuzug jährlich weniger Einwohner Statistik Erstmals wieder leichter Anstieg in Krummhörn   Deut(2).PDF | Ohne Zuzug jährlich weniger Einwohner Statistik Erstmals wieder leichter Anstieg in Krummhörn   Deut.PDF,Ohne Zuzug jährlich weniger Einwohner Statistik Erstmals wieder leichter Anstieg in Krummhörn Deutlich | Ohne Zuzug jährlich weniger Einwohner Statistik Erstmals wieder leichter Anstieg in Krummhörn Deutlich,Nordwest-Zeitung | Nordwest-Zeitung,13. März 2025 | 12. März 2025
exact_009,duplicate_exact,2,Solinger Attentäter ohne Ausweis Die Terrororganisation IS soll seinen früheren syrischen Wohnort ko(2).PDF | Solinger Attentäter ohne Ausweis Die Terrororganisation IS soll seinen früheren syrischen Wohnort ko.PDF,Solinger Attentäter ohne Ausweis Die Terrororganisation IS soll seinen früheren syrischen Wohnort kontrolliert | Solinger Attentäter ohne Ausweis Die Terrororganisation IS soll seinen früheren syrischen Wohnort kontrolliert,Rheinische Post | Rheinische Post,Dienstag 25. März 2025 | Dienstag 25. März 2025
exact_010,duplicate_exact,2,Straftäter und Gefährder könnten nur der Anfang sein(2).PDF | Straftäter und Gefährder könnten nur der Anfang sein.PDF,Straftäter und Gefährder könnten nur der Anfang sein | Straftäter und Gefährder könnten nur der Anfang sein,Frankfurter Rundschau | Frankfurter Rundschau,Montag 31. März 2025 | Montag 31. März 2025
exact_011,duplicate_exact,2,"Warten auf den Trump-Effekt Europäische Tech-Unternehmen und Universitäten setzen darauf, dass die P(2).PDF | Warten auf den Trump-Effekt Europäische Tech-Unternehmen und Universitäten setzen darauf, dass die P.PDF","Warten auf den Trump-Effekt Europäische Tech-Unternehmen und Universitäten setzen darauf, dass die Politik | Warten auf den Trump-Effekt Europäische Tech-Unternehmen und Universitäten setzen darauf, dass die Politik",Welt am Sonntag | Welt am Sonntag,22. März 2025 | 23. März 2025
