group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Aschaffenburgs Held darf bleiben(2).PDF | Aschaffenburgs Held darf bleiben.PDF,Aschaffenburgs Held darf bleiben | Aschaffenburgs Held darf bleiben,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 8. April 2025 | Dienstag 8. April 2025
exact_002,duplicate_exact,2,Boxmeister kämpft gegen Abschiebung(2).PDF | Boxmeister kämpft gegen Abschiebung.PDF,Boxmeister kämpft gegen Abschiebung | Boxmeister kämpft gegen Abschiebung,Frankfurter Rundschau | Frankfurter Rundschau,Samstag 19. April 2025 | Samstag 19. April 2025
exact_003,duplicate_exact,2,Freiwillig nach Syrien(2).PDF | Freiwillig nach Syrien.PDF,Freiwillig nach Syrien | Freiwillig nach Syrien,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 24. April 2025 | Donnerstag 24. April 2025
exact_004,duplicate_exact,2,Immer weniger Scheu vor den Taliban(2).PDF | Immer weniger Scheu vor den Taliban.PDF,Immer weniger Scheu vor den Taliban | Immer weniger Scheu vor den Taliban,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 17. April 2025 | Donnerstag 17. April 2025
exact_005,duplicate_exact,2,Keine Aufnahmen mehr(2).PDF | Keine Aufnahmen mehr.PDF,Keine Aufnahmen mehr | Keine Aufnahmen mehr,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 9. April 2025 | Mittwoch 9. April 2025
exact_006,duplicate_exact,2,Kritik an ARD-Sendung zu Migration Analyse Ein Beitrag des neuen Fernsehformats „Klar“ im Ersten ver(2).PDF | Kritik an ARD-Sendung zu Migration Analyse Ein Beitrag des neuen Fernsehformats „Klar“ im Ersten ver.PDF,Kritik an ARD-Sendung zu Migration Analyse Ein Beitrag des neuen Fernsehformats „Klar“ im Ersten | Kritik an ARD-Sendung zu Migration Analyse Ein Beitrag des neuen Fernsehformats „Klar“ im Ersten,Rheinische Post | Rheinische Post,Dienstag 15. April 2025 | Dienstag 15. April 2025
exact_007,duplicate_exact,2,Noch einige Plätze für Flüchtlinge frei Mit der Inbetriebnahme von neuen Unterkünften für Asylsuchen(2).PDF | Noch einige Plätze für Flüchtlinge frei Mit der Inbetriebnahme von neuen Unterkünften für Asylsuchen.PDF,Noch einige Plätze für Flüchtlinge frei Mit der Inbetriebnahme von neuen Unterkünften für Asylsuchende hat | Noch einige Plätze für Flüchtlinge frei Mit der Inbetriebnahme von neuen Unterkünften für Asylsuchende hat,Rheinische Post | Rheinische Post,Mittwoch 9. April 2025 | Mittwoch 9. April 2025
exact_008,duplicate_exact,2,PRESSESTIMMEN(2).PDF | PRESSESTIMMEN.PDF,PRESSESTIMMEN | PRESSESTIMMEN,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 3. April 2025 | Donnerstag 3. April 2025
exact_009,duplicate_exact,2,Weniger Geld für Flüchtlinge aus der Ukraine(2).PDF | Weniger Geld für Flüchtlinge aus der Ukraine.PDF,Weniger Geld für Flüchtlinge aus der Ukraine | Weniger Geld für Flüchtlinge aus der Ukraine,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 16. April 2025 | Mittwoch 16. April 2025
exact_010,duplicate_exact,2,Wir müssen nicht alles wissen(2).PDF | Wir müssen nicht alles wissen.PDF,Wir müssen nicht alles wissen | Wir müssen nicht alles wissen,Welt am Sonntag | Welt am Sonntag,5. April 2025 | 6. April 2025
near_001,duplicate_near,2,Zufluchtsort für ausländische Familien Bei der von einer Chilenin und einer Ukrainerin gegründeten E(2).PDF | Zufluchtsort für ausländische Familien Bei der von einer Chilenin und einer Ukrainerin gegründeten E.PDF,Zufluchtsort für ausländische Familien Bei der von einer Chilenin und einer Ukrainerin gegründeten Einrichtung | Zufluchtsort für ausländische Familien; Bei der von einer Chilenin und einer Ukrainerin gegründeten Einrichtung,Rheinische Post | Rheinische Post,Donnerstag 17. April 2025 | Donnerstag 17. April 2025
variant_001,regional_variant,2,Zufluchtsort für ausländische Familien Bei der von einer Chilenin und einer Ukrainerin gegründeten E(2).PDF | Zufluchtsort für ausländische Familien Bei der von einer Chilenin und einer Ukrainerin gegründeten E.PDF,Zufluchtsort für ausländische Familien Bei der von einer Chilenin und einer Ukrainerin gegründeten Einrichtung | Zufluchtsort für ausländische Familien; Bei der von einer Chilenin und einer Ukrainerin gegründeten Einrichtung,Rheinische Post | Rheinische Post,Donnerstag 17. April 2025 | Donnerstag 17. April 2025
