group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Deutschland braucht ein stabiles Syrien(2).PDF | Deutschland braucht ein stabiles Syrien.PDF,Deutschland braucht ein stabiles Syrien | Deutschland braucht ein stabiles Syrien,Rheinische Post | Rheinische Post,Donnerstag 17. Juli 2025 | Donnerstag 17. Juli 2025
exact_002,duplicate_exact,2,Dobrindt will mit Taliban reden(2).PDF | Dobrindt will mit Taliban reden.PDF,Dobrindt will mit Taliban reden | Dobrindt will mit Taliban reden,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 4. Juli 2025 | Freitag 4. Juli 2025
exact_003,duplicate_exact,2,Dobrindt will mit Taliban über Abschiebungen verhandeln Seit der Machtübernahme der Islamisten 2021(2).PDF | Dobrindt will mit Taliban über Abschiebungen verhandeln Seit der Machtübernahme der Islamisten 2021.PDF,Dobrindt will mit Taliban über Abschiebungen verhandeln Seit der Machtübernahme der Islamisten 2021 hat | Dobrindt will mit Taliban über Abschiebungen verhandeln Seit der Machtübernahme der Islamisten 2021 hat,Rheinische Post | Rheinische Post,Freitag 4. Juli 2025 | Freitag 4. Juli 2025
exact_004,duplicate_exact,2,Doch kein Flug nach Afghanistan(2).PDF | Doch kein Flug nach Afghanistan.PDF,Doch kein Flug nach Afghanistan | Doch kein Flug nach Afghanistan,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 15. Juli 2025 | Dienstag 15. Juli 2025
exact_005,duplicate_exact,2,"Europas einziger Ausweg Wer Asyl begehrt, darf in die EU einreisen, und wer da ist, kann nicht abges(2).PDF | Europas einziger Ausweg Wer Asyl begehrt, darf in die EU einreisen, und wer da ist, kann nicht abges.PDF","Europas einziger Ausweg Wer Asyl begehrt, darf in die EU einreisen, und wer da ist, kann nicht abgeschoben | Europas einziger Ausweg Wer Asyl begehrt, darf in die EU einreisen, und wer da ist, kann nicht abgeschoben",Welt am Sonntag | Welt am Sonntag,20. Juli 2025 | 19. Juli 2025
exact_006,duplicate_exact,2,"Gemeindeprüfer loben Wachtendonk Die Zeiten sind nicht einfach für die Kommunen. Inflation, Ukraine(2).PDF | Gemeindeprüfer loben Wachtendonk Die Zeiten sind nicht einfach für die Kommunen. Inflation, Ukraine.PDF","Gemeindeprüfer loben Wachtendonk Die Zeiten sind nicht einfach für die Kommunen. Inflation, Ukraine -Krieg | Gemeindeprüfer loben Wachtendonk Die Zeiten sind nicht einfach für die Kommunen. Inflation, Ukraine -Krieg",Rheinische Post | Rheinische Post,Montag 28. Juli 2025 | Montag 28. Juli 2025
exact_007,duplicate_exact,2,Gericht lehnt Klage von jesidischer Familie ab(2).PDF | Gericht lehnt Klage von jesidischer Familie ab.PDF,Gericht lehnt Klage von jesidischer Familie ab | Gericht lehnt Klage von jesidischer Familie ab,Rheinische Post | Rheinische Post,Mittwoch 30. Juli 2025 | Mittwoch 30. Juli 2025
exact_008,duplicate_exact,2,Irritationen um ehemaliges Heim Im Neubaugebiet am Quellenbusch wird eine ursprünglich für Flüchtlin(2).PDF | Irritationen um ehemaliges Heim Im Neubaugebiet am Quellenbusch wird eine ursprünglich für Flüchtlin.PDF,Irritationen um ehemaliges Heim Im Neubaugebiet am Quellenbusch wird eine ursprünglich für Flüchtlinge | Irritationen um ehemaliges Heim Im Neubaugebiet am Quellenbusch wird eine ursprünglich für Flüchtlinge,Rheinische Post | Rheinische Post,Mittwoch 16. Juli 2025 | Mittwoch 16. Juli 2025
exact_009,duplicate_exact,2,Nationalistische Mythen vom Krieg(2).PDF | Nationalistische Mythen vom Krieg.PDF,Nationalistische Mythen vom Krieg | Nationalistische Mythen vom Krieg,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 11. Juli 2025 | Freitag 11. Juli 2025
exact_010,duplicate_exact,2,Regierung plant Abschiebungen nach Syrien(2).PDF | Regierung plant Abschiebungen nach Syrien.PDF,Regierung plant Abschiebungen nach Syrien | Regierung plant Abschiebungen nach Syrien,Frankfurter Rundschau | Frankfurter Rundschau,Montag 7. Juli 2025 | Montag 7. Juli 2025
exact_011,duplicate_exact,2,Schutz für wenige(2).PDF | Schutz für wenige.PDF,Schutz für wenige | Schutz für wenige,Frankfurter Rundschau | Frankfurter Rundschau,Montag 7. Juli 2025 | Montag 7. Juli 2025
exact_012,duplicate_exact,2,Statt Ausbildungsvertrag droht Abschiebung Nach zehn Jahren soll Hamid Waziritabar plötzlich Deutsch(2).PDF | Statt Ausbildungsvertrag droht Abschiebung Nach zehn Jahren soll Hamid Waziritabar plötzlich Deutsch.PDF,Statt Ausbildungsvertrag droht Abschiebung Nach zehn Jahren soll Hamid Waziritabar plötzlich Deutschland | Statt Ausbildungsvertrag droht Abschiebung Nach zehn Jahren soll Hamid Waziritabar plötzlich Deutschland,Rheinische Post | Rheinische Post,Mittwoch 9. Juli 2025 | Mittwoch 9. Juli 2025
exact_013,duplicate_exact,2,Taliban -Beamte in Berlin(2).PDF | Taliban -Beamte in Berlin.PDF,Taliban -Beamte in Berlin | Taliban -Beamte in Berlin,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 22. Juli 2025 | Dienstag 22. Juli 2025
exact_014,duplicate_exact,2,"Wenn Leih-Omas jungen Menschen Halt geben Schulische Leistungen nehmen ab, psychische Auffälligkeite(2).PDF | Wenn Leih-Omas jungen Menschen Halt geben Schulische Leistungen nehmen ab, psychische Auffälligkeite.PDF","Wenn Leih-Omas jungen Menschen Halt geben Schulische Leistungen nehmen ab, psychische Auffälligkeiten | Wenn Leih-Omas jungen Menschen Halt geben Schulische Leistungen nehmen ab, psychische Auffälligkeiten",Welt am Sonntag | Welt am Sonntag,27. Juli 2025 | 26. Juli 2025
exact_015,duplicate_exact,2,Österreich schiebt nach Syrien ab(2).PDF | Österreich schiebt nach Syrien ab.PDF,Österreich schiebt nach Syrien ab | Österreich schiebt nach Syrien ab,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 4. Juli 2025 | Freitag 4. Juli 2025
exact_016,duplicate_exact,2,„Der Staat ist schwach“(2).PDF | „Der Staat ist schwach“.PDF,„Der Staat ist schwach“ | „Der Staat ist schwach“,Frankfurter Rundschau | Frankfurter Rundschau,Montag 28. Juli 2025 | Montag 28. Juli 2025
exact_017,duplicate_exact,2,„Dieses Pulverfass kann jederzeit wieder explodieren“(2).PDF | „Dieses Pulverfass kann jederzeit wieder explodieren“.PDF,„Dieses Pulverfass kann jederzeit wieder explodieren“ | „Dieses Pulverfass kann jederzeit wieder explodieren“,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 22. Juli 2025 | Dienstag 22. Juli 2025
exact_018,duplicate_exact,2,„Reine populistische Symbolpolitik“ Laut den Grünen hat die Bundesregierung keine Zahlen zur Belastu(2).PDF | „Reine populistische Symbolpolitik“ Laut den Grünen hat die Bundesregierung keine Zahlen zur Belastu.PDF,„Reine populistische Symbolpolitik“ Laut den Grünen hat die Bundesregierung keine Zahlen zur Belastung der | „Reine populistische Symbolpolitik“ Laut den Grünen hat die Bundesregierung keine Zahlen zur Belastung der,Rheinische Post | Rheinische Post,Freitag 18. Juli 2025 | Freitag 18. Juli 2025
