group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Berlin verteidigt Taliban -Gespräche(2).PDF | Berlin verteidigt Taliban -Gespräche.PDF,Berlin verteidigt Taliban -Gespräche | Berlin verteidigt Taliban -Gespräche,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 16. September 2025 | Dienstag 16. September 2025
exact_002,duplicate_exact,2,Die Rückkehr in eine zerrüttete Heimat(2).PDF | Die Rückkehr in eine zerrüttete Heimat.PDF,Die Rückkehr in eine zerrüttete Heimat | Die Rückkehr in eine zerrüttete Heimat,Frankfurter Rundschau | Frankfurter Rundschau,Montag 15. September 2025 | Montag 15. September 2025
exact_003,duplicate_exact,2,Die Zahl der in Deutschland lebenden Geflüchteten sinkt Hierzulande wohnen 50.000 Geflüchtete wenige(2).PDF | Die Zahl der in Deutschland lebenden Geflüchteten sinkt Hierzulande wohnen 50.000 Geflüchtete wenige.PDF,Die Zahl der in Deutschland lebenden Geflüchteten sinkt Hierzulande wohnen 50.000 Geflüchtete weniger als | Die Zahl der in Deutschland lebenden Geflüchteten sinkt Hierzulande wohnen 50.000 Geflüchtete weniger als,Rheinische Post | Rheinische Post,Freitag 19. September 2025 | Freitag 19. September 2025
exact_004,duplicate_exact,2,Extrem rechte Gewalt(2).PDF | Extrem rechte Gewalt.PDF,Extrem rechte Gewalt | Extrem rechte Gewalt,Frankfurter Rundschau | Frankfurter Rundschau,Montag 22. September 2025 | Montag 22. September 2025
exact_005,duplicate_exact,2,Fastenkur für den Staat(2).PDF | Fastenkur für den Staat.PDF,Fastenkur für den Staat | Fastenkur für den Staat,Rheinische Post | Rheinische Post,Dienstag 2. September 2025 | Dienstag 2. September 2025
exact_006,duplicate_exact,2,Genscher verspricht die Ausreise in Prag(2).PDF | Genscher verspricht die Ausreise in Prag.PDF,Genscher verspricht die Ausreise in Prag | Genscher verspricht die Ausreise in Prag,Rheinische Post | Rheinische Post,Dienstag 30. September 2025 | Dienstag 30. September 2025
exact_007,duplicate_exact,2,Große NRW-Städte fordern Tempo bei neuen Asylregeln(2).PDF | Große NRW-Städte fordern Tempo bei neuen Asylregeln.PDF,Große NRW-Städte fordern Tempo bei neuen Asylregeln | Große NRW-Städte fordern Tempo bei neuen Asylregeln,Rheinische Post | Rheinische Post,Samstag 13. September 2025 | Samstag 13. September 2025
exact_008,duplicate_exact,2,Großeinsatz gegen Chicago(2).PDF | Großeinsatz gegen Chicago.PDF,Großeinsatz gegen Chicago | Großeinsatz gegen Chicago,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 10. September 2025 | Mittwoch 10. September 2025
exact_009,duplicate_exact,2,Mit vereinten Kräften die Flüchtlinge betreuen(2).PDF | Mit vereinten Kräften die Flüchtlinge betreuen.PDF,Mit vereinten Kräften die Flüchtlinge betreuen | Mit vereinten Kräften die Flüchtlinge betreuen,Frankfurter Rundschau | Frankfurter Rundschau,Samstag 6. September 2025 | Samstag 6. September 2025
exact_010,duplicate_exact,2,Ohne Einwanderung würde Deutschland ärmer Aktuell dominieren die Probleme durch Migration. Aber mitt(2).PDF | Ohne Einwanderung würde Deutschland ärmer Aktuell dominieren die Probleme durch Migration. Aber mitt.PDF,Ohne Einwanderung würde Deutschland ärmer Aktuell dominieren die Probleme durch Migration. Aber | Ohne Einwanderung würde Deutschland ärmer Aktuell dominieren die Probleme durch Migration. Aber,Welt am Sonntag | Welt am Sonntag,6. September 2025 | 7. September 2025
exact_011,duplicate_exact,2,Rätsel um Tod einer 16-Jährigen Ein abgelehnter Asylbewerber soll die Jugendliche vor einen Zug gest(2).PDF | Rätsel um Tod einer 16-Jährigen Ein abgelehnter Asylbewerber soll die Jugendliche vor einen Zug gest.PDF,Rätsel um Tod einer 16-Jährigen Ein abgelehnter Asylbewerber soll die Jugendliche vor einen Zug gestoßen | Rätsel um Tod einer 16-Jährigen Ein abgelehnter Asylbewerber soll die Jugendliche vor einen Zug gestoßen,Rheinische Post | Rheinische Post,Dienstag 2. September 2025 | Dienstag 2. September 2025
exact_012,duplicate_exact,2,Vertrauen in den Staat sinkt weiter NRW-Ministerpräsident Wüst zeigt sich besorgt_ Fast drei Viertel(2).PDF | Vertrauen in den Staat sinkt weiter NRW-Ministerpräsident Wüst zeigt sich besorgt_ Fast drei Viertel.PDF,Vertrauen in den Staat sinkt weiter NRW-Ministerpräsident Wüst zeigt sich besorgt: Fast drei Viertel der | Vertrauen in den Staat sinkt weiter NRW-Ministerpräsident Wüst zeigt sich besorgt: Fast drei Viertel der,Rheinische Post | Rheinische Post,Donnerstag 4. September 2025 | Donnerstag 4. September 2025
exact_013,duplicate_exact,2,Viktor Orbáns Erbe der Abschottung(2).PDF | Viktor Orbáns Erbe der Abschottung.PDF,Viktor Orbáns Erbe der Abschottung | Viktor Orbáns Erbe der Abschottung,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 4. September 2025 | Donnerstag 4. September 2025
