batch_id,month_folder,archive_found,archive_name,pdf_count,processed,kept_count,dropped_count,review_count,status,error_message,run_timestamp
2013-02,2013-02,no,,0,no,0,0,0,no_archive,,2026-04-27T23:18:04
2013-01,2013-01,yes,2013-01(42).ZIP,42,no,38,4,0,skipped_existing,,2026-04-27T23:18:04
2021-09,2021-09,yes,2021-09(75).ZIP,75,yes,63,12,0,success,,2026-04-27T23:18:13
2013-01,2013-01,yes,2013-01(42).ZIP,42,no,38,4,0,skipped_existing,,2026-04-27T23:19:22
2013-02,2013-02,no,,0,no,0,0,0,no_archive,,2026-04-27T23:20:16
2013-01,2013-01,yes,2013-01(42).ZIP,42,no,38,4,0,skipped_existing,,2026-04-28T01:19:39
2013-02,2013-02,yes,2013-02(71).ZIP,71,yes,54,17,0,success,,2026-04-28T01:19:39
2013-03,2013-03,yes,2013-03(90).ZIP,90,yes,82,7,1,success,,2026-04-28T01:19:40
2013-04,2013-04,yes,2013-04(67).ZIP,67,yes,58,9,0,success,,2026-04-28T01:19:42
2013-05,2013-05,yes,2013-05(84).ZIP,84,yes,70,14,0,success,,2026-04-28T01:19:44
2013-06,2013-06,yes,2013-06(109).ZIP,109,yes,93,16,0,success,,2026-04-28T01:19:46
2013-07,2013-07,yes,2013-07(128).ZIP,128,yes,112,16,0,success,,2026-04-28T01:19:48
2013-08,2013-08,yes,2013-08(172).ZIP,172,yes,153,18,1,success,,2026-04-28T01:19:52
2013-09,2013-09,yes,2013-09(91).ZIP,91,yes,80,11,0,success,,2026-04-28T01:19:56
2013-10,2013-10,yes,2013-10(141).ZIP,141,yes,125,16,0,success,,2026-04-28T01:19:59
2013-11,2013-11,yes,2013-11(136).ZIP,136,yes,117,19,0,success,,2026-04-28T01:20:02
2013-12,2013-12,yes,2013-12(50).ZIP,50,yes,45,5,0,success,,2026-04-28T01:20:06
2014-01,2014-01,yes,2014-01(50).ZIP,50,yes,45,5,0,success,,2026-04-28T01:20:07
2014-02,2014-02,yes,2014-02(50).ZIP,50,yes,46,4,0,success,,2026-04-28T01:20:09
2014-03,2014-03,yes,2014-03(50).ZIP,50,yes,46,4,0,success,,2026-04-28T01:20:10
2014-04,2014-04,yes,2014-04(50).ZIP,50,yes,48,2,0,success,,2026-04-28T01:20:11
2014-05,2014-05,yes,2014-05(50).ZIP,50,yes,45,5,0,success,,2026-04-28T01:20:12
2014-06,2014-06,yes,2014-06(50).ZIP,50,yes,49,1,0,success,,2026-04-28T01:20:14
2014-07,2014-07,yes,2014-07(50).ZIP,50,yes,44,6,0,success,,2026-04-28T01:20:15
2014-08,2014-08,yes,2014-08(50).ZIP,50,yes,45,5,0,success,,2026-04-28T01:20:17
2014-09,2014-09,yes,2014-09(50).ZIP,50,yes,42,8,0,success,,2026-04-28T01:20:18
2014-10,2014-10,yes,2014-10(50).ZIP,50,yes,45,5,0,success,,2026-04-28T01:20:19
2014-11,2014-11,yes,2014-11(50).ZIP,50,yes,43,7,0,success,,2026-04-28T01:20:20
2014-12,2014-12,yes,2014-12(50).ZIP,50,yes,47,3,0,success,,2026-04-28T01:20:22
2015-01,2015-01,yes,2015-01(50).ZIP,50,yes,47,3,0,success,,2026-04-28T01:20:23
2015-02,2015-02,yes,2015-02(50).ZIP,50,yes,46,4,0,success,,2026-04-28T01:20:25
2015-03,2015-03,yes,2015-03(50).ZIP,50,yes,48,2,0,success,,2026-04-28T01:20:26
2015-04,2015-04,yes,2015-04(50).ZIP,50,yes,45,5,0,success,,2026-04-28T01:20:28
2015-05,2015-05,yes,2015-05(50).ZIP,50,yes,43,6,1,success,,2026-04-28T01:20:29
2015-06,2015-06,yes,2015-06(50).ZIP,50,yes,43,7,0,success,,2026-04-28T01:20:30
2015-07,2015-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2015-08,2015-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2015-09,2015-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2015-10,2015-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2015-11,2015-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2015-12,2015-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-01,2016-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-02,2016-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-03,2016-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-04,2016-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-05,2016-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-06,2016-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-07,2016-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-08,2016-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-09,2016-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-10,2016-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2016-11,2016-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
