month_folder,status,processed,pdf_count,keep,drop,review,run_timestamp,download_status_tracker,log_line
2013-01,skipped_existing,no,42,38,4,0,2026-04-29T20:10:56,done,[2013-01] status=skipped_existing processed=no pdf_count=42 keep=38 drop=4 review=0
2013-02,skipped_existing,no,71,54,17,0,2026-04-29T20:10:56,done,[2013-02] status=skipped_existing processed=no pdf_count=71 keep=54 drop=17 review=0
2013-03,skipped_existing,no,90,82,7,1,2026-04-29T20:10:56,done,[2013-03] status=skipped_existing processed=no pdf_count=90 keep=82 drop=7 review=1
2013-04,skipped_existing,no,67,58,9,0,2026-04-29T20:10:56,done,[2013-04] status=skipped_existing processed=no pdf_count=67 keep=58 drop=9 review=0
2013-05,skipped_existing,no,84,70,14,0,2026-04-29T20:10:56,done,[2013-05] status=skipped_existing processed=no pdf_count=84 keep=70 drop=14 review=0
2013-06,skipped_existing,no,109,93,16,0,2026-04-29T20:10:56,done,[2013-06] status=skipped_existing processed=no pdf_count=109 keep=93 drop=16 review=0
2013-07,skipped_existing,no,128,112,16,0,2026-04-29T20:10:56,done,[2013-07] status=skipped_existing processed=no pdf_count=128 keep=112 drop=16 review=0
2013-08,skipped_existing,no,172,153,18,1,2026-04-29T20:10:56,done,[2013-08] status=skipped_existing processed=no pdf_count=172 keep=153 drop=18 review=1
2013-09,skipped_existing,no,91,80,11,0,2026-04-29T20:10:56,done,[2013-09] status=skipped_existing processed=no pdf_count=91 keep=80 drop=11 review=0
2013-10,skipped_existing,no,141,125,16,0,2026-04-29T20:10:56,done,[2013-10] status=skipped_existing processed=no pdf_count=141 keep=125 drop=16 review=0
2013-11,skipped_existing,no,136,117,19,0,2026-04-29T20:10:56,done,[2013-11] status=skipped_existing processed=no pdf_count=136 keep=117 drop=19 review=0
2013-12,skipped_existing,no,50,45,5,0,2026-04-29T20:10:56,done,[2013-12] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2014-01,skipped_existing,no,50,45,5,0,2026-04-29T20:10:56,done,[2014-01] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2014-02,skipped_existing,no,50,46,4,0,2026-04-29T20:10:56,done,[2014-02] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2014-03,skipped_existing,no,50,46,4,0,2026-04-29T20:10:56,done,[2014-03] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2014-04,skipped_existing,no,50,48,2,0,2026-04-29T20:10:56,done,[2014-04] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2014-05,skipped_existing,no,50,45,5,0,2026-04-29T20:10:56,done,[2014-05] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2014-06,skipped_existing,no,50,49,1,0,2026-04-29T20:10:56,done,[2014-06] status=skipped_existing processed=no pdf_count=50 keep=49 drop=1 review=0
2014-07,skipped_existing,no,50,44,6,0,2026-04-29T20:10:56,done,[2014-07] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2014-08,skipped_existing,no,50,45,5,0,2026-04-29T20:10:56,done,[2014-08] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2014-09,success,yes,89,80,9,0,2026-04-29T20:10:56,done,[2014-09] status=success processed=yes pdf_count=89 keep=80 drop=9 review=0
2014-10,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2014-10] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2014-11,skipped_existing,no,95,84,11,0,2026-04-29T20:10:58,done,[2014-11] status=skipped_existing processed=no pdf_count=95 keep=84 drop=11 review=0
2014-12,skipped_existing,no,50,47,3,0,2026-04-29T20:10:58,done,[2014-12] status=skipped_existing processed=no pdf_count=50 keep=47 drop=3 review=0
2015-01,skipped_existing,no,50,47,3,0,2026-04-29T20:10:58,done,[2015-01] status=skipped_existing processed=no pdf_count=50 keep=47 drop=3 review=0
2015-02,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2015-02] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2015-03,skipped_existing,no,50,48,2,0,2026-04-29T20:10:58,done,[2015-03] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2015-04,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2015-04] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2015-05,skipped_existing,no,91,83,6,2,2026-04-29T20:10:58,done,[2015-05] status=skipped_existing processed=no pdf_count=91 keep=83 drop=6 review=2
2015-06,skipped_existing,no,96,84,10,2,2026-04-29T20:10:58,done,[2015-06] status=skipped_existing processed=no pdf_count=96 keep=84 drop=10 review=2
2015-07,skipped_existing,no,90,78,12,0,2026-04-29T20:10:58,done,[2015-07] status=skipped_existing processed=no pdf_count=90 keep=78 drop=12 review=0
2015-08,skipped_existing,no,100,88,11,1,2026-04-29T20:10:58,done,[2015-08] status=skipped_existing processed=no pdf_count=100 keep=88 drop=11 review=1
2015-09,skipped_existing,no,96,86,10,0,2026-04-29T20:10:58,done,[2015-09] status=skipped_existing processed=no pdf_count=96 keep=86 drop=10 review=0
2015-10,skipped_existing,no,100,85,15,0,2026-04-29T20:10:58,done,[2015-10] status=skipped_existing processed=no pdf_count=100 keep=85 drop=15 review=0
2015-11,skipped_existing,no,97,90,6,1,2026-04-29T20:10:58,done,[2015-11] status=skipped_existing processed=no pdf_count=97 keep=90 drop=6 review=1
2015-12,skipped_existing,no,97,91,6,0,2026-04-29T20:10:58,done,[2015-12] status=skipped_existing processed=no pdf_count=97 keep=91 drop=6 review=0
2016-01,skipped_existing,no,94,79,15,0,2026-04-29T20:10:58,done,[2016-01] status=skipped_existing processed=no pdf_count=94 keep=79 drop=15 review=0
2016-02,skipped_existing,no,96,85,10,1,2026-04-29T20:10:58,done,[2016-02] status=skipped_existing processed=no pdf_count=96 keep=85 drop=10 review=1
2016-03,skipped_existing,no,97,87,8,2,2026-04-29T20:10:58,done,[2016-03] status=skipped_existing processed=no pdf_count=97 keep=87 drop=8 review=2
2016-04,skipped_existing,no,50,48,1,1,2026-04-29T20:10:58,done,[2016-04] status=skipped_existing processed=no pdf_count=50 keep=48 drop=1 review=1
2016-05,skipped_existing,no,50,47,3,0,2026-04-29T20:10:58,done,[2016-05] status=skipped_existing processed=no pdf_count=50 keep=47 drop=3 review=0
2016-06,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2016-06] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2016-07,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2016-07] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2016-08,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2016-08] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2016-09,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2016-09] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2016-10,skipped_existing,no,50,45,4,1,2026-04-29T20:10:58,done,[2016-10] status=skipped_existing processed=no pdf_count=50 keep=45 drop=4 review=1
2016-11,skipped_existing,no,50,49,1,0,2026-04-29T20:10:58,done,[2016-11] status=skipped_existing processed=no pdf_count=50 keep=49 drop=1 review=0
2016-12,skipped_existing,no,50,47,3,0,2026-04-29T20:10:58,done,[2016-12] status=skipped_existing processed=no pdf_count=50 keep=47 drop=3 review=0
2017-01,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2017-01] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2017-02,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2017-02] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2017-03,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2017-03] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2017-04,skipped_existing,no,50,42,7,1,2026-04-29T20:10:58,done,[2017-04] status=skipped_existing processed=no pdf_count=50 keep=42 drop=7 review=1
2017-05,skipped_existing,no,50,46,4,0,2026-04-29T20:10:58,done,[2017-05] status=skipped_existing processed=no pdf_count=50 keep=46 drop=4 review=0
2017-06,skipped_existing,no,50,41,9,0,2026-04-29T20:10:58,done,[2017-06] status=skipped_existing processed=no pdf_count=50 keep=41 drop=9 review=0
2017-07,skipped_existing,no,50,48,2,0,2026-04-29T20:10:58,done,[2017-07] status=skipped_existing processed=no pdf_count=50 keep=48 drop=2 review=0
2017-08,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2017-08] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2017-09,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2017-09] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2017-10,skipped_existing,no,50,43,7,0,2026-04-29T20:10:58,done,[2017-10] status=skipped_existing processed=no pdf_count=50 keep=43 drop=7 review=0
2017-11,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2017-11] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2017-12,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2017-12] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2018-01,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2018-01] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2018-02,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2018-02] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2018-03,skipped_existing,no,97,81,15,1,2026-04-29T20:10:58,done,[2018-03] status=skipped_existing processed=no pdf_count=97 keep=81 drop=15 review=1
2018-04,skipped_existing,no,95,83,10,2,2026-04-29T20:10:58,done,[2018-04] status=skipped_existing processed=no pdf_count=95 keep=83 drop=10 review=2
2018-05,skipped_existing,no,50,44,6,0,2026-04-29T20:10:58,done,[2018-05] status=skipped_existing processed=no pdf_count=50 keep=44 drop=6 review=0
2018-06,skipped_existing,no,98,84,14,0,2026-04-29T20:10:58,done,[2018-06] status=skipped_existing processed=no pdf_count=98 keep=84 drop=14 review=0
2018-07,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2018-07] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2018-08,skipped_existing,no,98,82,16,0,2026-04-29T20:10:58,done,[2018-08] status=skipped_existing processed=no pdf_count=98 keep=82 drop=16 review=0
2018-09,skipped_existing,no,50,45,5,0,2026-04-29T20:10:58,done,[2018-09] status=skipped_existing processed=no pdf_count=50 keep=45 drop=5 review=0
2018-10,skipped_existing,no,94,64,30,0,2026-04-29T20:10:58,done,[2018-10] status=skipped_existing processed=no pdf_count=94 keep=64 drop=30 review=0
2018-11,skipped_existing,no,90,40,50,0,2026-04-29T20:10:58,done,[2018-11] status=skipped_existing processed=no pdf_count=90 keep=40 drop=50 review=0
