month_folder,zip_archives,zip_names,kept_pdf_count,dropped_pdf_count,raw_unarchive_pdf_count,qc_file_count,article_registry_rows,exclusion_log_rows,qc_articles_rows
2013-01,1,2013-01(42).ZIP,38,4,0,6,42,42,42
2013-02,1,2013-02(71).ZIP,54,17,0,6,71,71,71
2013-03,1,2013-03(90).ZIP,83,7,0,6,90,90,90
2013-04,1,2013-04(67).ZIP,58,9,0,6,67,67,67
2013-05,1,2013-05(84).ZIP,70,14,0,6,84,84,84
2013-06,1,2013-06(109).ZIP,93,16,0,6,109,109,109
2013-07,1,2013-07(128).ZIP,112,16,0,6,128,128,128
2013-08,1,2013-08(172).ZIP,154,18,0,6,172,172,172
2013-09,1,2013-09(91).ZIP,80,11,0,6,91,91,91
2013-10,1,2013-10(141).ZIP,125,16,0,6,141,141,141
2013-11,1,2013-11(136).ZIP,117,19,0,6,136,136,136
2013-12,1,2013-12(50).ZIP,45,5,0,6,50,50,50
2014-01,1,2014-01(50).ZIP,45,5,0,6,50,50,50
2014-02,1,2014-02(50).ZIP,46,4,0,6,50,50,50
2014-03,1,2014-03(50).ZIP,46,4,0,6,50,50,50
2014-04,1,2014-04(50).ZIP,48,2,0,6,50,50,50
2014-05,1,2014-05(50).ZIP,45,5,0,6,50,50,50
2014-06,1,2014-06(50).ZIP,49,1,0,6,50,50,50
2014-07,1,2014-07(50).ZIP,44,6,0,6,50,50,50
2014-08,1,2014-08(50).ZIP,45,5,0,6,50,50,50
2014-09,1,2014-09(89).ZIP,80,9,0,6,89,89,89
2014-10,1,2014-10(50).ZIP,45,5,0,6,50,50,50
2014-11,1,2014-11(95).ZIP,84,11,0,6,95,95,95
2014-12,1,2014-12(50).ZIP,47,3,0,6,50,50,50
2015-01,1,2015-01(50).ZIP,47,3,0,6,50,50,50
2015-02,1,2015-02(50).ZIP,46,4,0,6,50,50,50
2015-03,1,2015-03(50).ZIP,48,2,0,6,50,50,50
2015-04,1,2015-04(50).ZIP,45,5,0,6,50,50,50
2015-05,1,2015-05(91).ZIP,85,6,0,6,91,91,91
2015-06,1,2015-06(96).ZIP,86,10,0,6,96,96,96
2015-07,1,2015-07(90).ZIP,78,12,0,6,90,90,90
2015-08,1,2015-08(100).ZIP,89,11,0,6,100,100,100
2015-09,1,2015-09(96).ZIP,86,10,0,6,96,96,96
2015-10,1,2015-10(100).ZIP,85,15,0,6,100,100,100
2015-11,1,2015-11(97).ZIP,91,6,0,6,97,97,97
2015-12,1,2015-12(97).ZIP,91,6,0,6,97,97,97
2016-01,1,2016-01(94).ZIP,79,15,0,6,94,94,94
2016-02,1,2016-02(96).ZIP,86,10,0,6,96,96,96
2016-03,1,2016-03(97).ZIP,89,8,0,6,97,97,97
2016-04,1,2016-04(50).ZIP,49,1,0,6,50,50,50
2016-05,1,2016-05(50).ZIP,47,3,0,6,50,50,50
2016-06,1,2016-06(50).ZIP,44,6,0,6,50,50,50
2016-07,1,2016-07(50).ZIP,46,4,0,6,50,50,50
2016-08,1,2016-08(50).ZIP,44,6,0,6,50,50,50
2016-09,1,2016-09(50).ZIP,46,4,0,6,50,50,50
2016-10,1,2016-10(50).ZIP,46,4,0,6,50,50,50
2016-11,1,2016-11(50).ZIP,49,1,0,6,50,50,50
2016-12,1,2016-12(50).ZIP,47,3,0,6,50,50,50
2017-01,1,2017-01(50).ZIP,43,7,0,6,50,50,50
2017-02,1,2017-02(50).ZIP,45,5,0,6,50,50,50
2017-03,1,2017-03(50).ZIP,45,5,0,6,50,50,50
2017-04,1,2017-04(50).ZIP,43,7,0,6,50,50,50
2017-05,1,2017-05(50).ZIP,46,4,0,6,50,50,50
2017-06,1,2017-06(50).ZIP,41,9,0,6,50,50,50
2017-07,1,2017-07(50).ZIP,48,2,0,6,50,50,50
2017-08,1,2017-08(50).ZIP,45,5,0,6,50,50,50
2017-09,1,2017-09(50).ZIP,45,5,0,6,50,50,50
2017-10,1,2017-10(50).ZIP,43,7,0,6,50,50,50
2017-11,1,2017-11(50).ZIP,45,5,0,6,50,50,50
2017-12,1,2017-12(50).ZIP,45,5,0,6,50,50,50
2018-01,1,2018-01(50).ZIP,45,5,0,6,50,50,50
2018-02,1,2018-02(50).ZIP,44,6,0,6,50,50,50
2018-03,1,2018-03(97).ZIP,82,15,0,6,97,97,97
2018-04,1,2018-04(95).ZIP,85,10,0,6,95,95,95
2018-05,1,2018-05(50).ZIP,44,6,0,6,50,50,50
2018-06,1,2018-06(98).ZIP,84,14,0,6,98,98,98
2018-07,1,2018-07(50).ZIP,45,5,0,6,50,50,50
2018-08,1,2018-08(98).ZIP,82,16,0,6,98,98,98
2018-09,1,2018-09(50).ZIP,45,5,0,6,50,50,50
2018-10,1,2018-10(94).ZIP,64,30,0,6,94,94,94
2018-11,1,2018-11(90).ZIP,40,50,0,6,90,90,90
2018-12,1,2018-12(98).ZIP,48,50,0,6,98,98,98
2019-01,1,2019-01(150).ZIP,42,108,0,6,150,150,150
2019-02,1,2019-02(95).ZIP,75,20,0,6,95,95,95
2019-03,1,2019-03(99).ZIP,76,23,0,6,99,99,99
2019-04,1,2019-04(94).ZIP,78,16,0,6,94,94,94
2019-05,1,2019-05(64).ZIP,54,10,0,6,64,64,64
2019-06,1,2019-06(73).ZIP,57,16,0,6,73,73,73
2019-07,1,2019-07(50).ZIP,48,2,0,6,50,50,50
2019-08,1,2019-08(50).ZIP,42,8,0,6,50,50,50
2019-09,1,2019-09(50).ZIP,42,8,0,6,50,50,50
2019-10,1,2019-10(50).ZIP,46,4,0,6,50,50,50
2019-11,1,2019-11(50).ZIP,46,4,0,6,50,50,50
2019-12,1,2019-12(50).ZIP,41,9,0,6,50,50,50
2020-01,1,2020-01(50).ZIP,41,9,0,6,50,50,50
2020-02,1,2020-02(50).ZIP,45,5,0,6,50,50,50
2020-03,1,2020-03(50).ZIP,43,7,0,6,50,50,50
2020-04,1,2020-04(50).ZIP,45,5,0,6,50,50,50
2020-05,1,2020-05(50).ZIP,44,6,0,6,50,50,50
2020-06,1,2020-06(50).ZIP,43,7,0,6,50,50,50
2020-07,1,2020-07(50).ZIP,41,9,0,6,50,50,50
2020-08,1,2020-08(50).ZIP,42,8,0,6,50,50,50
2020-09,1,2020-09(99).ZIP,82,17,0,6,99,99,99
2020-10,1,2020-10(50).ZIP,44,6,0,6,50,50,50
2020-11,1,2020-11(48).ZIP,45,3,0,6,48,48,48
2020-12,1,2020-12(50).ZIP,43,7,0,6,50,50,50
2021-01,1,2021-01(50).ZIP,43,7,0,6,50,50,50
2021-02,1,2021-02(44).ZIP,39,5,0,6,44,44,44
2021-03,1,2021-03(50).ZIP,44,6,0,6,50,50,50
2021-04,1,2021-04(50).ZIP,42,8,0,6,50,50,50
2021-05,1,2021-05(55).ZIP,41,14,0,6,55,55,55
2021-06,1,2021-06(50).ZIP,42,8,0,6,50,50,50
2021-07,1,2021-07(50).ZIP,43,7,0,6,50,50,50
2021-08,1,2021-08(50).ZIP,42,8,0,6,50,50,50
2021-09,1,2021-09(75).ZIP,63,12,0,6,75,75,75
2021-10,1,2021-10(50).ZIP,45,5,0,6,50,50,50
2021-11,1,2021-11(50).ZIP,48,2,0,6,50,50,50
2021-12,1,2021-12(50).ZIP,44,6,0,6,50,50,50
2022-01,1,2022-01(58).ZIP,44,14,0,6,58,58,58
2022-02,1,2022-02(50).ZIP,42,8,0,6,50,50,50
2022-03,1,2022-03(50).ZIP,43,7,0,6,50,50,50
2022-04,1,2022-04(50).ZIP,48,2,0,6,50,50,50
2022-05,1,2022-05(50).ZIP,43,7,0,6,50,50,50
2022-06,1,2022-06(50).ZIP,43,7,0,6,50,50,50
2022-07,1,2022-07(78).ZIP,57,21,0,6,78,78,78
2022-08,1,2022-08(94).ZIP,72,22,0,6,94,94,94
2022-09,1,2022-09(50).ZIP,42,8,0,6,50,50,50
2022-10,1,2022-10(99).ZIP,79,20,0,6,99,99,99
2022-11,1,2022-11(50).ZIP,43,7,0,6,50,50,50
2022-12,1,2022-12(50).ZIP,45,5,0,6,50,50,50
2023-01,1,2023-01(100).ZIP,84,16,0,6,100,100,100
2023-02,1,2023-02(50).ZIP,41,9,0,6,50,50,50
2023-03,1,2023-03(50).ZIP,43,7,0,6,50,50,50
2023-04,1,2023-04(50).ZIP,46,4,0,6,50,50,50
2023-05,1,2023-05(50).ZIP,42,8,0,6,50,50,50
2023-06,1,2023-06(50).ZIP,46,4,0,6,50,50,50
2023-07,1,2023-07(50).ZIP,41,9,0,6,50,50,50
