article_id,date,date_original,year,month,source,source_normalized,title,title_normalized,byline,section,word_count,language,publication_type,month_folder,corpus_type,source_file_path,source_file_name,source_archive,keep_drop_status,keep_drop_decision_raw,exclusion_reason,exclusion_reason_standardized,duplicate_category,duplicate_group_id,query_version,batch_id,pdf_checksum_sha256,text_checksum_sha1,text_available,notes
f6749ff9cfea24bf767e058fb1aad29517644d7f,2013-01-31,Donnerstag 31. Januar 2013,2013,2013-01,Der Tagesspiegel,der tagesspiegel,"1,5 Milliarden für Syriens Flüchtlinge Fast 60 Staaten sammeln in Kuwait Geld",15 milliarden für syriens flüchtlinge fast 60 staaten sammeln in kuwait geld,,POLITIK; S. 5; Ausg. 21588,167,de,news,2013-01,main_corpus,"C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\1,5 Milliarden für Syriens Flüchtlinge Fast 60 Staaten sammeln in Kuwait Geld.PDF","1,5 Milliarden für Syriens Flüchtlinge Fast 60 Staaten sammeln in Kuwait Geld.PDF",2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,97fc28321c81531562e222462e3ff2339ead7238,yes,
5f1afb98429737aafade4b7fa0544d14cb18eef9,2013-01-15,Dienstag 15. Januar 2013,2013,2013-01,Die Welt,die welt,40 Prozent mehr Asylbewerber in Deutschland Die Aufhebung der Visumpflicht für Serbien und Mazedonien,40 prozent mehr asylbewerber in deutschland die aufhebung der visumpflicht für serbien und mazedonien,Manuel Bewarder,POLITIK; S. 5; Ausg. 12,710,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\40 Prozent mehr Asylbewerber in Deutschland Die Aufhebung der Visumpflicht für Serbien und Mazedonie.PDF,40 Prozent mehr Asylbewerber in Deutschland Die Aufhebung der Visumpflicht für Serbien und Mazedonie.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,2f9d98dc807a2e4f0bdd333d19af9bbc083072d3,yes,
a01b90e47bd1145086d3637ed5562151915933c8,2013-01-18,18. Januar 2013 Freitag,2013,2013-01,Rheinische Post,rheinische post,"""Ich will in meiner Heimat wählen""",ich will in meiner heimat wählen,Von Susanne Genath,,600,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\_Ich will in meiner Heimat wählen_.PDF,_Ich will in meiner Heimat wählen_.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,b48a3b68faff62ef789a48f636b8be58ee54d598,yes,
795734d0ab0b3244f8da1d927786a819894fb805,2013-01-23,Mittwoch 23. Januar 2013,2013,2013-01,"taz, die tageszeitung",taz die tageszeitung,Amnesty International schirmt künftige Chefin ab; MENSCHENRECHTE Selmin Çaliskan soll die deutsche,amnesty international schirmt künftige chefin ab menschenrechte selmin çaliskan soll die deutsche,SIMONE SCHMOLLACK,INLAND; S. 06,330,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Amnesty International schirmt künftige Chefin ab MENSCHENRECHTE Selmin Çaliskan soll die deutsche Se.PDF,Amnesty International schirmt künftige Chefin ab MENSCHENRECHTE Selmin Çaliskan soll die deutsche Se.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,ece75cb4193e884e5476798d4cdce993395c15e4,yes,
e2157a123480dab2b43f240e2a53c799615f0ca0,2013-01-03,3. Januar 2013 Donnerstag,2013,2013-01,Rheinische Post,rheinische post,Arbeitskreis Asyl sucht Helfer,arbeitskreis asyl sucht helfer,,,181,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Arbeitskreis Asyl sucht Helfer.PDF,Arbeitskreis Asyl sucht Helfer.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,c63e49a2ebe2c62a5ca402ff64ce23517a37ba76,yes,
b87b79dbe29fb0aa0c03a8a196c2a4f08e989f8e,2013-01-22,22. Januar 2013 Dienstag,2013,2013-01,Rheinische Post,rheinische post,Asylbewerber dürfen bleiben - Stadt gewinnt Platz,asylbewerber dürfen bleiben  stadt gewinnt platz,,,166,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Asylbewerber dürfen bleiben - Stadt gewinnt Platz.PDF,Asylbewerber dürfen bleiben - Stadt gewinnt Platz.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,4cf19d9cc994e5315454a8d8a978ab09160717e3,yes,
f2d6277593182d0b5b8f96e5d5911a58076c0ed7,2013-01-10,Donnerstag 10. Januar 2013,2013,2013-01,Die Welt,die welt,Ausländer verdienen weniger Zuwanderer erhalten nur etwa zwei Drittel des deutschen Lohns,ausländer verdienen weniger zuwanderer erhalten nur etwa zwei drittel des deutschen lohns,,WIRTSCHAFT; S. 9; Ausg. 8,315,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Ausländer verdienen weniger Zuwanderer erhalten nur etwa zwei Drittel des deutschen Lohns.PDF,Ausländer verdienen weniger Zuwanderer erhalten nur etwa zwei Drittel des deutschen Lohns.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,d5efe10c21e4fa43e9dcc1c4da4cc0f9d4f14d03,yes,
edd51a11ff2a0ad9de1d9c25dd3b93b429d2d754,2013-01-24,24. Januar 2013 Donnerstag,2013,2013-01,Rheinische Post,rheinische post,Charlie Chaplins große Werke,charlie chaplins grosse werke,,,225,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Charlie Chaplins große Werke.PDF,Charlie Chaplins große Werke.PDF,2013-01(42).ZIP,excluded_regional_variant,drop,regional_variant,regional_variant,regional_variant,variant_001,main_corpus_v1,2013-01,,c3ce302c38de6ae65671a04aef5fc4aa3de8b54c,yes,Dropped in favor of representative file: Charlie Chaplins Werke in Straelen.PDF (variant_001).
2441ba58531eb4675c76c78bf7fa7ed376abba2f,2013-01-24,24. Januar 2013 Donnerstag,2013,2013-01,Rheinische Post,rheinische post,Charlie Chaplins Werke in Straelen,charlie chaplins werke in straelen,,,226,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Charlie Chaplins Werke in Straelen.PDF,Charlie Chaplins Werke in Straelen.PDF,2013-01(42).ZIP,keep,keep,regional_variant,regional_variant,regional_variant,variant_001,main_corpus_v1,2013-01,,f84f4fd7ccb901c5aa1fd8334149f509ba1e7836,yes,Representative kept for variant_001.
757e350bb58db7c043ae35289091c04732cd6807,2013-01-13,13. Januar 2013,2013,2013-01,Welt am Sonntag,welt am sonntag,Das Baurecht entschlacken,das baurecht entschlacken,Norbert Schwaldt,IMMOBILIEN; Hausrat; Ausg. 2,133,de,news,2013-01,main_corpus,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Das Baurecht entschlacken.PDF,Das Baurecht entschlacken.PDF,2013-01(42).ZIP,keep,keep,unique,unknown_or_missing,unique,,main_corpus_v1,2013-01,,a409b4ec312391e6545cc600a5026b3a7baa872b,yes,
