month,year,n_articles_kept,n_articles_excluded,n_articles_total,n_unique_sources,total_words,mean_words,median_words,n_duplicate_exact,n_duplicate_near,n_regional_variants,n_reader_letters,n_commentary_noncore,n_malformed,n_review_pending
2013-01,2013,38,4,42,8,18676,444.667,322.5,1,0,1,1,1,0,0
2013-02,2013,54,17,71,8,31717,446.718,367,2,0,6,1,8,0,0
2013-03,2013,82,7,90,8,40204,446.711,359.0,0,0,2,0,4,1,1
2013-04,2013,58,9,67,8,32784,489.313,497,1,0,3,1,4,0,0
2013-05,2013,70,14,84,7,33707,401.274,342.0,0,0,3,2,8,0,0
2013-06,2013,93,16,109,8,53133,487.459,320,1,0,7,0,7,1,0
2013-07,2013,112,16,128,9,59798,467.172,366.5,1,0,6,2,5,2,0
2013-08,2013,153,18,172,9,89772,521.93,403.0,2,1,7,1,5,1,1
2013-09,2013,80,11,91,9,51881,570.121,488,2,0,4,1,4,0,0
2013-10,2013,125,16,141,9,80986,574.369,500,1,0,11,0,4,0,0
2013-11,2013,117,19,136,9,75370,554.191,481.0,9,1,4,1,3,1,0
2013-12,2013,45,5,50,9,27365,547.3,480.5,1,0,2,0,2,0,0
2014-01,2014,45,5,50,9,26837,536.74,406.5,2,0,1,0,2,0,0
2014-02,2014,46,4,50,9,27597,551.94,367.5,2,1,0,0,1,0,0
2014-03,2014,46,4,50,9,27993,559.86,486.5,1,0,1,0,2,0,0
2014-04,2014,48,2,50,7,28802,576.04,520.0,0,0,0,0,2,0,0
2014-05,2014,45,5,50,8,25094,501.88,392.5,1,0,3,0,1,0,0
2014-06,2014,49,1,50,7,31690,633.8,530.5,0,0,1,0,0,0,0
2014-07,2014,44,6,50,8,31958,639.16,462.5,0,0,1,0,5,0,0
2014-08,2014,45,5,50,8,25130,502.6,455.5,1,0,1,0,3,0,0
2014-09,2014,80,9,89,9,43815,492.303,447,1,0,3,1,4,0,0
2014-10,2014,45,5,50,8,32073,641.46,469.0,0,0,1,0,4,0,0
2014-11,2014,84,11,95,9,49451,520.537,416,3,0,3,1,4,0,0
2014-12,2014,47,3,50,9,30577,611.54,436.0,1,0,0,0,2,0,0
2015-01,2015,47,3,50,9,30673,613.46,542.0,0,0,1,0,2,0,0
2015-02,2015,46,4,50,8,34917,698.34,543.5,1,0,1,0,2,0,0
2015-03,2015,48,2,50,9,32834,656.68,514.5,0,0,1,0,1,0,0
2015-04,2015,45,5,50,9,28296,565.92,486.0,0,0,3,0,2,0,0
2015-05,2015,83,6,91,9,48158,529.209,419,1,0,3,0,2,0,2
2015-06,2015,84,10,96,8,51231,533.656,408.0,0,0,4,0,6,0,2
2015-07,2015,78,12,90,8,51364,570.711,492.5,2,0,0,1,9,0,0
2015-08,2015,88,11,100,9,66279,662.79,535.5,1,0,3,1,6,0,1
2015-09,2015,86,10,96,9,66186,689.438,535.0,0,0,3,0,7,0,0
2015-10,2015,85,15,100,9,71360,713.6,592.0,2,0,5,1,7,0,0
2015-11,2015,90,6,97,9,65196,672.124,561,0,0,2,0,4,0,1
2015-12,2015,91,6,97,9,57947,597.392,491,2,0,1,0,3,0,0
2016-01,2016,79,15,94,9,62278,662.532,563.0,1,0,4,0,10,0,0
