year_num,drop_reason,drop_count
1995,malformed,1
2013,regional_variant,56
2013,commentary_noncore,55
2013,duplicate_exact,21
2013,reader_letter,10
2013,malformed,5
2013,duplicate_near,2
2013,very_short_low_value,2
2014,commentary_noncore,30
2014,regional_variant,15
2014,duplicate_exact,12
2014,reader_letter,2
2014,duplicate_near,1
2015,commentary_noncore,51
2015,regional_variant,27
2015,duplicate_exact,9
2015,reader_letter,3
2016,commentary_noncore,35
2016,regional_variant,24
2016,duplicate_exact,6
2017,commentary_noncore,41
2017,regional_variant,17
2017,duplicate_exact,7
2017,duplicate_near,1
2018,duplicate_exact,117
2018,commentary_noncore,65
2018,regional_variant,30
2019,duplicate_exact,153
2019,commentary_noncore,42
2019,regional_variant,31
2019,reader_letter,2
2020,duplicate_exact,37
2020,commentary_noncore,35
2020,regional_variant,16
2020,reader_letter,1
2021,duplicate_exact,32
2021,regional_variant,27
2021,commentary_noncore,25
2021,malformed,2
2021,duplicate_near,1
2021,reader_letter,1
2022,duplicate_exact,67
2022,regional_variant,40
2022,commentary_noncore,15
2022,reader_letter,4
2022,duplicate_near,2
2023,duplicate_exact,76
2023,commentary_noncore,32
2023,regional_variant,17
2023,reader_letter,3
2023,duplicate_near,2
2024,duplicate_exact,62
2024,commentary_noncore,30
2024,regional_variant,21
2024,reader_letter,7
2025,duplicate_exact,142
2025,commentary_noncore,29
2025,regional_variant,28
2025,duplicate_near,2
2025,malformed,2
2025,reader_letter,1
