month_id,duplicate_exact_count,duplicate_near_count,regional_variant_count,duplicate_burden
2013-01,1,0,1,0.047619
2013-02,2,0,4,0.109091
2013-03,0,0,2,0.029851
2013-04,1,0,2,0.047619
2013-05,0,0,0,0.0
2013-06,0,0,4,0.048193
2013-07,1,0,4,0.048077
2013-08,2,1,6,0.061644
2013-09,2,0,4,0.065934
2013-10,1,0,11,0.085106
2013-11,9,1,4,0.102941
2013-12,1,0,2,0.06
2014-01,2,0,1,0.06
2014-02,2,1,0,0.06
2014-03,1,0,1,0.04
2014-04,0,0,0,0.0
2014-05,1,0,3,0.08
2014-06,0,0,1,0.02
2014-07,0,0,1,0.02
2014-08,1,0,1,0.04
2014-09,1,0,3,0.044944
2014-10,0,0,1,0.02
2014-11,3,0,3,0.063158
2014-12,1,0,0,0.02
2015-01,0,0,1,0.02
2015-02,1,0,1,0.04
2015-03,0,0,1,0.02
2015-04,0,0,3,0.06
2015-05,1,0,3,0.043956
2015-06,0,0,4,0.041667
2015-07,2,0,0,0.022222
2015-08,1,0,3,0.04
2015-09,0,0,3,0.03125
2015-10,2,0,5,0.07
2015-11,0,0,2,0.020619
2015-12,2,0,1,0.030928
2016-01,1,0,4,0.053191
2016-02,1,0,7,0.083333
2016-03,0,0,3,0.030928
2016-04,0,0,0,0.0
2016-05,0,0,2,0.04
2016-06,2,0,1,0.06
2016-07,2,0,0,0.04
2016-08,0,0,0,0.0
2016-09,0,0,1,0.02
2016-10,0,0,3,0.06
2016-11,0,0,1,0.02
2016-12,0,0,2,0.04
2017-01,3,0,1,0.08
2017-02,0,0,1,0.02
2017-03,0,0,1,0.02
2017-04,1,0,2,0.06
2017-05,1,0,0,0.02
2017-06,0,0,5,0.1
2017-07,0,0,0,0.0
2017-08,0,0,2,0.04
2017-09,0,1,1,0.04
2017-10,2,0,1,0.06
2017-11,0,0,2,0.04
2017-12,0,0,1,0.02
2018-01,0,0,2,0.04
2018-02,1,0,3,0.08
2018-03,2,0,6,0.082474
2018-04,2,0,1,0.031579
2018-05,0,0,2,0.04
2018-06,0,0,4,0.040816
2018-07,0,0,2,0.04
2018-08,0,0,2,0.020408
2018-09,1,0,1,0.04
2018-10,25,0,0,0.265957
2018-11,45,0,1,0.511111
2018-12,41,0,6,0.479592
2019-01,103,0,3,0.706667
2019-02,8,0,3,0.115789
2019-03,15,0,5,0.20202
2019-04,3,0,6,0.095745
2019-05,3,0,2,0.078125
2019-06,6,0,1,0.09589
2019-07,0,0,2,0.04
2019-08,4,0,3,0.14
2019-09,4,0,0,0.08
2019-10,3,0,0,0.06
2019-11,1,0,1,0.04
2019-12,3,0,2,0.1
2020-01,5,0,0,0.1
2020-02,1,0,1,0.04
2020-03,6,0,1,0.14
2020-04,1,0,1,0.04
2020-05,2,0,1,0.06
2020-06,1,0,2,0.06
2020-07,6,0,1,0.14
2020-08,5,0,2,0.14
2020-09,7,0,3,0.10101
2020-10,2,0,1,0.06
2020-11,0,0,2,0.041667
2020-12,1,0,1,0.04
2021-01,2,0,3,0.1
2021-02,1,0,0,0.022727
2021-03,1,0,3,0.08
2021-04,5,0,2,0.14
2021-05,5,0,4,0.163636
2021-06,3,0,3,0.12
2021-07,4,0,1,0.1
2021-08,3,1,2,0.12
2021-09,2,0,6,0.106667
2021-10,2,0,1,0.06
2021-11,1,0,0,0.02
2021-12,3,0,2,0.1
2022-01,7,0,4,0.189655
2022-02,6,0,2,0.16
2022-03,5,0,1,0.12
2022-04,2,0,0,0.04
2022-05,4,0,2,0.12
2022-06,6,0,1,0.14
2022-07,13,0,4,0.217949
2022-08,9,1,9,0.202128
2022-09,5,0,3,0.16
2022-10,5,1,9,0.151515
2022-11,3,0,3,0.12
2022-12,2,0,2,0.08
2023-01,10,1,3,0.14
2023-02,5,0,0,0.1
2023-03,6,0,0,0.12
2023-04,3,0,0,0.06
2023-05,3,1,1,0.1
2023-06,2,0,0,0.04
2023-07,6,0,2,0.16
2023-08,14,0,2,0.16
2023-09,11,0,2,0.13
2023-10,11,0,6,0.171717
2023-11,3,0,0,0.06
2023-12,2,0,1,0.06
2024-01,3,0,2,0.1
2024-02,5,0,3,0.16
2024-03,7,0,1,0.16
2024-04,2,0,1,0.06
2024-05,9,0,3,0.146341
2024-06,5,0,4,0.090909
2024-07,4,0,1,0.1
2024-08,11,0,3,0.14
2024-09,6,0,0,0.12
2024-10,2,0,0,0.04
2024-11,6,0,1,0.14
2024-12,2,0,2,0.08
2025-01,11,0,6,0.173469
2025-02,13,0,8,0.216495
2025-03,14,0,1,0.151515
2025-04,10,0,1,0.141026
2025-05,4,0,0,0.08
2025-06,3,1,1,0.1
2025-07,19,0,4,0.23
2025-08,19,0,0,0.202128
2025-09,17,1,3,0.212121
2025-10,9,0,1,0.116279
2025-11,4,0,2,0.072289
2025-12,19,0,1,0.176991
