year,publication,pub_count,year_kept_total,top1_share
2013,"taz, die tageszeitung",219,908,0.24118942731277532
2014,"taz, die tageszeitung",153,624,0.24519230769230768
2015,Rheinische Post,181,871,0.20780711825487944
2016,Die Welt,126,667,0.1889055472263868
2017,Rheinische Post,84,533,0.1575984990619137
2018,Frankfurter Rundschau,107,705,0.15177304964539007
2019,Rheinische Post,127,647,0.19629057187017002
2020,"taz, die tageszeitung",110,558,0.1971326164874552
2021,Frankfurter Rundschau,99,536,0.18470149253731344
2022,Rheinische Post,173,600,0.28833333333333333
2023,Rheinische Post,202,669,0.30194319880418535
2024,Rheinische Post,179,611,0.29296235679214405
2025,Rheinische Post,213,843,0.2526690391459075
