month_id,year,month,batch_id,raw_article_count,kept_article_count,dropped_article_count,keep_share,unique_source_count,total_word_count_kept,mean_word_count_kept,median_word_count_kept,duplicate_exact_count,duplicate_near_count,regional_variant_count,malformed_count,reader_letter_drop_count,commentary_noncore_drop_count,very_short_low_value_drop_count,source_top1,source_top1_count,source_top2,source_top2_count,source_top3,source_top3_count,freeze_status,notes,kept_share_of_raw,duplicate_burden,dropped_share,shock_month_flag,shock_window_flag_placeholder
2013-01,2013,1,2013-01,42,38,4,0.904762,8,17346,456.474,342.0,1,0,1,0,1,1,0,Rheinische Post,10,"taz, die tageszeitung",9,Die Welt,8,frozen,,0.904762,0.047619,0.095238,0,
2013-02,2013,2,2013-02,55,41,14,0.745455,8,20616,502.829,451,2,0,4,0,0,8,0,"taz, die tageszeitung",11,Berliner Zeitung,6,Der Tagesspiegel,6,frozen,,0.745455,0.109091,0.254545,0,
2013-03,2013,3,2013-03,67,61,6,0.910448,7,32763,537.098,479,0,0,2,0,0,4,0,"taz, die tageszeitung",24,Die Welt,12,Der Tagesspiegel,11,frozen,,0.910448,0.029851,0.089552,0,
2013-04,2013,4,2013-04,63,55,8,0.873016,8,28604,520.073,514,1,0,2,0,1,4,0,"taz, die tageszeitung",15,Die Welt,13,Rheinische Post,9,frozen,,0.873016,0.047619,0.126984,0,
2013-05,2013,5,2013-05,64,54,10,0.84375,7,25462,471.519,392.5,0,0,0,0,2,8,0,Der Tagesspiegel,14,"taz, die tageszeitung",13,Die Welt,9,frozen,,0.84375,0.0,0.15625,0,
2013-06,2013,6,2013-06,83,71,12,0.855422,8,40042,563.972,398,0,0,4,1,0,7,0,"taz, die tageszeitung",24,Die Welt,13,Der Tagesspiegel,11,frozen,,0.855422,0.048193,0.144578,0,
2013-07,2013,7,2013-07,104,91,13,0.875,9,45532,500.352,434,1,0,4,1,2,5,0,Berliner Zeitung,24,"taz, die tageszeitung",19,Südwest Presse,15,frozen,,0.875,0.048077,0.125,0,
2013-08,2013,8,2013-08,146,130,16,0.890411,9,74594,573.8,456.5,2,1,6,1,1,5,0,"taz, die tageszeitung",35,Der Tagesspiegel,23,Berliner Zeitung,19,frozen,,0.890411,0.061644,0.109589,0,
2013-09,2013,9,2013-09,91,80,11,0.879121,9,46568,582.1,501.5,2,0,4,0,1,4,0,Rheinische Post,14,Der Tagesspiegel,13,Frankfurter Rundschau,13,frozen,,0.879121,0.065934,0.120879,0,
2013-10,2013,10,2013-10,141,125,16,0.886525,9,68380,547.04,491,1,0,11,0,0,4,0,"taz, die tageszeitung",28,Frankfurter Rundschau,27,Berliner Zeitung,17,frozen,,0.886525,0.085106,0.113475,0,
2013-11,2013,11,2013-11,136,117,19,0.860294,9,65200,557.265,483,9,1,4,1,1,3,0,Frankfurter Rundschau,29,"taz, die tageszeitung",21,Berliner Zeitung,16,frozen,,0.860294,0.102941,0.139706,0,
2013-12,2013,12,2013-12,50,45,5,0.9,9,23629,525.089,483,1,0,2,0,0,2,0,Berliner Zeitung,11,"taz, die tageszeitung",9,Der Tagesspiegel,8,frozen,,0.9,0.06,0.1,0,
2014-01,2014,1,2014-01,50,45,5,0.9,9,24322,540.489,425,2,0,1,0,0,2,0,Frankfurter Rundschau,12,"taz, die tageszeitung",12,Rheinische Post,7,frozen,,0.9,0.06,0.1,0,
2014-02,2014,2,2014-02,50,46,4,0.92,9,26282,571.348,380.5,2,1,0,0,0,1,0,"taz, die tageszeitung",13,Frankfurter Rundschau,9,Die Welt,7,frozen,,0.92,0.06,0.08,0,
2014-03,2014,3,2014-03,50,46,4,0.92,9,25536,555.13,481.5,1,0,1,0,0,2,0,"taz, die tageszeitung",10,Frankfurter Rundschau,9,Berliner Zeitung,8,frozen,,0.92,0.04,0.08,0,
2014-04,2014,4,2014-04,50,48,2,0.96,7,27841,580.021,520.0,0,0,0,0,0,2,0,"taz, die tageszeitung",18,Der Tagesspiegel,10,Frankfurter Rundschau,9,frozen,,0.96,0.0,0.04,0,
2014-05,2014,5,2014-05,50,45,5,0.9,8,21955,487.889,380,1,0,3,0,0,1,0,"taz, die tageszeitung",15,Der Tagesspiegel,7,Frankfurter Rundschau,7,frozen,,0.9,0.08,0.1,0,
2014-06,2014,6,2014-06,50,49,1,0.98,7,30966,631.959,530,0,0,1,0,0,0,0,"taz, die tageszeitung",17,Der Tagesspiegel,9,Berliner Zeitung,7,frozen,,0.98,0.02,0.02,0,
2014-07,2014,7,2014-07,50,44,6,0.88,8,28002,636.409,472.0,0,0,1,0,0,5,0,"taz, die tageszeitung",13,Berliner Zeitung,9,Frankfurter Rundschau,9,frozen,,0.88,0.02,0.12,0,
2014-08,2014,8,2014-08,50,45,5,0.9,8,23308,517.956,458,1,0,1,0,0,3,0,Frankfurter Rundschau,9,Rheinische Post,8,Südwest Presse,8,frozen,,0.9,0.04,0.1,0,
2014-09,2014,9,2014-09,89,80,9,0.898876,9,39256,490.7,452.0,1,0,3,0,1,4,0,"taz, die tageszeitung",17,Berliner Zeitung,14,Frankfurter Rundschau,13,frozen,,0.898876,0.044944,0.101124,0,
2014-10,2014,10,2014-10,50,45,5,0.9,8,28695,637.667,464,0,0,1,0,0,4,0,"taz, die tageszeitung",10,Rheinische Post,9,Die Welt,7,frozen,,0.9,0.02,0.1,0,
2014-11,2014,11,2014-11,95,84,11,0.884211,9,43051,512.512,419.0,3,0,3,0,1,4,0,Rheinische Post,21,Der Tagesspiegel,15,"taz, die tageszeitung",12,frozen,,0.884211,0.063158,0.115789,0,
2014-12,2014,12,2014-12,50,47,3,0.94,9,28308,602.298,434,1,0,0,0,0,2,0,Rheinische Post,12,Frankfurter Rundschau,8,"taz, die tageszeitung",8,frozen,,0.94,0.02,0.06,0,
2015-01,2015,1,2015-01,50,47,3,0.94,9,28716,610.979,540,0,0,1,0,0,2,0,Rheinische Post,11,Die Welt,9,Frankfurter Rundschau,7,frozen,,0.94,0.02,0.06,0,
2015-02,2015,2,2015-02,50,46,4,0.92,8,30850,670.652,537.0,1,0,1,0,0,2,0,Die Welt,8,"taz, die tageszeitung",8,Berliner Zeitung,6,frozen,,0.92,0.04,0.08,0,
2015-03,2015,3,2015-03,50,48,2,0.96,9,31764,661.75,514.5,0,0,1,0,0,1,0,Die Welt,11,Rheinische Post,10,Frankfurter Rundschau,8,frozen,,0.96,0.02,0.04,0,
2015-04,2015,4,2015-04,50,45,5,0.9,8,24473,543.844,482,0,0,3,0,0,2,0,Der Tagesspiegel,11,Frankfurter Rundschau,7,Rheinische Post,6,frozen,,0.9,0.06,0.1,0,
