month_id,kept_article_count,source_top1,source_top1_count,top1_share
2013-01,38,Rheinische Post,10,0.2631578947368421
2013-02,41,"taz, die tageszeitung",11,0.2682926829268293
2013-03,61,"taz, die tageszeitung",24,0.39344262295081966
2013-04,55,"taz, die tageszeitung",15,0.2727272727272727
2013-05,54,Der Tagesspiegel,14,0.25925925925925924
2013-06,71,"taz, die tageszeitung",24,0.3380281690140845
2013-07,91,Berliner Zeitung,24,0.26373626373626374
2013-08,130,"taz, die tageszeitung",35,0.2692307692307692
2013-09,80,Rheinische Post,14,0.175
2013-10,125,"taz, die tageszeitung",28,0.224
2013-11,117,Frankfurter Rundschau,29,0.24786324786324787
2013-12,45,Berliner Zeitung,11,0.24444444444444444
2014-01,45,Frankfurter Rundschau,12,0.26666666666666666
2014-02,46,"taz, die tageszeitung",13,0.2826086956521739
2014-03,46,"taz, die tageszeitung",10,0.21739130434782608
2014-04,48,"taz, die tageszeitung",18,0.375
2014-05,45,"taz, die tageszeitung",15,0.3333333333333333
2014-06,49,"taz, die tageszeitung",17,0.3469387755102041
2014-07,44,"taz, die tageszeitung",13,0.29545454545454547
2014-08,45,Frankfurter Rundschau,9,0.2
2014-09,80,"taz, die tageszeitung",17,0.2125
2014-10,45,"taz, die tageszeitung",10,0.2222222222222222
2014-11,84,Rheinische Post,21,0.25
2014-12,47,Rheinische Post,12,0.2553191489361702
2015-01,47,Rheinische Post,11,0.23404255319148937
2015-02,46,Die Welt,8,0.17391304347826086
2015-03,48,Die Welt,11,0.22916666666666666
2015-04,45,Der Tagesspiegel,11,0.24444444444444444
2015-05,83,Rheinische Post,25,0.30120481927710846
2015-06,84,Rheinische Post,22,0.2619047619047619
2015-07,78,Rheinische Post,27,0.34615384615384615
2015-08,88,Rheinische Post,26,0.29545454545454547
2015-09,86,"taz, die tageszeitung",21,0.2441860465116279
2015-10,85,Die Welt,15,0.17647058823529413
2015-11,90,Die Welt,17,0.18888888888888888
2015-12,91,Rheinische Post,22,0.24175824175824176
2016-01,79,Die Welt,15,0.189873417721519
2016-02,85,Rheinische Post,17,0.2
2016-03,87,Die Welt,20,0.22988505747126436
2016-04,48,Berliner Zeitung,10,0.20833333333333334
2016-05,47,Rheinische Post,10,0.2127659574468085
2016-06,44,Rheinische Post,11,0.25
2016-07,46,Die Welt,16,0.34782608695652173
2016-08,44,"taz, die tageszeitung",10,0.22727272727272727
2016-09,46,Die Welt,13,0.2826086956521739
2016-10,45,Rheinische Post,9,0.2
2016-11,49,Rheinische Post,11,0.22448979591836735
2016-12,47,Die Welt,11,0.23404255319148937
2017-01,43,"taz, die tageszeitung",8,0.18604651162790697
2017-02,45,"taz, die tageszeitung",9,0.2
2017-03,45,Frankfurter Rundschau,9,0.2
2017-04,42,Frankfurter Rundschau,11,0.2619047619047619
2017-05,46,Frankfurter Rundschau,10,0.21739130434782608
2017-06,41,Die Welt,8,0.1951219512195122
2017-07,48,Rheinische Post,8,0.16666666666666666
2017-08,45,Berliner Zeitung,8,0.17777777777777778
2017-09,45,Frankfurter Rundschau,9,0.2
2017-10,43,Die Welt,10,0.23255813953488372
2017-11,45,Rheinische Post,9,0.2
2017-12,45,Der Tagesspiegel,11,0.24444444444444444
2018-01,45,Die Welt,10,0.2222222222222222
2018-02,44,Frankfurter Rundschau,8,0.18181818181818182
2018-03,81,Rheinische Post,17,0.20987654320987653
2018-04,83,Frankfurter Rundschau,16,0.1927710843373494
2018-05,44,Die Welt,8,0.18181818181818182
2018-06,84,Der Tagesspiegel,16,0.19047619047619047
2018-07,45,Die Welt,13,0.28888888888888886
2018-08,82,Die Welt,15,0.18292682926829268
2018-09,45,Rheinische Post,10,0.2222222222222222
2018-10,64,Rheinische Post,17,0.265625
2018-11,40,"taz, die tageszeitung",7,0.175
2018-12,48,Frankfurter Rundschau,12,0.25
2019-01,42,Rheinische Post,11,0.2619047619047619
2019-02,75,Rheinische Post,12,0.16
2019-03,76,Rheinische Post,18,0.23684210526315788
2019-04,78,Rheinische Post,15,0.19230769230769232
2019-05,54,"taz, die tageszeitung",12,0.2222222222222222
2019-06,57,Rheinische Post,12,0.21052631578947367
2019-07,48,Frankfurter Rundschau,14,0.2916666666666667
2019-08,42,Frankfurter Rundschau,10,0.23809523809523808
2019-09,43,Die Welt,11,0.2558139534883721
2019-10,46,Rheinische Post,13,0.2826086956521739
2019-11,46,"taz, die tageszeitung",9,0.1956521739130435
2019-12,41,Rheinische Post,11,0.2682926829268293
2020-01,41,Rheinische Post,11,0.2682926829268293
2020-02,45,"taz, die tageszeitung",10,0.2222222222222222
2020-03,43,"taz, die tageszeitung",10,0.23255813953488372
2020-04,45,"taz, die tageszeitung",11,0.24444444444444444
2020-05,44,Der Tagesspiegel,10,0.22727272727272727
2020-06,43,"taz, die tageszeitung",10,0.23255813953488372
2020-07,41,Rheinische Post,13,0.3170731707317073
2020-08,42,Frankfurter Rundschau,8,0.19047619047619047
2020-09,82,Rheinische Post,18,0.21951219512195122
2020-10,44,Frankfurter Rundschau,9,0.20454545454545456
2020-11,45,"taz, die tageszeitung",11,0.24444444444444444
2020-12,43,"taz, die tageszeitung",11,0.2558139534883721
2021-01,43,Der Tagesspiegel,9,0.20930232558139536
2021-02,39,Frankfurter Rundschau,7,0.1794871794871795
2021-03,44,Frankfurter Rundschau,10,0.22727272727272727
2021-04,42,Rheinische Post,14,0.3333333333333333
2021-05,41,Rheinische Post,8,0.1951219512195122
2021-06,42,Frankfurter Rundschau,10,0.23809523809523808
2021-07,43,Die Welt,9,0.20930232558139536
2021-08,42,"taz, die tageszeitung",9,0.21428571428571427
2021-09,63,Frankfurter Rundschau,14,0.2222222222222222
2021-10,45,"taz, die tageszeitung",9,0.2
2021-11,48,Frankfurter Rundschau,10,0.20833333333333334
2021-12,44,Frankfurter Rundschau,10,0.22727272727272727
2022-01,44,Frankfurter Rundschau,12,0.2727272727272727
2022-02,42,Rheinische Post,9,0.21428571428571427
2022-03,43,Rheinische Post,22,0.5116279069767442
2022-04,48,Nordwest-Zeitung,11,0.22916666666666666
2022-05,43,Rheinische Post,12,0.27906976744186046
2022-06,43,Rheinische Post,15,0.3488372093023256
2022-07,57,Rheinische Post,13,0.22807017543859648
2022-08,72,Rheinische Post,21,0.2916666666666667
2022-09,42,Rheinische Post,14,0.3333333333333333
2022-10,78,Nordwest-Zeitung,19,0.24358974358974358
2022-11,43,Rheinische Post,18,0.4186046511627907
2022-12,45,Rheinische Post,10,0.2222222222222222
2023-01,84,Rheinische Post,24,0.2857142857142857
2023-02,41,Frankfurter Rundschau,7,0.17073170731707318
2023-03,43,Rheinische Post,9,0.20930232558139536
2023-04,46,Der Tagesspiegel,11,0.2391304347826087
2023-05,42,Rheinische Post,10,0.23809523809523808
