year,publication,kept_count
2013,"taz, die tageszeitung",219
2013,Der Tagesspiegel,143
2013,Berliner Zeitung,127
2013,Die Welt,123
2013,Frankfurter Rundschau,101
2013,Südwest Presse,78
2013,Rheinische Post,72
2013,Die ZEIT (inklusive ZEIT Magazin),26
2013,Welt am Sonntag,19
2014,"taz, die tageszeitung",153
2014,Frankfurter Rundschau,104
2014,Rheinische Post,83
2014,Berliner Zeitung,82
2014,Der Tagesspiegel,82
2014,Südwest Presse,44
2014,Die Welt,42
2014,Die ZEIT (inklusive ZEIT Magazin),20
2014,Welt am Sonntag,14
2015,Rheinische Post,181
2015,Die Welt,133
2015,"taz, die tageszeitung",127
2015,Der Tagesspiegel,119
2015,Frankfurter Rundschau,116
2015,Berliner Zeitung,79
2015,Südwest Presse,66
2015,Die ZEIT (inklusive ZEIT Magazin),27
2015,Welt am Sonntag,23
2016,Die Welt,126
2016,Rheinische Post,122
2016,Der Tagesspiegel,95
2016,"taz, die tageszeitung",84
2016,Frankfurter Rundschau,77
2016,Berliner Zeitung,66
2016,Südwest Presse,51
2016,Die ZEIT (inklusive ZEIT Magazin),29
2016,Welt am Sonntag,17
2017,Rheinische Post,84
2017,Frankfurter Rundschau,83
2017,"taz, die tageszeitung",78
2017,Die Welt,72
2017,Der Tagesspiegel,67
2017,Berliner Zeitung,57
2017,Nordwest-Zeitung,32
2017,Welt am Sonntag,24
2017,Die ZEIT (inklusive ZEIT Magazin),18
2017,Südwest Presse,18
2018,Frankfurter Rundschau,107
2018,Die Welt,105
2018,Rheinische Post,96
2018,"taz, die tageszeitung",91
2018,Der Tagesspiegel,84
2018,Berliner Zeitung,71
2018,Nordwest-Zeitung,65
2018,Südwest Presse,50
2018,Die ZEIT (inklusive ZEIT Magazin),18
2018,Welt am Sonntag,18
2019,Rheinische Post,128
2019,Frankfurter Rundschau,111
2019,Die Welt,102
2019,"taz, die tageszeitung",80
2019,Nordwest-Zeitung,71
2019,Berliner Zeitung,45
2019,Südwest Presse,41
2019,Der Tagesspiegel,27
2019,Welt am Sonntag,22
2019,Die ZEIT (inklusive ZEIT Magazin),21
2020,"taz, die tageszeitung",110
2020,Rheinische Post,104
2020,Frankfurter Rundschau,80
2020,Die Welt,71
2020,Der Tagesspiegel,62
2020,Nordwest-Zeitung,43
2020,Berliner Zeitung,31
2020,Südwest Presse,24
2020,Welt am Sonntag,22
2020,Die ZEIT (inklusive ZEIT Magazin),11
2021,Frankfurter Rundschau,99
2021,Rheinische Post,94
2021,"taz, die tageszeitung",75
2021,Die Welt,64
2021,Der Tagesspiegel,59
2021,Südwest Presse,38
2021,Nordwest-Zeitung,35
2021,Berliner Zeitung,26
2021,Welt am Sonntag,24
2021,Die ZEIT (inklusive ZEIT Magazin),22
2022,Rheinische Post,173
2022,Nordwest-Zeitung,95
2022,Frankfurter Rundschau,71
2022,Der Tagesspiegel,53
2022,Die Welt,51
2022,Südwest Presse,50
2022,"taz, die tageszeitung",43
2022,Berliner Zeitung,33
2022,Welt am Sonntag,25
2022,Die ZEIT (inklusive ZEIT Magazin),6
2023,Rheinische Post,202
2023,Frankfurter Rundschau,79
2023,Der Tagesspiegel,68
2023,Südwest Presse,62
2023,Nordwest-Zeitung,58
2023,Die Welt,56
2023,"taz, die tageszeitung",52
2023,Welt am Sonntag,42
2023,Berliner Zeitung,35
2023,Die ZEIT (inklusive ZEIT Magazin),15
2024,Rheinische Post,179
2024,Berliner Zeitung,64
2024,Die Welt,63
2024,Frankfurter Rundschau,53
2024,"taz, die tageszeitung",52
2024,Nordwest-Zeitung,51
2024,Der Tagesspiegel,50
2024,Südwest Presse,49
2024,Welt am Sonntag,38
2024,Die ZEIT (inklusive ZEIT Magazin),12
2025,Rheinische Post,213
2025,Die Welt,116
2025,Frankfurter Rundschau,112
2025,"taz, die tageszeitung",112
2025,Südwest Presse,73
2025,Der Tagesspiegel,59
2025,Berliner Zeitung,50
2025,Welt am Sonntag,45
2025,Nordwest-Zeitung,44
2025,Die ZEIT (inklusive ZEIT Magazin),19
