month_id,raw_article_count,kept_article_count,dropped_article_count,keep_share,duplicate_burden
2013-01,42,38,4,0.904762,0.047619
2013-02,55,41,14,0.745455,0.109091
2013-03,67,61,6,0.910448,0.029851
2013-04,63,55,8,0.873016,0.047619
2013-05,64,54,10,0.84375,0.0
2013-06,83,71,12,0.855422,0.048193
2013-07,104,91,13,0.875,0.048077
2013-08,146,130,16,0.890411,0.061644
2013-09,91,80,11,0.879121,0.065934
2013-10,141,125,16,0.886525,0.085106
2013-11,136,117,19,0.860294,0.102941
2013-12,50,45,5,0.9,0.06
2014-01,50,45,5,0.9,0.06
2014-02,50,46,4,0.92,0.06
2014-03,50,46,4,0.92,0.04
2014-04,50,48,2,0.96,0.0
2014-05,50,45,5,0.9,0.08
2014-06,50,49,1,0.98,0.02
2014-07,50,44,6,0.88,0.02
2014-08,50,45,5,0.9,0.04
2014-09,89,80,9,0.898876,0.044944
2014-10,50,45,5,0.9,0.02
2014-11,95,84,11,0.884211,0.063158
2014-12,50,47,3,0.94,0.02
2015-01,50,47,3,0.94,0.02
2015-02,50,46,4,0.92,0.04
2015-03,50,48,2,0.96,0.02
2015-04,50,45,5,0.9,0.06
2015-05,91,83,6,0.912088,0.043956
2015-06,96,84,10,0.875,0.041667
2015-07,90,78,12,0.866667,0.022222
2015-08,100,88,11,0.88,0.04
2015-09,96,86,10,0.895833,0.03125
2015-10,100,85,15,0.85,0.07
2015-11,97,90,6,0.927835,0.020619
2015-12,97,91,6,0.938144,0.030928
2016-01,94,79,15,0.840426,0.053191
2016-02,96,85,10,0.885417,0.083333
2016-03,97,87,8,0.896907,0.030928
2016-04,50,48,1,0.96,0.0
2016-05,50,47,3,0.94,0.04
2016-06,50,44,6,0.88,0.06
2016-07,50,46,4,0.92,0.04
2016-08,50,44,6,0.88,0.0
2016-09,50,46,4,0.92,0.02
2016-10,50,45,4,0.9,0.06
2016-11,50,49,1,0.98,0.02
2016-12,50,47,3,0.94,0.04
2017-01,50,43,7,0.86,0.08
2017-02,50,45,5,0.9,0.02
2017-03,50,45,5,0.9,0.02
2017-04,50,42,7,0.84,0.06
2017-05,50,46,4,0.92,0.02
2017-06,50,41,9,0.82,0.1
2017-07,50,48,2,0.96,0.0
2017-08,50,45,5,0.9,0.04
2017-09,50,45,5,0.9,0.04
2017-10,50,43,7,0.86,0.06
2017-11,50,45,5,0.9,0.04
2017-12,50,45,5,0.9,0.02
2018-01,50,45,5,0.9,0.04
2018-02,50,44,6,0.88,0.08
2018-03,97,81,15,0.835052,0.082474
2018-04,95,83,10,0.873684,0.031579
2018-05,50,44,6,0.88,0.04
2018-06,98,84,14,0.857143,0.040816
2018-07,50,45,5,0.9,0.04
2018-08,98,82,16,0.836735,0.020408
2018-09,50,45,5,0.9,0.04
2018-10,94,64,30,0.680851,0.265957
2018-11,90,40,50,0.444444,0.511111
2018-12,98,48,50,0.489796,0.479592
2019-01,150,42,108,0.28,0.706667
2019-02,95,75,20,0.789474,0.115789
2019-03,99,76,23,0.767677,0.20202
2019-04,94,78,16,0.829787,0.095745
2019-05,64,54,10,0.84375,0.078125
2019-06,73,57,16,0.780822,0.09589
2019-07,50,48,2,0.96,0.04
2019-08,50,42,8,0.84,0.14
2019-09,50,42,8,0.84,0.14
2019-10,50,46,4,0.92,0.06
2019-11,50,46,4,0.92,0.04
2019-12,50,41,9,0.82,0.1
2020-01,50,41,9,0.82,0.1
2020-02,50,45,5,0.9,0.04
2020-03,50,43,7,0.86,0.14
2020-04,50,45,5,0.9,0.04
2020-05,50,44,6,0.88,0.06
2020-06,50,43,7,0.86,0.06
2020-07,50,41,9,0.82,0.14
2020-08,50,42,8,0.84,0.14
2020-09,99,82,17,0.828283,0.10101
2020-10,50,44,6,0.88,0.06
2020-11,48,45,3,0.9375,0.041667
2020-12,50,43,7,0.86,0.04
2021-01,50,43,7,0.86,0.1
2021-02,44,39,5,0.886364,0.022727
2021-03,50,44,6,0.88,0.08
2021-04,50,42,8,0.84,0.14
2021-05,55,41,14,0.745455,0.163636
2021-06,50,42,8,0.84,0.12
2021-07,50,43,7,0.86,0.1
2021-08,50,42,8,0.84,0.12
2021-09,75,63,12,0.84,0.106667
2021-10,50,45,5,0.9,0.06
2021-11,50,48,2,0.96,0.02
2021-12,50,44,6,0.88,0.1
2022-01,58,44,14,0.758621,0.189655
2022-02,50,42,8,0.84,0.16
2022-03,50,43,7,0.86,0.12
2022-04,50,48,2,0.96,0.04
2022-05,50,43,7,0.86,0.12
2022-06,50,43,7,0.86,0.14
2022-07,78,57,21,0.730769,0.217949
2022-08,94,72,22,0.765957,0.202128
2022-09,50,42,8,0.84,0.16
2022-10,99,78,20,0.787879,0.151515
2022-11,50,43,7,0.86,0.12
2022-12,50,45,5,0.9,0.08
2023-01,100,84,16,0.84,0.14
2023-02,50,41,9,0.82,0.1
2023-03,50,43,7,0.86,0.12
2023-04,50,46,4,0.92,0.06
2023-05,50,42,8,0.84,0.1
2023-06,50,46,4,0.92,0.04
2023-07,50,41,9,0.82,0.16
2023-08,100,79,21,0.79,0.16
2023-09,100,81,19,0.81,0.13
2023-10,99,76,23,0.767677,0.171717
2023-11,50,44,6,0.88,0.06
2023-12,50,46,4,0.92,0.06
2024-01,50,42,8,0.84,0.1
2024-02,50,41,9,0.82,0.16
2024-03,50,41,9,0.82,0.16
2024-04,50,43,7,0.86,0.06
2024-05,82,66,16,0.804878,0.146341
2024-06,99,81,18,0.818182,0.090909
2024-07,50,45,5,0.9,0.1
2024-08,100,75,25,0.75,0.14
2024-09,50,42,8,0.84,0.12
2024-10,50,48,2,0.96,0.04
2024-11,50,43,7,0.86,0.14
2024-12,50,44,6,0.88,0.08
2025-01,98,78,20,0.795918,0.173469
2025-02,97,75,22,0.773196,0.216495
2025-03,99,81,18,0.818182,0.151515
2025-04,78,66,12,0.846154,0.141026
2025-05,50,45,5,0.9,0.08
2025-06,50,44,6,0.88,0.1
2025-07,100,73,27,0.73,0.23
2025-08,94,72,22,0.765957,0.202128
2025-09,99,76,23,0.767677,0.212121
2025-10,86,72,14,0.837209,0.116279
2025-11,83,73,10,0.879518,0.072289
2025-12,113,88,25,0.778761,0.176991
