year,raw_article_count,kept_article_count,dropped_article_count,keep_share
2013,1181,1027,152,0.869602032176122
2014,684,624,60,0.9122807017543859
2015,967,871,90,0.9007238883143743
2016,737,667,65,0.9050203527815468
2017,600,533,66,0.8883333333333333
2018,920,705,212,0.7663043478260869
2019,875,647,228,0.7394285714285714
2020,647,558,89,0.8624420401854714
2021,624,536,88,0.8589743589743589
2022,729,600,128,0.823045267489712
2023,799,669,130,0.83729662077597
2024,731,611,120,0.8358413132694938
2025,1047,843,204,0.8051575931232091
