month,year_month,month_dt,year,month_num,text_indicator_month_has_articles,n_articles_text_indicators,mean_word_count,median_word_count,total_word_count,migration_terms_per_1000_mean,migration_terms_total,share_articles_with_migration_terms,security_terms_per_1000_mean,security_terms_total,share_articles_with_security_terms,afd_far_right_terms_per_1000_mean,afd_far_right_terms_total,share_articles_with_afd_far_right_terms,remigration_democracy_terms_per_1000_mean,remigration_democracy_terms_total,share_articles_with_remigration_democracy_terms,negative_threat_terms_per_1000_mean,negative_threat_terms_total,share_articles_with_negative_threat_terms,security_share_of_migration_context_mean,migration_terms_per_1000_median,security_terms_per_1000_median,afd_far_right_terms_per_1000_median,remigration_democracy_terms_per_1000_median,negative_threat_terms_per_1000_median
2013-01,2013-01,2013-01-01,2013,1,True,38,456.4736842105263,342.0,17346,17.669471221643725,273,1.0,2.2840954681424397,46,0.39473684210526316,0.221223672539169,3,0.07894736842105263,0.46495642102063783,7,0.13157894736842105,3.279072906845686,68,0.6052631578947368,0.27877258936815724,11.739822386959428,0.0,0.0,0.0,1.688034188034188
2013-02,2013-02,2013-02-01,2013,2,True,41,502.8292682926829,451.0,20616,16.714324514222895,313,1.0,2.7256419922366204,49,0.4146341463414634,0.18286952393782516,3,0.07317073170731707,0.03593600881551373,2,0.04878048780487805,3.010953493364887,64,0.6341463414634146,0.2406207563233917,14.970059880239521,0.0,0.0,0.0,2.0833333333333335
2013-03,2013-03,2013-03-01,2013,3,True,61,537.0983606557377,479.0,32763,19.864797029871976,560,1.0,4.025286658285459,125,0.4918032786885246,0.5793578775354932,20,0.16393442622950818,0.3167072690810028,11,0.08196721311475409,3.068297013774136,107,0.5901639344262295,0.5943625270047642,17.073170731707318,0.0,0.0,0.0,2.262443438914027
2013-04,2013-04,2013-04-01,2013,4,True,55,520.0727272727273,514.0,28604,19.367191295560456,467,1.0,4.274658676534225,114,0.4727272727272727,0.4630362481675712,14,0.14545454545454545,0.5091352633428393,20,0.10909090909090909,3.6879062815427934,118,0.6545454545454545,0.6564053290737782,14.084507042253522,0.0,0.0,0.0,3.1397174254317113
2013-05,2013-05,2013-05-01,2013,5,True,54,471.51851851851853,392.5,25462,24.64977855548625,559,1.0,3.3999714379282406,73,0.4444444444444444,0.10505788460026447,3,0.05555555555555555,0.27402681480400914,6,0.09259259259259259,2.7578773153315757,75,0.5740740740740741,0.2894181381754481,24.31846090871879,0.0,0.0,0.0,2.2149725274725274
2013-06,2013-06,2013-06-01,2013,6,True,71,563.9718309859155,398.0,40042,20.611533568711785,674,1.0,5.547244459218329,178,0.6056338028169014,0.24768469687139832,11,0.11267605633802817,0.18551732000489585,8,0.08450704225352113,3.366252611646116,139,0.6901408450704225,0.5644105403345093,18.099547511312217,2.6954177897574123,0.0,0.0,2.785515320334262
2013-07,2013-07,2013-07-01,2013,7,True,91,500.35164835164835,434.0,45532,25.813679600526974,1010,1.0,4.747216231945727,190,0.5824175824175825,0.6573371125845279,24,0.2087912087912088,0.44548789245907167,25,0.16483516483516483,2.8011973615910826,134,0.6153846153846154,0.36672883756658975,25.229357798165136,2.0242914979757085,0.0,0.0,2.1413276231263385
2013-08,2013-08,2013-08-01,2013,8,True,130,573.8,456.5,74594,20.643483160921143,1359,1.0,6.477456030551816,433,0.6846153846153846,2.34748737523983,158,0.3384615384615385,0.734984810899187,48,0.24615384615384617,4.477239738038663,344,0.7230769230769231,0.7126888301662299,18.87840670859539,3.2765413808281534,0.0,0.0,3.300473830401394
2013-09,2013-09,2013-09-01,2013,9,True,80,582.1,501.5,46568,21.745414679542744,881,1.0,3.8123202211424854,164,0.5,0.8384949511152264,36,0.1625,0.34427080366569496,13,0.1,3.0347879732416674,152,0.6875,0.5087086879874225,18.71657754010695,0.29515938606847697,0.0,0.0,2.9382831106969034
2013-10,2013-10,2013-10-01,2013,10,True,125,547.04,491.0,68380,25.383122074927485,1614,1.0,6.346637947511348,360,0.576,0.6305898541211843,40,0.16,0.5068008390217882,32,0.176,3.793329211873116,273,0.688,0.4115695279356847,23.923444976076556,1.763668430335097,0.0,0.0,2.6315789473684212
2013-11,2013-11,2013-11-01,2013,11,True,117,557.2649572649573,483.0,65200,19.63049242535283,1197,0.9914529914529915,4.365137572128211,298,0.6239316239316239,0.4045716150246101,32,0.13675213675213677,0.5210132628491216,26,0.1794871794871795,2.99607747596543,200,0.6495726495726496,0.4551775711444208,17.167381974248926,2.0876826722338206,0.0,0.0,2.127659574468085
2013-12,2013-12,2013-12-01,2013,12,True,45,525.0888888888888,483.0,23629,25.83236676318672,582,1.0,3.9161910868895555,95,0.4888888888888889,0.1900529358459948,4,0.08888888888888889,0.20385637698788123,4,0.044444444444444446,3.3431387536592423,78,0.6666666666666666,0.21479158491093697,24.351924587588375,0.0,0.0,0.0,2.5
