article_id,corpus_type,corpus_name,batch_id,source_archive,date,year,month,publication,publication_normalized,title_original,title_normalized,byline,section,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,source_file_name,source_file_path,protocol_version,notes,query_version,source_basket_version,language,publication_type,date_raw
87b4fbb8d229a88fca9b075d3f1d67cc37ad98f7,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-31,2013,2013-01,Der Tagesspiegel,der tagesspiegel,"1,5 Milliarden für Syriens Flüchtlinge Fast 60 Staaten sammeln in Kuwait Geld",15 milliarden für syriens flüchtlinge fast 60 staaten sammeln in kuwait geld,,POLITIK; S. 5; Ausg. 21588,167,1223,37aad556cc2dcaa1b066821381b597f45c4f2af3,,unique,keep,,no,,no,,"1,5 Milliarden für Syriens Flüchtlinge Fast 60 Staaten sammeln in Kuwait Geld.PDF","C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\1,5 Milliarden für Syriens Flüchtlinge Fast 60 Staaten sammeln in Kuwait Geld.PDF",v2,,,,de,news,Donnerstag 31. Januar 2013
5c542629da2012abfe225f39ad7d5812a1c34d12,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-15,2013,2013-01,Die Welt,die welt,40 Prozent mehr Asylbewerber in Deutschland Die Aufhebung der Visumpflicht für Serbien und Mazedonien,40 prozent mehr asylbewerber in deutschland die aufhebung der visumpflicht für serbien und mazedonien,Manuel Bewarder,POLITIK; S. 5; Ausg. 12,710,5058,8dafdceb36b87384fec9808055b70357d430877e,,unique,keep,,no,,no,,40 Prozent mehr Asylbewerber in Deutschland Die Aufhebung der Visumpflicht für Serbien und Mazedonie.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\40 Prozent mehr Asylbewerber in Deutschland Die Aufhebung der Visumpflicht für Serbien und Mazedonie.PDF,v2,,,,de,news,Dienstag 15. Januar 2013
0c964dd4545a5c14b3d36283db4da1270ef88a80,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-18,2013,2013-01,Rheinische Post,rheinische post,"""Ich will in meiner Heimat wählen""",ich will in meiner heimat wählen,Von Susanne Genath,,600,3907,f6401f504217028080afb5e3724bc926416f624a,,unique,keep,,no,,no,,_Ich will in meiner Heimat wählen_.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\_Ich will in meiner Heimat wählen_.PDF,v2,,,,de,news,18. Januar 2013 Freitag
cbf5b8b96b69efafd5d0cfebf93eefb4698bb809,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-23,2013,2013-01,"taz, die tageszeitung",taz die tageszeitung,Amnesty International schirmt künftige Chefin ab; MENSCHENRECHTE Selmin Çaliskan soll die deutsche,amnesty international schirmt künftige chefin ab menschenrechte selmin çaliskan soll die deutsche,SIMONE SCHMOLLACK,INLAND; S. 06,330,2449,52469de1c5c155c494e0c3b5123625fa9b8a746d,,unique,keep,,no,,no,,Amnesty International schirmt künftige Chefin ab MENSCHENRECHTE Selmin Çaliskan soll die deutsche Se.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Amnesty International schirmt künftige Chefin ab MENSCHENRECHTE Selmin Çaliskan soll die deutsche Se.PDF,v2,,,,de,news,Mittwoch 23. Januar 2013
d27aed72468ab6b3a88bfb697df9459eabc0b6f8,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-03,2013,2013-01,Rheinische Post,rheinische post,Arbeitskreis Asyl sucht Helfer,arbeitskreis asyl sucht helfer,,,181,1314,fd87cbb00943f6c1474724e556d84d8282521ab3,,unique,keep,,no,,no,,Arbeitskreis Asyl sucht Helfer.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Arbeitskreis Asyl sucht Helfer.PDF,v2,,,,de,news,3. Januar 2013 Donnerstag
a6c889a9d1825d5a1b05fc84c12e77e9dd683a7a,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-22,2013,2013-01,Rheinische Post,rheinische post,Asylbewerber dürfen bleiben - Stadt gewinnt Platz,asylbewerber dürfen bleiben  stadt gewinnt platz,,,166,1223,c492cf53e7f11a97bfea9e63a6ad76904d3799a1,,unique,keep,,no,,no,,Asylbewerber dürfen bleiben - Stadt gewinnt Platz.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Asylbewerber dürfen bleiben - Stadt gewinnt Platz.PDF,v2,,,,de,news,22. Januar 2013 Dienstag
e690dbe13a3b32c9b71bfea47a0e0816c0383a21,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-10,2013,2013-01,Die Welt,die welt,Ausländer verdienen weniger Zuwanderer erhalten nur etwa zwei Drittel des deutschen Lohns,ausländer verdienen weniger zuwanderer erhalten nur etwa zwei drittel des deutschen lohns,,WIRTSCHAFT; S. 9; Ausg. 8,315,2333,f16cdfb5e6178c10a0934ec2dd4a872f4e7785bc,,unique,keep,,no,,no,,Ausländer verdienen weniger Zuwanderer erhalten nur etwa zwei Drittel des deutschen Lohns.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Ausländer verdienen weniger Zuwanderer erhalten nur etwa zwei Drittel des deutschen Lohns.PDF,v2,,,,de,news,Donnerstag 10. Januar 2013
f57f3ce2886da8962974386d468e2b208ef99e48,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-24,2013,2013-01,Rheinische Post,rheinische post,Charlie Chaplins große Werke,charlie chaplins grosse werke,,,225,1475,36750da97e3861fee6111060bd9768985cb1945e,variant_001,regional_variant,drop,regional_variant,no,,no,,Charlie Chaplins große Werke.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Charlie Chaplins große Werke.PDF,v2,Dropped in favor of representative file: Charlie Chaplins Werke in Straelen.PDF (variant_001).,,,de,news,24. Januar 2013 Donnerstag
197c7ab69729a2537f2a0f0a3860a17b9032c064,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-24,2013,2013-01,Rheinische Post,rheinische post,Charlie Chaplins Werke in Straelen,charlie chaplins werke in straelen,,,226,1481,2ca0e2000d37857f47ec43308a99613f19c8ef17,variant_001,regional_variant,keep,,yes,longest_usable_body,no,,Charlie Chaplins Werke in Straelen.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Charlie Chaplins Werke in Straelen.PDF,v2,Representative kept for variant_001.,,,de,news,24. Januar 2013 Donnerstag
b8d7c255a18653e3fcaddc8bd8d5127ca4b66343,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,2013-01-13,2013,2013-01,Welt am Sonntag,welt am sonntag,Das Baurecht entschlacken,das baurecht entschlacken,Norbert Schwaldt,IMMOBILIEN; Hausrat; Ausg. 2,133,945,c4bbb3cda7a843f5954f07a8b020641d285bd2b5,,unique,keep,,no,,no,,Das Baurecht entschlacken.PDF,C:\PythonProjects\AfD-project\Corpora\Main Corpus\2013-01\raw_unarchive\Das Baurecht entschlacken.PDF,v2,,,,de,news,13. Januar 2013
