month_id,volume,raw_article_count
2013-01,42,42
2013-02,55,71
2013-03,67,90
2013-04,63,67
2013-05,64,84
2013-06,83,109
2013-07,104,104
2013-08,146,172
2013-09,95,91
2013-10,151,141
2013-11,146,136
2013-12,131,50
2014-01,165,50
2014-02,106,50
2014-03,85,50
2014-04,102,50
2014-05,143,50
2014-06,119,50
2014-07,155,50
2014-08,171,50
2014-09,217,89
2014-10,268,50
2014-11,188,95
2014-12,221,50
2015-01,221,50
2015-02,215,50
2015-03,202,50
2015-04,269,50
2015-05,257,91
2015-06,256,96
2015-07,438,90
2015-08,687,100
2015-09,1007,96
2015-10,891,100
2015-11,665,97
2015-12,581,97
2016-01,766,94
2016-02,659,96
2016-03,496,97
2016-04,383,50
2016-05,260,50
2016-06,269,50
2016-07,334,50
2016-08,338,50
2016-09,381,50
2016-10,299,50
2016-11,243,50
2016-12,326,50
2017-01,255,50
2017-02,239,50
2017-03,239,50
2017-04,179,50
2017-05,171,50
2017-06,203,50
2017-07,188,50
2017-08,230,50
2017-09,183,50
2017-10,142,50
2017-11,164,50
2017-12,159,50
2018-01,226,50
2018-02,124,50
2018-03,160,97
2018-04,164,95
2018-05,212,50
2018-06,295,98
2018-07,225,50
2018-08,209,98
2018-09,125,50
2018-10,157,94
2018-11,349,90
2018-12,183,98
2019-01,293,150
2019-02,97,95
2019-03,118,99
2019-04,97,94
2019-05,66,64
2019-06,74,73
2019-07,101,50
2019-08,99,50
2019-09,104,50
2019-10,103,50
2019-11,112,50
2019-12,104,50
2020-01,90,50
2020-02,87,50
2020-03,145,50
2020-04,92,50
2020-05,72,50
2020-06,54,50
2020-07,75,50
2020-08,69,50
2020-09,178,99
2020-10,75,50
2020-11,48,48
2020-12,74,50
2021-01,67,50
2021-02,44,44
2021-03,51,50
2021-04,75,50
2021-05,55,55
2021-06,57,50
2021-07,75,50
2021-08,115,50
2021-09,75,75
2021-10,80,50
2021-11,97,50
2021-12,58,50
2022-01,63,58
2022-02,71,50
2022-03,353,50
2022-04,154,50
2022-05,79,50
2022-06,81,50
2022-07,80,78
2022-08,130,94
2022-09,110,50
2022-10,181,99
2022-11,151,50
2022-12,150,50
2023-01,134,100
2023-02,205,50
2023-03,121,50
2023-04,98,50
2023-05,187,50
2023-06,130,50
2023-07,99,50
2023-08,128,100
2023-09,202,100
2023-10,284,99
2023-11,231,50
2023-12,172,50
2024-01,114,50
2024-02,124,50
2024-03,104,50
2024-04,90,50
2024-05,82,82
2024-06,149,99
2024-07,91,50
2024-08,151,100
2024-09,168,50
2024-10,136,50
2024-11,109,50
2024-12,140,50
2025-01,186,98
2025-02,154,97
2025-03,100,99
2025-04,78,78
2025-05,100,50
2025-06,118,50
2025-07,138,100
2025-08,136,94
2025-09,105,99
2025-10,105,86
2025-11,113,83
2025-12,115,113
