sample,lag_months,x_variable,y_variable,correlation,n_used,notes
combined_all,0,media_salience_z_lag0,afd_poll_support_mean,-0.24501447929094727,148,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,0,media_salience_z_lag0,afd_poll_support_change,0.1653806891523822,147,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,0,media_salience_log1p_lag0,afd_poll_support_mean,-0.17649361134056052,148,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,0,media_salience_log1p_lag0,afd_poll_support_change,0.11077983797353988,147,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,1,media_salience_z_lag1,afd_poll_support_mean,-0.1985726350201144,147,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,1,media_salience_z_lag1,afd_poll_support_change,0.2444248850244778,147,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,1,media_salience_log1p_lag1,afd_poll_support_mean,-0.1443492084155867,147,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,1,media_salience_log1p_lag1,afd_poll_support_change,0.15819064748924908,147,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,2,media_salience_z_lag2,afd_poll_support_mean,-0.1585349092124141,146,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,2,media_salience_z_lag2,afd_poll_support_change,0.20012506484912065,146,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,2,media_salience_log1p_lag2,afd_poll_support_mean,-0.12161099680395789,146,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,2,media_salience_log1p_lag2,afd_poll_support_change,0.09596796011712444,146,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,3,media_salience_z_lag3,afd_poll_support_mean,-0.13164003148822614,145,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,3,media_salience_z_lag3,afd_poll_support_change,0.11483949829537067,145,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,3,media_salience_log1p_lag3,afd_poll_support_mean,-0.10355874224971118,145,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,3,media_salience_log1p_lag3,afd_poll_support_change,0.055322766001657135,145,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,4,media_salience_z_lag4,afd_poll_support_mean,-0.11294152179359646,144,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,4,media_salience_z_lag4,afd_poll_support_change,0.06491823341931782,144,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,4,media_salience_log1p_lag4,afd_poll_support_mean,-0.08909686524328748,144,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,4,media_salience_log1p_lag4,afd_poll_support_change,0.03300322415062343,144,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,5,media_salience_z_lag5,afd_poll_support_mean,-0.10385209840017,143,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,5,media_salience_z_lag5,afd_poll_support_change,0.026407043084789954,143,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,5,media_salience_log1p_lag5,afd_poll_support_mean,-0.08587163354128985,143,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,5,media_salience_log1p_lag5,afd_poll_support_change,0.00710188931168821,143,Descriptive lag correlation only; non-causal and source-boundary sensitive.
combined_all,6,media_salience_z_lag6,afd_poll_support_mean,-0.090019675651832,142,Descriptive lag correlation only; non-causal and source-boundary sensitive.
