month,year_month,month_dt,year,month_num,afd_poll_support_mean,afd_poll_support_median,afd_poll_support_min,afd_poll_support_max,afd_poll_support_sd,n_polls,n_pollsters,first_poll_date,last_poll_date,source,collection_method,notes
2013-09,2013-09,2013-09-01,2013,9,4.775,4.7,4.7,5.0,0.14999999999999983,4,3,2013-09-22,2013-09-27,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2013-10,2013-10,2013-10-01,2013,10,5.125,5.0,4.5,6.0,0.6291528696058958,4,3,2013-10-10,2013-10-25,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2013-11,2013-11,2013-11-01,2013,11,4.6,5.0,4.0,5.0,0.5477225575051662,5,3,2013-11-07,2013-11-29,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2013-12,2013-12,2013-12-01,2013,12,4.0,4.0,4.0,4.0,0.0,4,3,2013-12-05,2013-12-20,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-01,2014-01,2014-01-01,2014,1,4.0,4.0,4.0,4.0,0.0,5,3,2014-01-09,2014-01-31,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-02,2014-02,2014-02-01,2014,2,4.75,5.0,4.0,5.0,0.4999999999999999,4,3,2014-02-06,2014-02-28,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-03,2014-03,2014-03-01,2014,3,4.6,5.0,4.0,5.0,0.5477225575051663,5,3,2014-03-06,2014-03-28,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-04,2014-04,2014-04-01,2014,4,5.0,5.0,4.0,6.0,0.7071067811865476,5,3,2014-04-03,2014-04-30,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-05,2014-05,2014-05-01,2014,5,5.0,5.0,4.0,6.0,1.0,3,3,2014-05-09,2014-05-16,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-06,2014-06,2014-06-01,2014,6,6.0,6.0,5.0,7.0,0.7071067811865476,5,3,2014-06-05,2014-06-27,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-07,2014-07,2014-07-01,2014,7,4.75,5.0,4.0,5.0,0.4999999999999999,4,3,2014-07-03,2014-07-22,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-08,2014-08,2014-08-01,2014,8,4.5,4.5,4.0,5.0,0.5773502691896257,4,3,2014-08-07,2014-08-29,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-09,2014-09,2014-09-01,2014,9,7.4,7.0,6.0,9.0,1.1401754250991383,5,3,2014-09-04,2014-09-26,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-10,2014-10,2014-10-01,2014,10,7.6,7.0,7.0,9.0,0.8944271909999159,5,3,2014-10-02,2014-10-24,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-11,2014-11,2014-11-01,2014,11,6.4,6.0,6.0,7.0,0.5477225575051663,5,3,2014-11-06,2014-11-28,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2014-12,2014-12,2014-12-01,2014,12,6.5,6.5,6.0,7.0,0.5773502691896257,4,3,2014-12-04,2014-12-19,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-01,2015-01,2015-01-01,2015,1,6.0,6.0,6.0,6.0,0.0,5,3,2015-01-08,2015-01-30,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-02,2015-02,2015-02-01,2015,2,6.5,6.5,6.0,7.0,0.5773502691896257,4,3,2015-02-05,2015-02-27,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-03,2015-03,2015-03-01,2015,3,5.8,6.0,5.0,6.0,0.4472135954999579,5,3,2015-03-05,2015-03-27,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-04,2015-04,2015-04-01,2015,4,5.75,6.0,5.0,6.0,0.4999999999999999,4,3,2015-04-02,2015-04-24,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-05,2015-05,2015-05-01,2015,5,5.25,5.0,5.0,6.0,0.4999999999999999,4,3,2015-05-07,2015-05-22,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-06,2015-06,2015-06-01,2015,6,4.5,4.5,4.0,5.0,0.5773502691896257,4,3,2015-06-03,2015-06-25,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-07,2015-07,2015-07-01,2015,7,4.166666666666667,4.0,4.0,5.0,0.408248290463863,6,3,2015-07-02,2015-07-30,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-08,2015-08,2015-08-01,2015,8,3.3333333333333335,3.0,3.0,4.0,0.5773502691896258,3,3,2015-08-14,2015-08-27,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-09,2015-09,2015-09-01,2015,9,4.2,4.0,4.0,5.0,0.44721359549995787,5,3,2015-09-03,2015-09-25,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-10,2015-10,2015-10-01,2015,10,6.2,6.0,5.0,8.0,1.0954451150103321,5,3,2015-10-01,2015-10-23,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-11,2015-11,2015-11-01,2015,11,8.6,9.0,8.0,9.0,0.547722557505166,5,3,2015-11-05,2015-11-27,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2015-12,2015-12,2015-12-01,2015,12,9.666666666666666,10.0,9.0,10.0,0.5773502691896258,3,2,2015-12-03,2015-12-18,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-01,2016-01,2016-01-01,2016,1,10.0,10.0,9.0,11.0,0.9999999999999998,5,3,2016-01-04,2016-01-29,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-02,2016-02,2016-02-01,2016,2,10.8,11.0,10.0,12.0,0.8366600265340756,5,3,2016-02-03,2016-02-29,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-03,2016-03,2016-03-01,2016,3,13.0,13.0,12.0,14.0,1.0,3,3,2016-03-17,2016-03-24,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-04,2016-04,2016-04-01,2016,4,12.6,12.0,11.0,14.0,1.3416407864998738,5,3,2016-04-07,2016-04-22,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-05,2016-05,2016-05-01,2016,5,14.333333333333334,15.0,13.0,15.0,1.1547005383792515,3,2,2016-05-04,2016-05-20,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-06,2016-06,2016-06-01,2016,6,13.4,13.0,12.0,15.0,1.140175425099138,5,3,2016-06-02,2016-06-24,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-07,2016-07,2016-07-01,2016,7,11.0,11.0,9.0,12.0,1.224744871391589,5,3,2016-07-07,2016-07-22,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-08,2016-08,2016-08-01,2016,8,12.0,12.0,11.0,13.0,1.0,3,2,2016-08-04,2016-08-26,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-09,2016-09,2016-09-01,2016,9,14.0,13.5,13.0,16.0,1.414213562373095,4,3,2016-09-01,2016-09-23,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-10,2016-10,2016-10-01,2016,10,13.2,13.0,12.0,14.0,0.8366600265340753,5,3,2016-10-06,2016-10-28,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-11,2016-11,2016-11-01,2016,11,12.4,12.0,12.0,13.0,0.5477225575051662,5,3,2016-11-03,2016-11-25,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
2016-12,2016-12,2016-12-01,2016,12,12.666666666666666,13.0,12.0,13.0,0.5773502691896258,3,2,2016-12-08,2016-12-16,Wahlrecht.de,manual_wahlrecht_historical_supplement,Pre-DAWUM historical supplement for Cologne-period descriptive diagnostics.
