survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
365,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-01-18,2017-01-09,2017-01-13,2503,7,AfD,Alternative für Deutschland,11.0,DAWUM
370,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-01-22,2017-01-12,2017-01-18,2805,7,AfD,Alternative für Deutschland,12.0,DAWUM
372,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-01-24,2017-01-20,2017-01-23,1992,7,AfD,Alternative für Deutschland,14.5,DAWUM
373,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-01-24,2017-01-12,2017-01-23,5028,7,AfD,Alternative für Deutschland,13.2,DAWUM
374,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-01-25,2017-01-16,2017-01-20,2504,7,AfD,Alternative für Deutschland,12.0,DAWUM
377,0,Bundestag,Bundestag,Infratest dimap,ARD-Morgenmagazin,Unbekannt,2017-01-27,2017-01-24,2017-01-25,1029,7,AfD,Alternative für Deutschland,14.0,DAWUM
378,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-01-27,2017-01-24,2017-01-26,1303,7,AfD,Alternative für Deutschland,11.0,DAWUM
380,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-01-29,2017-01-19,2017-01-25,1996,7,AfD,Alternative für Deutschland,11.0,DAWUM
381,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-01-29,2017-01-19,2017-01-23,1046,7,AfD,Alternative für Deutschland,13.0,DAWUM
382,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-01-30,2017-01-27,2017-01-30,2088,7,AfD,Alternative für Deutschland,13.0,DAWUM
383,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-01-31,2017-01-22,2017-01-30,5014,7,AfD,Alternative für Deutschland,12.1,DAWUM
384,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-02-01,2017-01-23,2017-01-27,2502,7,AfD,Alternative für Deutschland,11.0,DAWUM
385,0,Bundestag,Bundestag,Infratest dimap,ARD-Tagesthemen,Unbekannt,2017-02-02,2017-01-30,2017-02-01,1506,7,AfD,Alternative für Deutschland,12.0,DAWUM
386,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-02-02,2017-01-31,2017-02-01,1003,7,AfD,Alternative für Deutschland,12.0,DAWUM
387,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-02-05,2017-01-26,2017-02-02,2233,7,AfD,Alternative für Deutschland,11.0,DAWUM
388,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-02-06,2017-02-03,2017-02-06,2042,7,AfD,Alternative für Deutschland,12.0,DAWUM
389,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-02-07,2017-02-02,2017-02-07,5025,7,AfD,Alternative für Deutschland,11.3,DAWUM
390,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-02-08,2017-01-30,2017-02-03,2501,7,AfD,Alternative für Deutschland,10.0,DAWUM
391,0,Bundestag,Bundestag,GMS,GMS,Unbekannt,2017-02-09,2017-02-02,2017-02-08,1009,7,AfD,Alternative für Deutschland,11.0,DAWUM
393,0,Bundestag,Bundestag,Trend Research Hamburg,Radio Hamburg,Unbekannt,2017-02-10,2017-01-31,2017-02-06,854,7,AfD,Alternative für Deutschland,13.0,DAWUM
394,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-02-12,2017-02-02,2017-02-08,1966,7,AfD,Alternative für Deutschland,10.0,DAWUM
395,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-02-12,2017-02-03,2017-02-05,1046,7,AfD,Alternative für Deutschland,12.0,DAWUM
