survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,7,AfD,Alternative für Deutschland,25.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,1,CDU/CSU,Christlich Demokratische Union / Christlich-Soziale Union,24.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,4,Grüne,Bündnis 90/Die Grünen,15.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,2,SPD,Sozialdemokratische Partei Deutschlands,13.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,5,Linke,Die Linke,10.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,0,Sonstige,sonstige Parteien,6.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,3,FDP,Freie Demokratische Partei,4.0,DAWUM
4174,0,Bundestag,Bundestag,Verian (Emnid),FOCUS,Telefonisch,2026-05-08,2026-04-28,2026-05-05,1448,23,BSW,Bündnis Sahra Wagenknecht,3.0,DAWUM
4173,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Telefon & Online,2026-05-08,2026-05-05,2026-05-07,1240,7,AfD,Alternative für Deutschland,27.0,DAWUM
4173,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Telefon & Online,2026-05-08,2026-05-05,2026-05-07,1240,1,CDU/CSU,Christlich Demokratische Union / Christlich-Soziale Union,25.0,DAWUM
